"Time (s)","Pressure (hPa)"
4.642510600E-2,9.957819824E2
6.616485200E-2,9.957688599E2
8.618902200E-2,9.957687378E2
1.065056730E-1,9.957601929E2
1.265418060E-1,9.957711182E2
1.466216400E-1,9.957806396E2
1.667244230E-1,9.957712402E2
1.868975180E-1,9.957837524E2
2.070093350E-1,9.957733154E2
2.261712000E-1,9.957769165E2
2.461648520E-1,9.957786865E2
2.661655850E-1,9.957850952E2
2.861658290E-1,9.957802734E2
3.061650970E-1,9.957687378E2
3.261653410E-1,9.957750244E2
3.461655850E-1,9.957883911E2
3.661653410E-1,9.957750244E2
3.861914640E-1,9.957830811E2
4.061653410E-1,9.957854004E2
4.263176850E-1,9.957958984E2
4.464966400E-1,9.957753906E2
4.664131430E-1,9.957981567E2
4.865894130E-1,9.957860107E2
5.067305260E-1,9.957793579E2
5.269231530E-1,9.957841797E2
5.469622160E-1,9.957670288E2
5.662568930E-1,9.957922974E2
5.861892670E-1,9.957783813E2
6.064353600E-1,9.957752686E2
6.261655850E-1,9.957999878E2
6.461655850E-1,9.957628784E2
6.661648520E-1,9.957991333E2
6.861536220E-1,9.957684326E2
7.061658290E-1,9.957822876E2
7.261553310E-1,9.957935181E2
7.465553310E-1,9.957895508E2
7.669133880E-1,9.957764893E2
7.864544030E-1,9.957759399E2
8.064033780E-1,9.957756348E2
8.264976160E-1,9.957728271E2
8.466760830E-1,9.957828979E2
8.668242760E-1,9.957835083E2
8.868921470E-1,9.957595215E2
9.070054290E-1,9.957744141E2
9.261841400E-1,9.957745361E2
9.461824310E-1,9.957935181E2
9.661655850E-1,9.957645264E2
9.861533780E-1,9.957697754E2
1.006242977E0,9.957929077E2
1.026509823E0,9.957977295E2
1.046165585E0,9.957856445E2
1.066155331E0,9.958068848E2
1.086165097E0,9.957852173E2
1.106247128E0,9.957915649E2
1.126480038E0,9.957694092E2
1.146397763E0,9.957966309E2
1.166765438E0,9.957802734E2
1.186686093E0,9.957931519E2
1.206849667E0,9.957998047E2
1.226939267E0,9.957786865E2
1.247092343E0,9.957781372E2
1.266154599E0,9.957927246E2
1.286165829E0,9.957806396E2
1.306165829E0,9.957900391E2
1.326165829E0,9.957981567E2
1.346165097E0,9.957824097E2
1.366179745E0,9.958065796E2
1.386165341E0,9.957999268E2
1.406153866E0,9.957904053E2
1.426152645E0,9.957982178E2
1.446150936E0,9.957847900E2
1.466439999E0,9.957844849E2
1.486342831E0,9.957872925E2
1.506735897E0,9.957800293E2
1.526716366E0,9.957814941E2
1.546824032E0,9.957973022E2
1.566886532E0,9.957769165E2
1.587044735E0,9.958094482E2
1.606195858E0,9.957985229E2
1.626172177E0,9.958080444E2
1.646299618E0,9.957871094E2
1.666166317E0,9.957999878E2
1.686165097E0,9.958012085E2
1.706166561E0,9.957879028E2
1.726166073E0,9.957847900E2
1.746162167E0,9.957887573E2
1.766226864E0,9.958072510E2
1.786215634E0,9.958065186E2
1.806489071E0,9.957777710E2
1.826322567E0,9.957896118E2
1.846509579E0,9.957910156E2
1.866614071E0,9.958021240E2
1.886745419E0,9.957991333E2
1.906836972E0,9.958040161E2
1.927028134E0,9.957946167E2
1.947095517E0,9.957860107E2
1.966181210E0,9.957922974E2
1.986165585E0,9.957949219E2
2.006154599E0,9.957996216E2
2.026164852E0,9.957940063E2
2.046165829E0,9.958055420E2
2.066165585E0,9.958156128E2
2.086165097E0,9.957557983E2
2.106154599E0,9.958047485E2
2.126160214E0,9.957868652E2
2.146421688E0,9.957937012E2
2.166301083E0,9.957818604E2
2.186498104E0,9.958027344E2
2.206588681E0,9.957940063E2
2.226783749E0,9.957993774E2
2.246914364E0,9.958015747E2
2.266968808E0,9.957835083E2
2.287149716E0,9.957797852E2
2.306201962E0,9.957981567E2
2.326189999E0,9.958004150E2
2.346165829E0,9.957931519E2
2.366165585E0,9.957904053E2
2.386165585E0,9.958019409E2
2.406165829E0,9.957868042E2
2.426166561E0,9.957900391E2
2.446160946E0,9.957933960E2
2.466221981E0,9.958101196E2
2.486402645E0,9.957991333E2
2.506254452E0,9.957960205E2
2.526487851E0,9.957852173E2
2.546545956E0,9.957902222E2
2.566683651E0,9.957952271E2
2.586765927E0,9.958044434E2
2.606961483E0,9.957760010E2
2.627124813E0,9.957947998E2
2.647366757E0,9.957958984E2
2.666197079E0,9.957971802E2
2.686165585E0,9.957855835E2
2.706166317E0,9.958167114E2
2.726200985E0,9.957821045E2
2.746165585E0,9.957803955E2
2.766299130E0,9.957803345E2
2.786165341E0,9.957864990E2
2.806486386E0,9.958037109E2
2.826395077E0,9.957764893E2
2.846170224E0,9.957965088E2
2.866450741E0,9.957927246E2
2.886514706E0,9.957905884E2
2.906629452E0,9.957915039E2
2.926803768E0,9.957728882E2
2.946875546E0,9.957747192E2
2.967072567E0,9.957866821E2
2.987352352E0,9.958033447E2
3.006174130E0,9.957871704E2
3.026165341E0,9.957941284E2
3.046165829E0,9.957818604E2
3.066165097E0,9.958065186E2
3.086165341E0,9.957841797E2
3.106166073E0,9.958085327E2
3.126159237E0,9.957906494E2
3.146158749E0,9.958004150E2
3.166387265E0,9.957952271E2
3.186334286E0,9.958027344E2
3.206381649E0,9.957965698E2
3.226474179E0,9.957834473E2
3.246614315E0,9.957954102E2
3.266594784E0,9.957840576E2
3.286746151E0,9.957911987E2
3.307132138E0,9.957812500E2
3.327159726E0,9.957900391E2
3.346196835E0,9.957803955E2
3.366396054E0,9.957797852E2
3.386165341E0,9.957985229E2
3.406165585E0,9.957753296E2
3.426165585E0,9.957978516E2
3.446165097E0,9.957966309E2
3.466165829E0,9.958027344E2
3.486165585E0,9.957965088E2
3.506277890E0,9.957943726E2
3.526165341E0,9.958071289E2
3.546227352E0,9.957949829E2
3.566341366E0,9.957822876E2
3.586459042E0,9.957960205E2
3.606563290E0,9.957854004E2
3.626692685E0,9.957905884E2
3.646877743E0,9.958068848E2
3.667272763E0,9.958027344E2
3.687045956E0,9.958118896E2
3.706179257E0,9.958002319E2
3.726165585E0,9.957996826E2
3.746165341E0,9.958183594E2
3.766165585E0,9.957928467E2
3.786179257E0,9.958024902E2
3.806155087E0,9.957882080E2
3.826165341E0,9.957850342E2
3.846256649E0,9.958062744E2
3.866182919E0,9.957852173E2
3.886176571E0,9.958031616E2
3.906284726E0,9.957937622E2
3.926417538E0,9.958094482E2
3.946477597E0,9.957888184E2
3.966653378E0,9.957952271E2
3.986845761E0,9.958002319E2
4.007123104E0,9.957891235E2
4.026990292E0,9.958002319E2
4.046172665E0,9.958140869E2
4.066164852E0,9.957974854E2
4.086165585E0,9.958066406E2
4.106165341E0,9.958074951E2
4.126165341E0,9.958193970E2
4.146166317E0,9.958156128E2
4.166165585E0,9.958167114E2
4.186221493E0,9.958306274E2
4.206165341E0,9.958255005E2
4.226178280E0,9.958376465E2
4.246270810E0,9.958442383E2
4.266383847E0,9.958402710E2
4.286422665E0,9.958352661E2
4.306613583E0,9.958433838E2
4.326815731E0,9.958565063E2
4.347064022E0,9.958646240E2
4.366961239E0,9.958732300E2
4.386196347E0,9.959198608E2
4.406170956E0,9.960462036E2
4.426165585E0,9.965054932E2
4.446565585E0,9.965817871E2
4.466166317E0,9.961424561E2
4.486165585E0,9.959517212E2
4.506155087E0,9.960130615E2
4.526186825E0,9.961105347E2
4.546186337E0,9.960321045E2
4.566179501E0,9.959684448E2
4.586225888E0,9.959684448E2
4.606377011E0,9.959391479E2
4.626419735E0,9.959073486E2
4.646598690E0,9.958839722E2
4.666695614E0,9.958400269E2
4.687083798E0,9.958135986E2
4.706945614E0,9.957929077E2
4.727196347E0,9.958097534E2
4.746177304E0,9.957854004E2
4.766165097E0,9.957628784E2
4.786170224E0,9.957633057E2
4.806254452E0,9.957390137E2
4.826165341E0,9.957457886E2
4.846200985E0,9.957145996E2
4.866154843E0,9.957166748E2
4.886187802E0,9.957008057E2
4.906153866E0,9.957080688E2
4.926162655E0,9.956904907E2
4.946320126E0,9.956907959E2
4.966382870E0,9.956793213E2
4.986528134E0,9.956843262E2
5.006687313E0,9.956818237E2
5.026985653E0,9.956835938E2
5.046899472E0,9.956699829E2
5.067090878E0,9.956616821E2
5.086198544E0,9.956490479E2
5.106189755E0,9.956607056E2
5.126230282E0,9.956572266E2
5.146165341E0,9.956681519E2
5.166166317E0,9.956632080E2
5.186165341E0,9.956390991E2
5.206154110E0,9.956553345E2
5.226165585E0,9.956239014E2
5.246249569E0,9.956322632E2
5.266215145E0,9.956394043E2
5.286335507E0,9.956469727E2
5.306472958E0,9.956154785E2
5.326590878E0,9.956555786E2
5.346613095E0,9.956488647E2
5.366961239E0,9.956196289E2
5.386882382E0,9.956232300E2
5.407266415E0,9.956176758E2
5.427182919E0,9.956235962E2
5.446167050E0,9.956169434E2
5.466165097E0,9.956322021E2
5.486165341E0,9.956392212E2
5.506143124E0,9.956203003E2
5.526166073E0,9.956328125E2
5.546165097E0,9.956167603E2
5.566165585E0,9.956112061E2
5.586263974E0,9.956348267E2
5.606308895E0,9.956419678E2
5.626206601E0,9.956271973E2
5.646310360E0,9.956173706E2
5.666451474E0,9.956135254E2
5.686677304E0,9.956312866E2
5.706929257E0,9.956149292E2
5.726846249E0,9.956223755E2
5.747049374E0,9.956215820E2
5.767209774E0,9.956151123E2
5.786171444E0,9.956210938E2
5.806165585E0,9.956198730E2
5.826175351E0,9.956259766E2
5.846199276E0,9.956271973E2
5.866165585E0,9.956319580E2
5.886227841E0,9.956067505E2
5.906155331E0,9.956414185E2
5.926190243E0,9.956229858E2
5.946162167E0,9.956386108E2
5.966241513E0,9.956023560E2
5.986477841E0,9.956254883E2
6.006425351E0,9.956151123E2
6.026531308E0,9.956328125E2
6.046886776E0,9.956104126E2
6.066804745E0,9.956110840E2
6.087059872E0,9.956315918E2
6.107106503E0,9.956430054E2
6.126196591E0,9.956282959E2
6.146188290E0,9.956244507E2
6.166165829E0,9.956101074E2
6.186200741E0,9.956341553E2
6.206165585E0,9.956461182E2
6.226188778E0,9.956169434E2
6.246172909E0,9.956625977E2
6.266199276E0,9.956538696E2
6.286250546E0,9.956358032E2
6.306468563E0,9.956229858E2
6.326243222E0,9.956269531E2
6.346383114E0,9.956439209E2
6.366601620E0,9.956480713E2
6.386896786E0,9.956394043E2
6.406772274E0,9.956409302E2
6.426947323E0,9.956259766E2
6.447070126E0,9.956442261E2
6.467223690E0,9.956434326E2
6.486141171E0,9.956489868E2
6.506243710E0,9.956375732E2
6.526165585E0,9.956536865E2
6.546165585E0,9.956409302E2
6.566165585E0,9.956494751E2
6.586165341E0,9.956403198E2
6.606165585E0,9.956384277E2
6.626165341E0,9.956613159E2
6.646154354E0,9.956519775E2
6.666154110E0,9.956528320E2
6.686222470E0,9.956398315E2
6.706321591E0,9.956586914E2
6.726698056E0,9.956465454E2
6.746646542E0,9.956615601E2
6.766828671E0,9.956411133E2
6.786893612E0,9.956403198E2
6.807135800E0,9.956456909E2
6.826292782E0,9.956628418E2
6.846165585E0,9.956533813E2
6.866166073E0,9.956426392E2
6.886165585E0,9.956434326E2
6.906165097E0,9.956423340E2
6.926166073E0,9.956492920E2
6.946164852E0,9.956569824E2
6.966166073E0,9.956494751E2
6.986161679E0,9.956559448E2
7.006131649E0,9.956322021E2
7.026156063E0,9.956589966E2
7.046406552E0,9.956489868E2
7.066669003E0,9.956614990E2
7.086576474E0,9.956655884E2
7.106796688E0,9.956458130E2
7.126860409E0,9.956646729E2
7.147137753E0,9.956589966E2
7.166201229E0,9.956547241E2
7.186172177E0,9.956774292E2
7.206164608E0,9.956534424E2
7.226164852E0,9.956615601E2
7.246165585E0,9.956514893E2
7.266165097E0,9.956419678E2
7.286165341E0,9.956590576E2
7.306262020E0,9.956600952E2
7.326214901E0,9.956544800E2
7.346157040E0,9.956615601E2
7.366146054E0,9.956640015E2
7.386216854E0,9.956665649E2
7.406594784E0,9.956403198E2
7.426514706E0,9.956615601E2
7.446745663E0,9.956559448E2
7.466794979E0,9.956430054E2
7.486962948E0,9.956400757E2
7.506197567E0,9.956644897E2
7.526174618E0,9.956480713E2
7.546164364E0,9.956488647E2
7.566165585E0,9.956494751E2
7.586165341E0,9.956668091E2
7.606165585E0,9.956533813E2
7.626154110E0,9.956472778E2
7.646158993E0,9.956566772E2
7.666154599E0,9.956519775E2
7.686153866E0,9.956318970E2
7.706201229E0,9.956599121E2
7.726400936E0,9.956428223E2
7.746591854E0,9.956467285E2
7.766493222E0,9.956467285E2
7.786701229E0,9.956410522E2
7.806817440E0,9.956425781E2
7.826921200E0,9.956602173E2
7.846995175E0,9.956688232E2
7.866262020E0,9.956534424E2
7.886189267E0,9.956354980E2
7.906589267E0,9.956367188E2
7.926165341E0,9.956466675E2
7.946165829E0,9.956244507E2
7.966165097E0,9.956442261E2
7.986183651E0,9.956671753E2
8.006160458E0,9.956590576E2
8.026154354E0,9.956447144E2
8.046170224E0,9.956550903E2
8.066206356E0,9.956466675E2
8.086547665E0,9.956540527E2
8.106766903E0,9.956388550E2
8.126700253E0,9.956530762E2
8.146857968E0,9.956466675E2
8.166949032E0,9.956574097E2
8.186975155E0,9.956490479E2
8.207094540E0,9.956516724E2
8.226185849E0,9.956538696E2
8.246164852E0,9.956282959E2
8.266165341E0,9.956353149E2
8.286164364E0,9.956544800E2
8.306153866E0,9.956481934E2
8.326165829E0,9.956478882E2
8.346263485E0,9.956500244E2
8.366154843E0,9.956350708E2
8.386168759E0,9.956467285E2
8.406223690E0,9.956636963E2
8.426489560E0,9.956334229E2
8.446409726E0,9.956298828E2
8.466640194E0,9.956550903E2
8.486757870E0,9.956345215E2
8.506884335E0,9.956453247E2
8.526945614E0,9.956500854E2
8.547122860E0,9.956586914E2
8.566172421E0,9.956325684E2
8.586165829E0,9.956459351E2
8.606166073E0,9.956357422E2
8.626165341E0,9.956311035E2
8.646165341E0,9.956544800E2
8.666165341E0,9.956499634E2
8.686165341E0,9.956604004E2
8.706169247E0,9.956582031E2
8.726170468E0,9.956486816E2
8.746152645E0,9.956290894E2
8.766491513E0,9.956311035E2
8.786380429E0,9.956413574E2
8.806617001E0,9.956520996E2
8.826758114E0,9.956213379E2
8.846852597E0,9.956461182E2
8.866918515E0,9.956481934E2
8.887096249E0,9.956422119E2
8.906196102E0,9.956426392E2
8.926159726E0,9.956342163E2
8.946164852E0,9.956340942E2
8.966165585E0,9.956442261E2
8.986178280E0,9.956394653E2
9.006201229E0,9.956314087E2
9.026165097E0,9.956542969E2
9.046196835E0,9.956344604E2
9.066177060E0,9.956363525E2
9.086208798E0,9.956392212E2
9.106450497E0,9.956503296E2
9.126469784E0,9.956544800E2
9.146557186E0,9.956332397E2
9.166696835E0,9.956477661E2
9.186809872E0,9.956344604E2
9.206877743E0,9.956465454E2
9.227028378E0,9.956322021E2
9.247158017E0,9.956559448E2
9.266181454E0,9.956419678E2
9.286248349E0,9.956311035E2
9.306154599E0,9.956367188E2
9.326347226E0,9.956212769E2
9.346165829E0,9.956409302E2
9.366159970E0,9.956398315E2
9.386154110E0,9.956363525E2
9.406145810E0,9.956347046E2
9.426167782E0,9.956473389E2
9.446426327E0,9.956557007E2
9.466354061E0,9.956538696E2
9.486527890E0,9.956395264E2
9.506608700E0,9.956578369E2
9.526756161E0,9.956322021E2
9.546928280E0,9.956416016E2
9.566976376E0,9.956607056E2
9.587167050E0,9.956226196E2
9.606201962E0,9.956451416E2
9.626253231E0,9.956638184E2
9.646165585E0,9.956505737E2
9.666165341E0,9.956540527E2
9.686165585E0,9.956447144E2
9.706176083E0,9.956487427E2
9.726130917E0,9.956430054E2
9.746183163E0,9.956411133E2
9.766246395E0,9.956394653E2
9.786338925E0,9.956478271E2
9.806150936E0,9.956597290E2
9.826400448E0,9.956561890E2
9.846456601E0,9.956428223E2
9.866606991E0,9.956519775E2
9.886651913E0,9.956397095E2
9.906836483E0,9.956531982E2
9.926944638E0,9.956549072E2
9.947281308E0,9.956506958E2
9.966195126E0,9.956472778E2
9.986165585E0,9.956350708E2
1.000616534E1,9.956494141E2
1.002616485E1,9.956505737E2
1.004617682E1,9.956542969E2
1.006616583E1,9.956328125E2
1.008616558E1,9.956509399E2
1.010617022E1,9.956447144E2
1.012656085E1,9.956743774E2
1.014616510E1,9.956674194E2
1.016632428E1,9.956434326E2
1.018640582E1,9.956567993E2
1.020657965E1,9.956549072E2
1.022667926E1,9.956540527E2
1.024678570E1,9.956420288E2
1.026704034E1,9.956593628E2
1.028724786E1,9.956600952E2
1.030615997E1,9.956492920E2
1.032616510E1,9.956492920E2
1.034616510E1,9.956649170E2
1.036616583E1,9.956455078E2
1.038616534E1,9.956757202E2
1.040616583E1,9.956588135E2
1.042616559E1,9.956703491E2
1.044616583E1,9.956684570E2
1.046628399E1,9.956712036E2
1.048616558E1,9.956600952E2
1.050632379E1,9.956531982E2
1.052637042E1,9.956536865E2
1.054654913E1,9.956392212E2
1.056657208E1,9.956575928E2
1.058674249E1,9.956528320E2
1.060703399E1,9.956444702E2
1.062723053E1,9.956771851E2
1.064619684E1,9.956661987E2
1.066618902E1,9.956703491E2
1.068616534E1,9.956643066E2
