"Time (s)","Temperature (°C)"
6.958990100E-2,2.772265625E1
8.748046500E-2,2.776171875E1
1.053742030E-1,2.776171875E1
1.232661100E-1,2.778125000E1
1.411555750E-1,2.778125000E1
1.590505330E-1,2.778125000E1
1.769428670E-1,2.779687500E1
1.948349570E-1,2.780468750E1
2.127153280E-1,2.772265625E1
2.306193810E-1,2.774609375E1
2.484988970E-1,2.776171875E1
2.664035610E-1,2.778125000E1
2.842958950E-1,2.776171875E1
3.021880460E-1,2.776171875E1
3.200806240E-1,2.778906250E1
3.379725300E-1,2.774609375E1
3.558648030E-1,2.778125000E1
3.737568320E-1,2.778125000E1
3.916489220E-1,2.775390625E1
4.095411950E-1,2.776171875E1
4.274334070E-1,2.777343750E1
4.453254360E-1,2.777343750E1
4.632177700E-1,2.778906250E1
4.811099210E-1,2.778906250E1
4.990021940E-1,2.780468750E1
5.168945890E-1,2.771484375E1
5.347863730E-1,2.775390625E1
5.526787070E-1,2.774609375E1
5.705707970E-1,2.778125000E1
5.884543420E-1,2.778906250E1
6.063540000E-1,2.779687500E1
6.242473110E-1,2.773828125E1
6.421394010E-1,2.778125000E1
6.600317960E-1,2.773828125E1
6.779238850E-1,2.778906250E1
6.958041350E-1,2.773828125E1
7.137082480E-1,2.778125000E1
7.316002770E-1,2.779687500E1
7.494811360E-1,2.774609375E1
7.673874470E-1,2.778125000E1
7.852770960E-1,2.772265625E1
8.031689420E-1,2.773828125E1
8.210641440E-1,2.778906250E1
8.389545250E-1,2.773828125E1
8.568454550E-1,2.777343750E1
8.747377890E-1,2.772265625E1
8.926301230E-1,2.780468750E1
9.105222130E-1,2.774609375E1
9.284026450E-1,2.781640625E1
9.463035850E-1,2.780078125E1
9.641987270E-1,2.773046875E1
9.820908170E-1,2.774609375E1
9.999831510E-1,2.775390625E1
1.017878108E0,2.774609375E1
1.035767391E0,2.779687500E1
1.053659725E0,2.774609375E1
1.071550533E0,2.771484375E1
1.089443844E0,2.778125000E1
1.107325985E0,2.778125000E1
1.125228146E0,2.775390625E1
1.143120419E0,2.773046875E1
1.161012692E0,2.773828125E1
1.178904903E0,2.778906250E1
1.196796871E0,2.780859375E1
1.214689266E0,2.775000000E1
1.232571529E0,2.772265625E1
1.250473385E0,2.770703125E1
1.268353451E0,2.773828125E1
1.286255245E0,2.772265625E1
1.304149899E0,2.774609375E1
1.322044917E0,2.773046875E1
1.339934078E0,2.775390625E1
1.357823055E0,2.773046875E1
1.375718746E0,2.771484375E1
1.393610836E0,2.772265625E1
1.411502926E0,2.779687500E1
1.429395321E0,2.774609375E1
1.447276119E0,2.776171875E1
1.465179379E0,2.772265625E1
1.483071529E0,2.778906250E1
1.500963863E0,2.775390625E1
1.518856136E0,2.779687500E1
1.536748348E0,2.773828125E1
1.554640560E0,2.778906250E1
1.572534969E0,2.776171875E1
1.590424862E0,2.778906250E1
1.608308468E0,2.775390625E1
1.626206112E0,2.778125000E1
1.644101071E0,2.776171875E1
1.661993465E0,2.773046875E1
1.679885738E0,2.773828125E1
1.697777828E0,2.773046875E1
1.715669979E0,2.776171875E1
1.733562008E0,2.774609375E1
1.751454403E0,2.771484375E1
1.769345455E0,2.773046875E1
1.787226864E0,2.777343750E1
1.805130856E0,2.778125000E1
1.823022701E0,2.773828125E1
1.840911861E0,2.773046875E1
1.858807430E0,2.775390625E1
1.876699459E0,2.771484375E1
1.894591549E0,2.774609375E1
1.912483639E0,2.776171875E1
1.930375973E0,2.776171875E1
1.948268063E0,2.777343750E1
1.966157284E0,2.775390625E1
1.984055294E0,2.778906250E1
2.001944637E0,2.775390625E1
2.019836666E0,2.778125000E1
2.037729061E0,2.774609375E1
2.055621029E0,2.770703125E1
2.073512997E0,2.771484375E1
2.091405514E0,2.778125000E1
2.109297604E0,2.777343750E1
2.127172421E0,2.776171875E1
2.145067806E0,2.773828125E1
2.162974117E0,2.780859375E1
2.180866451E0,2.775781250E1
2.198758297E0,2.774609375E1
2.216650387E0,2.775390625E1
2.234542965E0,2.773828125E1
2.252435116E0,2.771484375E1
2.270327389E0,2.775390625E1
2.288219540E0,2.775390625E1
2.306109372E0,2.773828125E1
2.324012386E0,2.777343750E1
2.341895748E0,2.774609375E1
2.359788936E0,2.773828125E1
2.377680172E0,2.774609375E1
2.395572323E0,2.778906250E1
2.413461727E0,2.776171875E1
2.431356686E0,2.778125000E1
2.449248776E0,2.774609375E1
2.467136044E0,2.775390625E1
2.485030025E0,2.777343750E1
2.502925289E0,2.772265625E1
2.520817379E0,2.773828125E1
2.538709896E0,2.775390625E1
2.556601803E0,2.773046875E1
2.574493893E0,2.775390625E1
2.592386288E0,2.778906250E1
2.610278317E0,2.775390625E1
2.628170712E0,2.768359375E1
2.646062740E0,2.771484375E1
2.663958003E0,2.777343750E1
2.681846981E0,2.768359375E1
2.699734798E0,2.778125000E1
2.717628658E0,2.780468750E1
2.735523678E0,2.776171875E1
2.753415829E0,2.780859375E1
2.771307919E0,2.775781250E1
2.789199947E0,2.775390625E1
2.807077694E0,2.774609375E1
2.824981441E0,2.773046875E1
2.842876461E0,2.769140625E1
