time,x,y,z
19,0.005851209,-0.0054276213,0.054343224
82,9.608269E-4,4.4840574E-4,0.053153038
82,-0.0049375296,0.005170971,0.0567379
83,-0.0012705326,-0.0019394085,0.054340363
84,-0.00977844,-0.0020985901,0.051952362
106,-0.0072910786,0.0087239295,0.053144455
124,0.0023515224,0.005188197,0.055534363
145,0.006047547,4.6165287E-4,0.05433178
161,0.0013849735,-0.010277033,0.05791664
179,0.0039527416,-0.004444167,0.049524307
198,-8.1926584E-4,-0.002102062,0.054311752
218,3.9207935E-4,1.905784E-4,0.053112984
237,0.001486361,0.008605264,0.059103966
257,0.0037645698,0.0073899627,0.06270313
275,-0.00101161,0.0025434569,0.06389809
294,0.002686441,-0.005760312,0.055513382
313,0.005023062,-0.008129068,0.04833412
332,0.0026286244,0.003826186,0.057909966
351,0.0012729168,3.04088E-4,0.055527687
370,0.004979849,-0.0057730675,0.060307503
390,-0.0021231174,2.7778E-4,0.061499596
409,-0.0020451546,-9.6756965E-4,0.057904243
427,-8.8721514E-4,2.3123622E-4,0.060299873
446,0.0076004267,-0.0010672659,0.05670166
466,0.011395454,0.0013290942,0.05429554
485,0.0067198277,-0.0010458604,0.060274124
503,0.0019412637,0.0025476888,0.054286957
523,0.0055329204,0.0025535226,0.05548477
541,-4.361272E-4,0.0014224946,0.05069542
561,-0.003943622,0.0013746023,0.05428219
580,0.0035856962,-0.005838938,0.054260254
599,0.003820002,1.0184944E-4,0.06262493
618,0.0037679076,0.009603873,0.05544567
637,0.0037721395,2.9854476E-5,0.05664158
656,0.0110529065,-0.004629083,0.060228348
675,-0.0022072792,4.7452748E-5,0.05783844
694,-0.0021289587,0.004831627,0.056637764
713,0.0014178157,0.0011893362,0.056640625
732,0.0014290214,0.0035261363,0.054244995
751,0.007466018,-5.543977E-5,0.05663681
770,0.0052456856,0.0022880211,0.065003395
789,0.0100159645,1.6271323E-4,0.06261158
810,0.0076708198,-0.0011459813,0.050637245
827,6.7293644E-4,0.0034923106,0.0554142
846,-0.0041438937,0.001107879,0.060204506
865,-0.0125306845,-0.0024170503,0.05541706
884,0.0041734576,9.328127E-5,0.053027153
903,0.00906688,0.0037437826,0.059007645
922,0.010194421,0.0013517439,0.06020832
941,0.010011554,0.001360856,0.055431366
961,0.0065323114,1.2289733E-4,0.054226875
980,-0.005407214,-0.008110374,0.05901432
999,-0.005434096,0.0063030943,0.05303192
1018,-0.001878798,0.003907427,0.057821274
1038,0.0042818785,0.007426612,0.059007645
1056,0.009059608,-0.0044648647,0.051825523
1075,0.013825715,-0.0069442093,0.055418015
1094,0.01027894,-0.003330879,0.05661297
1113,0.005604863,2.1214038E-4,0.0578022
1132,0.0046316385,0.0014110878,0.061380386
1151,-0.00485909,0.009712338,0.05658722
1171,-0.007217109,0.009637743,0.058977127
1189,-0.0047388077,0.0037017316,0.051790237
1209,0.0085271,-0.0069928467,0.06016445
1228,0.01340884,-0.008147277,0.055371284
1247,0.012136757,1.8747151E-4,0.055374146
1266,0.006264448,0.0038342103,0.060156822
1285,-0.006980121,0.0050368756,0.06016159
1304,-0.0117762685,-8.1571937E-4,0.054178238
1323,-0.0082607865,-0.009223901,0.054183006
1342,0.0059888363,-0.0031031072,0.054190636
1361,0.012069583,0.005214162,0.05418396
1380,0.012110114,0.0063491985,0.06375694
1399,0.013342857,-8.8170916E-4,0.060163498
1419,0.005020857,-9.832531E-4,0.049386024
1437,-9.456873E-4,-0.0034118965,0.05656624
1456,-0.0057593584,-0.0033930019,0.0565691
1476,-0.006808579,-9.830967E-4,0.04937744
1495,3.3169985E-4,0.0060740933,0.060152054
1513,0.0061659813,0.01197473,0.061348915
1533,0.008758068,0.004902035,0.057756424
1552,0.020915508,0.0016821623,0.05774498
1571,0.001829505,-0.0056636333,0.054151535
1589,0.0017828345,-0.0044446588,0.054153442
1609,-0.007871091,-0.0031721592,0.05056858
1628,-0.0017867684,2.9807538E-4,0.052955627
1648,0.002974689,0.001378037,0.054153442
1667,0.008860171,0.007286601,0.057748795
1686,0.009841502,-0.008191124,0.057764053
1705,0.0014397502,-0.005833477,0.05297661
1723,-0.0033004284,-0.00575269,0.050580025
1743,0.00624156,0.001376316,0.0577631
