"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.507682300E-2,1.359135192E-2,-7.773031294E-2,1.832541823E-2
3.745838500E-2,1.603474095E-2,-8.261708915E-2,1.847812906E-2
3.983994800E-2,2.107422985E-2,-8.368607610E-2,2.092151903E-2
4.222151000E-2,2.473931387E-2,-8.246438205E-2,2.092151903E-2
4.460307300E-2,2.718270384E-2,-8.124268800E-2,2.458660305E-2
4.698463500E-2,2.962609194E-2,-7.879929990E-2,2.458660305E-2
4.936619800E-2,2.840439789E-2,-7.513421029E-2,2.458660305E-2
5.174776000E-2,2.840439789E-2,-7.391251624E-2,2.580829710E-2
5.412932300E-2,3.084778599E-2,-7.391251624E-2,2.702999115E-2
5.651088500E-2,3.222219273E-2,-7.513421029E-2,2.702999115E-2
5.889244800E-2,3.588727489E-2,-7.635590434E-2,2.825168520E-2
6.127401000E-2,3.833066672E-2,-7.757759839E-2,2.702999115E-2
6.365557300E-2,4.214845970E-2,-7.757759839E-2,2.580829710E-2
6.603713500E-2,4.581354558E-2,-8.002099395E-2,2.336490713E-2
6.841869800E-2,4.947862774E-2,-7.879929990E-2,2.214321308E-2
7.080026000E-2,5.070032179E-2,-8.002099395E-2,2.214321308E-2
7.318182300E-2,5.314370990E-2,-7.986827940E-2,2.092151903E-2
7.556338500E-2,5.573981255E-2,-8.231166750E-2,2.092151903E-2
7.794494800E-2,5.696150661E-2,-8.108997345E-2,1.725643501E-2
8.032651000E-2,5.573981255E-2,-8.231166750E-2,1.603474095E-2
8.270802100E-2,5.314370990E-2,-8.246438205E-2,1.359135192E-2
8.508963500E-2,5.192201585E-2,-7.513421029E-2,1.359135192E-2
8.747114600E-2,5.192201585E-2,-7.269082218E-2,1.359135192E-2
8.985270800E-2,4.810422286E-2,-6.902574003E-2,1.236965694E-2
9.223427100E-2,4.566083103E-2,-6.306997687E-2,9.926267900E-3
9.461583300E-2,4.428642616E-2,-5.940489471E-2,7.482878864E-3
9.699739600E-2,4.184303805E-2,-5.589252338E-2,6.108472589E-3
9.937895800E-2,4.062134400E-2,-4.978405312E-2,4.886778072E-3
1.017605210E-1,3.802524135E-2,-4.611896724E-2,4.886778072E-3
1.041420830E-1,3.924693540E-2,-4.489727318E-2,1.221694518E-3
1.065236460E-1,3.680354729E-2,-4.123219103E-2,2.443389036E-3
1.089052080E-1,3.558185324E-2,-3.894151375E-2,-0.000000000E0
1.112867710E-1,3.420744836E-2,-3.771981969E-2,1.221694518E-3
1.136683330E-1,3.176405653E-2,-3.649812192E-2,-0.000000000E0
1.160498960E-1,2.809897438E-2,-3.527642787E-2,-2.443389036E-3
1.184314580E-1,2.428117767E-2,-3.420744836E-2,-5.039489828E-3
1.208130210E-1,2.305948362E-2,-3.298575059E-2,-5.039489828E-3
1.231945830E-1,2.428117767E-2,-3.176405653E-2,-6.261184346E-3
1.255761460E-1,2.061609551E-2,-3.054236248E-2,-7.482878864E-3
1.279577080E-1,2.061609551E-2,-2.932066843E-2,-6.261184346E-3
1.303392710E-1,1.801999472E-2,-3.054236248E-2,-6.261184346E-3
1.327208330E-1,1.679829881E-2,-3.420744836E-2,-5.039489828E-3
1.351023960E-1,1.557660475E-2,-3.665083647E-2,-6.261184346E-3
1.374839580E-1,1.313321572E-2,-3.665083647E-2,-5.039489828E-3
1.398655210E-1,1.191152167E-2,-4.031591862E-2,-3.817795310E-3
1.422470830E-1,1.206423342E-2,-4.504998401E-2,-1.374406274E-3
1.446286460E-1,1.068982668E-2,-4.627167806E-2,-1.374406274E-3
1.470102080E-1,1.084253844E-2,-4.871506989E-2,1.221694518E-3
1.493917710E-1,7.024743594E-3,-5.238015205E-2,2.443389036E-3
