"Time (s)","Pressure (hPa)"
8.960692700E-2,1.006773560E3
1.295990620E-1,1.006768677E3
1.696044270E-1,1.006769531E3
2.096008850E-1,1.006750610E3
2.496075520E-1,1.006798645E3
2.896032810E-1,1.006777832E3
3.296051560E-1,1.006753845E3
3.696094790E-1,1.006789124E3
4.096039060E-1,1.006760864E3
4.496023440E-1,1.006734680E3
4.896019790E-1,1.006747681E3
5.296008330E-1,1.006734253E3
5.696028650E-1,1.006728943E3
6.096028650E-1,1.006734253E3
6.496010940E-1,1.006731079E3
6.896017710E-1,1.006728333E3
7.295988540E-1,1.006712830E3
7.696020830E-1,1.006648438E3
8.096017190E-1,1.006687317E3
8.496003650E-1,1.006686890E3
8.896015100E-1,1.006712585E3
9.296017190E-1,1.006696899E3
9.696034900E-1,1.006717712E3
1.009605885E0,1.006702209E3
1.049605365E0,1.006732971E3
1.089606406E0,1.006738342E3
1.129602760E0,1.006722778E3
1.169601615E0,1.006735535E3
1.209603698E0,1.006748535E3
1.249599687E0,1.006743225E3
1.289602812E0,1.006758728E3
1.329603646E0,1.006769104E3
1.369604427E0,1.006738342E3
1.409605677E0,1.006758728E3
1.449608958E0,1.006750854E3
1.489601615E0,1.006743225E3
1.529601875E0,1.006797363E3
1.569603333E0,1.006773987E3
1.609603073E0,1.006768921E3
1.649602448E0,1.006805237E3
1.689603542E0,1.006817993E3
1.729601875E0,1.006779297E3
1.769603542E0,1.006810364E3
1.809602135E0,1.006807800E3
1.849600208E0,1.006848999E3
1.889603281E0,1.006817810E3
1.929601562E0,1.006820312E3
1.969603594E0,1.006828186E3
2.009610573E0,1.006833496E3
2.049599687E0,1.006828186E3
2.089599219E0,1.006851379E3
2.129603125E0,1.006843262E3
2.169601146E0,1.006825256E3
2.209602969E0,1.006843262E3
2.249602865E0,1.006830566E3
2.289600417E0,1.006848572E3
2.329609323E0,1.006815002E3
2.369599635E0,1.006863708E3
2.409611562E0,1.006827759E3
2.449603073E0,1.006822693E3
2.489601302E0,1.006825012E3
2.529609948E0,1.006812073E3
2.569604271E0,1.006853516E3
2.609602135E0,1.006827576E3
2.649605260E0,1.006884094E3
2.689600625E0,1.006910217E3
2.729602812E0,1.006858582E3
2.769603437E0,1.006856018E3
2.809620469E0,1.006863708E3
2.849603021E0,1.006894531E3
2.889609271E0,1.006925293E3
2.929602031E0,1.006972290E3
2.969603542E0,1.007013733E3
3.009601198E0,1.007042175E3
3.049601719E0,1.007044312E3
3.089600312E0,1.007057251E3
3.129603750E0,1.007026062E3
3.169601510E0,1.007044312E3
3.209601979E0,1.007046631E3
3.249602240E0,1.007051941E3
3.289603021E0,1.007054749E3
3.329601823E0,1.007049194E3
3.369604583E0,1.007028381E3
3.409606667E0,1.007039001E3
3.449606458E0,1.007041321E3
3.489603906E0,1.007077698E3
3.529600365E0,1.007123779E3
3.569604062E0,1.007097839E3
3.609602292E0,1.007061951E3
3.649601615E0,1.007033264E3
3.689603542E0,1.006955505E3
3.729605625E0,1.006813110E3
3.769601458E0,1.006717041E3
3.809601875E0,1.006686462E3
3.849598906E0,1.006686035E3
3.889613073E0,1.006686279E3
3.929600365E0,1.006691162E3
3.969601406E0,1.006673096E3
4.009602031E0,1.006680725E3
4.049600104E0,1.006698792E3
4.089609010E0,1.006708984E3
4.129602448E0,1.006721924E3
4.169600885E0,1.006734680E3
4.209604844E0,1.006747681E3
4.249607448E0,1.006737061E3
4.289606927E0,1.006757446E3
4.329604271E0,1.006755127E3
4.369601719E0,1.006747437E3
4.409603229E0,1.006695618E3
4.449600521E0,1.006653931E3
4.489600208E0,1.006676880E3
4.529600937E0,1.006690063E3
4.569603177E0,1.006710449E3
4.609599219E0,1.006690063E3
4.649599115E0,1.006726196E3
4.689601979E0,1.006741699E3
4.729600729E0,1.006725769E3
4.769599531E0,1.006769531E3
4.809609323E0,1.006769531E3
4.849601146E0,1.006769775E3
4.889603229E0,1.006785461E3
4.929601667E0,1.006798035E3
4.969602865E0,1.006823975E3
5.009604219E0,1.006842041E3
5.049602604E0,1.006852234E3
5.089601406E0,1.006891113E3
5.129606042E0,1.006813538E3
5.169602031E0,1.006875610E3
5.209601146E0,1.006834167E3
5.249601250E0,1.006821167E3
5.289602760E0,1.006862610E3
5.329601302E0,1.006893677E3
5.369600208E0,1.006890869E3
5.409601458E0,1.006887939E3
5.449599167E0,1.006913818E3
5.489604167E0,1.006929749E3
5.529600937E0,1.006917053E3
5.569600885E0,1.006960571E3
5.609602083E0,1.006976318E3
5.649605000E0,1.006947815E3
5.689603073E0,1.006955688E3
5.729607135E0,1.006971191E3
5.769605312E0,1.007084717E3
5.809599271E0,1.007058777E3
5.849602969E0,1.006965454E3
5.889602552E0,1.006870056E3
5.929603542E0,1.006810547E3
5.969602083E0,1.006864746E3
6.009610104E0,1.006875366E3
6.049603281E0,1.006921509E3
6.089603906E0,1.006898315E3
6.129603594E0,1.006877930E3
6.169604375E0,1.006918945E3
6.209601719E0,1.006880249E3
6.249601406E0,1.006874939E3
6.289599635E0,1.006864990E3
6.329605625E0,1.006802917E3
6.369600000E0,1.006792480E3
6.409599583E0,1.006810791E3
6.449607292E0,1.006826050E3
6.489606719E0,1.006689209E3
6.529602187E0,1.006652649E3
6.569602552E0,1.006634827E3
6.609600781E0,1.006673279E3
6.649601094E0,1.006663513E3
6.689600677E0,1.006691772E3
6.729601719E0,1.006689453E3
6.769599948E0,1.006671143E3
6.809599792E0,1.006689209E3
6.849604531E0,1.006694519E3
6.889605156E0,1.006707275E3
6.929608021E0,1.006723022E3
6.969599740E0,1.006707275E3
7.009601146E0,1.006735962E3
7.049600729E0,1.006803101E3
7.089601979E0,1.006606323E3
7.129600052E0,1.006531555E3
7.169602708E0,1.006754028E3
7.209601510E0,1.006790405E3
7.249600573E0,1.006808411E3
7.289604375E0,1.006834351E3
7.329601406E0,1.006875610E3
7.369607083E0,1.006870300E3
7.409603125E0,1.006896423E3
7.449600573E0,1.006919556E3
7.489603073E0,1.006963806E3
7.529603594E0,1.006963806E3
7.569604531E0,1.007036011E3
7.609602604E0,1.007082581E3
7.649606146E0,1.006935303E3
7.689602187E0,1.006826721E3
7.729606146E0,1.006955933E3
7.769601510E0,1.007010315E3
7.809615260E0,1.007033875E3
7.849603229E0,1.007049011E3
7.889606667E0,1.007036255E3
7.929599948E0,1.006950806E3
7.969600365E0,1.006922363E3
8.009605312E0,1.006950806E3
8.049606875E0,1.006940613E3
8.089605781E0,1.006930176E3
8.129602500E0,1.006912354E3
8.169604375E0,1.006973999E3
8.209603542E0,1.006855408E3
8.249605156E0,1.006751709E3
8.289600990E0,1.006759583E3
8.329602292E0,1.006844971E3
8.369602344E0,1.006832214E3
8.409602552E0,1.006853088E3
8.449601458E0,1.006948486E3
8.489599740E0,1.006938477E3
8.529602500E0,1.007013062E3
8.569603646E0,1.006994995E3
8.609604896E0,1.006997559E3
8.649600885E0,1.006982056E3
8.689605469E0,1.006972046E3
8.729600885E0,1.007003113E3
8.769603646E0,1.006884094E3
8.809601458E0,1.006785889E3
8.849600677E0,1.006760010E3
8.889599427E0,1.006752136E3
8.929606667E0,1.006778076E3
8.969600156E0,1.006775513E3
9.009603542E0,1.006734253E3
9.049601406E0,1.006718750E3
9.089600417E0,1.006718750E3
9.129602760E0,1.006793579E3
9.169605833E0,1.006795898E3
9.209616302E0,1.006783386E3
9.249604531E0,1.006778076E3
9.289614896E0,1.006803955E3
9.329603229E0,1.006819702E3
9.369606146E0,1.006726624E3
9.409602292E0,1.006687500E3
9.449611615E0,1.006731750E3
9.489608229E0,1.006747253E3
9.529604271E0,1.006744446E3
9.569602812E0,1.006700928E3
9.609606979E0,1.006773193E3
9.649605937E0,1.006778259E3
9.689606302E0,1.006757629E3
9.729611667E0,1.006773193E3
9.769609479E0,1.006829712E3
9.809607135E0,1.006814575E3
9.849612135E0,1.006817383E3
9.889604635E0,1.006827759E3
9.929603490E0,1.006889587E3
9.969607656E0,1.006835022E3
1.000960750E1,1.006822266E3
1.004960719E1,1.006796509E3
1.008959927E1,1.006778076E3
1.012960422E1,1.006788452E3
1.016960932E1,1.006825256E3
1.020960266E1,1.006794006E3
1.024961083E1,1.006788696E3
1.028960417E1,1.006781250E3
1.032960479E1,1.006793762E3
