"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.639333328E-3,1.104511903E-3,-3.011545865E-3,1.007912913E-3,3.362327093E-3
1.359533332E-2,9.670401923E-4,-3.349262057E-3,7.364624180E-4,3.563018377E-3
2.355233332E-2,1.052793930E-3,3.208404523E-4,2.047536662E-3,2.324590294E-3
3.350933333E-2,-6.594741717E-5,-1.131354133E-3,1.088299323E-4,1.138488116E-3
4.346533332E-2,5.535038654E-4,-9.116433794E-4,-1.186797861E-3,1.595603128E-3
5.342233332E-2,-1.963312272E-3,3.266771091E-5,-6.600888446E-5,1.964693215E-3
6.337933333E-2,-2.264249604E-3,-1.218485413E-3,-2.883899491E-3,3.863729966E-3
7.333533332E-2,-5.985496100E-4,-7.053480949E-4,-6.581791677E-4,1.135331400E-3
8.329233332E-2,2.912124619E-4,8.241494652E-5,-6.256885827E-4,6.950418145E-4
9.324833332E-2,2.141601639E-3,2.947610803E-3,9.522156324E-4,3.765844080E-3
1.032053333E-1,-7.545859553E-4,-5.560440477E-4,-1.081906725E-3,1.431470261E-3
1.131613333E-1,6.608448457E-4,2.326843562E-3,8.499787655E-4,2.563860521E-3
1.231183333E-1,1.443814253E-3,3.366633318E-4,-9.788139723E-4,1.776518671E-3
1.330753333E-1,-7.661529817E-4,-1.445542672E-3,-1.840141136E-3,2.462255756E-3
1.430313333E-1,3.829930443E-3,-1.959876390E-4,-2.669449430E-3,4.672551617E-3
1.529883333E-1,-7.904949598E-5,7.373588160E-4,-1.303252764E-3,1.499471445E-3
1.629453333E-1,-2.069762209E-3,1.995436149E-3,-2.454449423E-4,2.885467769E-3
1.729013333E-1,8.500184631E-4,-2.097151009E-4,1.511558890E-3,1.746803392E-3
1.828583333E-1,1.440707594E-3,6.132016424E-4,4.484250676E-4,1.628723324E-3
1.928143333E-1,8.722316707E-4,-1.094097039E-3,1.908519771E-3,2.366491947E-3
2.027713333E-1,2.564404160E-3,5.639870651E-4,-1.472629607E-3,3.010463098E-3
2.127283333E-1,-3.489518072E-3,3.615951864E-4,3.551116679E-4,3.526129855E-3
2.226843333E-1,-1.001129858E-4,3.304362181E-4,1.689888071E-3,1.724799234E-3
2.326413333E-1,-4.474888556E-5,2.166838385E-4,-6.162319332E-4,6.547489169E-4
2.425973333E-1,6.796309026E-4,6.278759101E-4,-1.453850418E-4,9.366232608E-4
2.525543333E-1,7.346218918E-4,1.422342611E-3,-6.818766706E-4,1.740024029E-3
2.625113333E-1,-7.301166188E-4,1.485725865E-3,-1.414778642E-3,2.177624906E-3
2.724673333E-1,4.286858020E-4,2.327486407E-3,-5.180216394E-4,2.422666075E-3
