"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.974666655E-3,-9.011260986E-2,6.167175293E-2,9.839189301E0
2.305766667E-2,-9.520202637E-2,5.733078003E-2,9.829309845E0
3.309966667E-2,-9.565109253E-2,5.358856201E-2,9.835147705E0
4.314166665E-2,-9.819580078E-2,4.969665527E-2,9.826166382E0
5.318266666E-2,-1.031355286E-1,5.792953491E-2,9.823322296E0
6.322466666E-2,-9.804611206E-2,5.568420410E-2,9.835297394E0
7.326666667E-2,-1.016386414E-1,5.882766724E-2,9.831854553E0
8.330766667E-2,-1.008901978E-1,6.556365967E-2,9.825717316E0
9.334966665E-2,-8.936416626E-2,5.792953491E-2,9.822873230E0
1.033916667E-1,-8.921447754E-2,6.376739502E-2,9.827363892E0
1.134326667E-1,-7.619155884E-2,6.167175293E-2,9.839488678E0
1.234746667E-1,-7.110214233E-2,7.065307617E-2,9.833351440E0
1.335166667E-1,-7.155120850E-2,7.649093628E-2,9.828860779E0
1.435586667E-1,-6.616241455E-2,6.765930176E-2,9.830207977E0
1.535996667E-1,-7.903564453E-2,7.005432129E-2,9.854607239E0
1.636416667E-1,-7.858657837E-2,6.017486572E-2,9.843230896E0
1.736836667E-1,-8.292755127E-2,5.807922363E-2,9.826166382E0
1.837246667E-1,-8.816665649E-2,5.463638306E-2,9.827962646E0
1.937666667E-1,-9.819580078E-2,5.029541016E-2,9.832004242E0
2.038086667E-1,-1.008901978E-1,4.999603271E-2,9.829309845E0
2.138496667E-1,-1.031355286E-1,4.595443726E-2,9.833650818E0
2.238916667E-1,-1.077758789E-1,4.610412598E-2,9.834399261E0
2.339336667E-1,-1.052311707E-1,5.254074097E-2,9.821526031E0
2.439746667E-1,-9.744735718E-2,5.688171387E-2,9.832752686E0
2.540166667E-1,-9.086105347E-2,6.227050781E-2,9.843081207E0
2.640586667E-1,-9.086105347E-2,6.735992432E-2,9.853709106E0
2.740996667E-1,-8.382568359E-2,5.897735596E-2,9.826615448E0
2.841416667E-1,-8.801696777E-2,6.092330933E-2,9.817484436E0
2.941836667E-1,-7.858657837E-2,6.825805664E-2,9.842183075E0
3.042246667E-1,-8.472381592E-2,5.269042969E-2,9.851912842E0
3.142666667E-1,-8.592132568E-2,5.373825073E-2,9.834399261E0
3.243086667E-1,-8.412506104E-2,5.763015747E-2,9.834698639E0
3.343496667E-1,-8.547225952E-2,5.927673340E-2,9.837243347E0
3.443916667E-1,-8.696914673E-2,5.972579956E-2,9.841135254E0
3.544336667E-1,-9.669891357E-2,6.256988525E-2,9.834249573E0
3.644746667E-1,-9.340576172E-2,5.882766724E-2,9.836345215E0
3.745166667E-1,-1.010398865E-1,5.448669434E-2,9.843979340E0
3.845586667E-1,-9.370513916E-2,4.819976807E-2,9.838740234E0
3.945996667E-1,-9.699829102E-2,4.894821167E-2,9.836794281E0
4.046416667E-1,-9.355545044E-2,5.044509888E-2,9.837991791E0
4.146836667E-1,-9.190887451E-2,5.942642212E-2,9.833351440E0
4.247256667E-1,-9.175918579E-2,6.421646118E-2,9.831255798E0
4.347666667E-1,-8.951385498E-2,5.822891235E-2,9.826615448E0
4.448086667E-1,-8.247848511E-2,6.271957397E-2,9.834249573E0
4.548506667E-1,-7.604187012E-2,6.301895142E-2,9.832902374E0
4.648916667E-1,-9.370513916E-2,6.481521606E-2,9.835297394E0
4.749336667E-1,-8.292755127E-2,6.137237549E-2,9.830806732E0
4.849756667E-1,-8.547225952E-2,5.733078003E-2,9.825567627E0
4.950166667E-1,-9.086105347E-2,6.227050781E-2,9.836644592E0
5.050586667E-1,-8.158035278E-2,5.343887329E-2,9.840087433E0
5.151006667E-1,-8.681945801E-2,5.254074097E-2,9.836494904E0
5.251416667E-1,-8.966354370E-2,6.092330933E-2,9.837393036E0
5.351836667E-1,-9.145980835E-2,5.703140259E-2,9.830058289E0
5.452256667E-1,-9.265731812E-2,5.807922363E-2,9.834399261E0
5.552666667E-1,-9.819580078E-2,5.643264771E-2,9.822124786E0
5.653086667E-1,-9.475296021E-2,5.643264771E-2,9.830956421E0
5.753506667E-1,-8.607101440E-2,5.179229736E-2,9.840087433E0
5.853916667E-1,-9.460327148E-2,6.870712280E-2,9.834399261E0
5.954336667E-1,-8.232879639E-2,5.912704468E-2,9.842931519E0
6.054756667E-1,-8.113128662E-2,5.748046875E-2,9.830806732E0
6.155166667E-1,-8.681945801E-2,6.376739502E-2,9.831405487E0
6.255586667E-1,-9.101074219E-2,6.646179199E-2,9.826166382E0
6.356006667E-1,-8.352630615E-2,6.137237549E-2,9.842931519E0
6.456426667E-1,-8.442443848E-2,6.391708374E-2,9.845176849E0
6.556836667E-1,-8.756790161E-2,6.077362061E-2,9.838440857E0
6.657256667E-1,-9.580078125E-2,4.999603271E-2,9.834249573E0
6.757676667E-1,-1.014889526E-1,4.984634399E-2,9.839039612E0
6.858086667E-1,-1.034349060E-1,5.298980713E-2,9.826016693E0
6.958506667E-1,-1.002914429E-1,5.912704468E-2,9.831854553E0
7.058926667E-1,-9.669891357E-2,5.658233643E-2,9.826615448E0
7.159336667E-1,-9.729766846E-2,6.137237549E-2,9.830058289E0
7.259756667E-1,-8.891510010E-2,5.837860107E-2,9.824370117E0
7.360176667E-1,-7.679031372E-2,6.152206421E-2,9.836794281E0
7.460586667E-1,-8.547225952E-2,5.972579956E-2,9.826316071E0
7.561006667E-1,-8.786727905E-2,6.077362061E-2,9.833052063E0
7.661426667E-1,-9.056167603E-2,5.912704468E-2,9.841584320E0
7.761836667E-1,-1.001417542E-1,5.343887329E-2,9.830806732E0
7.862256667E-1,-9.415420532E-2,5.298980713E-2,9.834698639E0
7.962676667E-1,-9.355545044E-2,6.496490479E-2,9.834998016E0
8.063086667E-1,-9.086105347E-2,6.107299805E-2,9.832902374E0
8.163506667E-1,-8.951385498E-2,6.601272583E-2,9.829160156E0
8.263926667E-1,-9.789642334E-2,6.062393188E-2,9.829010468E0
8.364336667E-1,-9.190887451E-2,5.733078003E-2,9.835147705E0
8.464756667E-1,-9.939331055E-2,5.658233643E-2,9.829160156E0
8.565176667E-1,-9.789642334E-2,6.242019653E-2,9.836045837E0
8.665586667E-1,-9.415420532E-2,5.897735596E-2,9.842632141E0
8.766006667E-1,-9.684860229E-2,5.882766724E-2,9.833650818E0
8.866426667E-1,-8.831634521E-2,5.658233643E-2,9.823771362E0
8.966836667E-1,-9.011260986E-2,5.643264771E-2,9.834698639E0
9.067256667E-1,-8.143066406E-2,5.553451538E-2,9.822274475E0
9.167676667E-1,-8.816665649E-2,6.406677246E-2,9.821376343E0
9.268086667E-1,-8.547225952E-2,6.676116943E-2,9.831405487E0
9.368506667E-1,-8.981323242E-2,6.376739502E-2,9.833351440E0
9.468926667E-1,-9.011260986E-2,5.748046875E-2,9.832752686E0
9.569331667E-1,-8.966354370E-2,5.628295898E-2,9.833650818E0
9.669741667E-1,-9.295669556E-2,5.493576050E-2,9.838141479E0
9.770161667E-1,-8.981323242E-2,5.763015747E-2,9.836644592E0
9.870581667E-1,-9.116043091E-2,6.271957397E-2,9.832752686E0
9.970991667E-1,-9.385482788E-2,5.852828979E-2,9.837393036E0
1.007141167E0,-9.205856323E-2,6.271957397E-2,9.831854553E0
1.017183167E0,-8.981323242E-2,6.197113037E-2,9.832453308E0
1.027224167E0,-9.235794067E-2,6.301895142E-2,9.836345215E0
1.037266167E0,-8.442443848E-2,6.631210327E-2,9.831255798E0
1.047308167E0,-9.385482788E-2,6.391708374E-2,9.831704865E0
1.057349167E0,-9.190887451E-2,5.463638306E-2,9.834249573E0
1.067391167E0,-7.963439941E-2,6.556365967E-2,9.835297394E0
1.077433167E0,-9.310638428E-2,6.496490479E-2,9.832752686E0
1.087474167E0,-9.190887451E-2,5.912704468E-2,9.836943970E0
1.097516167E0,-9.220825195E-2,6.391708374E-2,9.831255798E0
1.107558167E0,-9.595046997E-2,6.062393188E-2,9.841135254E0
1.117599167E0,-9.849517822E-2,5.628295898E-2,9.822124786E0
1.127641167E0,-9.744735718E-2,5.284011841E-2,9.832902374E0
1.137683167E0,-9.355545044E-2,5.897735596E-2,9.840237122E0
1.147724167E0,-8.532257080E-2,5.269042969E-2,9.827064514E0
