"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.933366667E-2,-9.993441772E1,-6.441935730E1,-1.576694031E2
3.937566667E-2,-9.985639954E1,-6.451266479E1,-1.575184021E2
4.941766665E-2,-9.980532837E1,-6.461360168E1,-1.574083557E2
5.945866666E-2,-9.978904724E1,-6.466094971E1,-1.575224915E2
6.950066666E-2,-9.961126709E1,-6.482415771E1,-1.572360229E2
7.954266667E-2,-9.985118103E1,-6.463949585E1,-1.573759155E2
8.958366668E-2,-9.998188782E1,-6.484582520E1,-1.571493225E2
9.962566665E-2,-9.995948792E1,-6.479962158E1,-1.572475281E2
1.096676667E-1,-9.980244446E1,-6.475131226E1,-1.573620300E2
1.197086667E-1,-9.981791687E1,-6.497991943E1,-1.575319824E2
1.297506667E-1,-9.962010193E1,-6.485398865E1,-1.575299377E2
1.397926667E-1,-9.962840271E1,-6.472506714E1,-1.572114563E2
1.498336667E-1,-9.967471313E1,-6.467706299E1,-1.573674011E2
1.598756667E-1,-9.987083435E1,-6.463690186E1,-1.574741211E2
1.699176667E-1,-9.939932251E1,-6.466003418E1,-1.577339478E2
1.799586667E-1,-9.960444641E1,-6.470370483E1,-1.577187805E2
1.900006667E-1,-9.954348755E1,-6.436856079E1,-1.576928711E2
2.000426667E-1,-9.947337341E1,-6.467562866E1,-1.577705078E2
2.100836667E-1,-9.950312805E1,-6.478706360E1,-1.577303162E2
2.201256667E-1,-9.963328552E1,-6.479296875E1,-1.576246033E2
2.301676667E-1,-9.964562988E1,-6.459780884E1,-1.574953308E2
2.402096667E-1,-9.967572021E1,-6.471894836E1,-1.573046570E2
2.502506667E-1,-9.962895203E1,-6.466033936E1,-1.575319214E2
2.602926667E-1,-9.978897095E1,-6.469679260E1,-1.573449707E2
2.703346667E-1,-9.995741272E1,-6.451524353E1,-1.574046326E2
2.803756667E-1,-9.960070801E1,-6.444206238E1,-1.576109009E2
2.904176667E-1,-9.995999146E1,-6.459934998E1,-1.572498169E2
3.004596667E-1,-9.992369080E1,-6.459982300E1,-1.571159363E2
3.105006667E-1,-9.985832214E1,-6.457608032E1,-1.573546143E2
3.205426667E-1,-9.989436340E1,-6.470137024E1,-1.573881836E2
3.305846667E-1,-9.975512695E1,-6.458641052E1,-1.572979431E2
3.406256667E-1,-9.991459656E1,-6.469546509E1,-1.572178955E2
3.506676667E-1,-9.970446777E1,-6.470944214E1,-1.573743286E2
3.607096667E-1,-9.942581177E1,-6.469024658E1,-1.575468445E2
3.707506667E-1,-9.966404724E1,-6.466093445E1,-1.574521484E2
3.807926667E-1,-9.971391296E1,-6.479638672E1,-1.576391907E2
3.908346667E-1,-9.960559082E1,-6.451837158E1,-1.572254333E2
4.008756667E-1,-9.957478333E1,-6.470515442E1,-1.571939087E2
4.109176667E-1,-9.963891602E1,-6.485647583E1,-1.572378540E2
4.209596667E-1,-9.972192383E1,-6.459550476E1,-1.571108398E2
4.310006667E-1,-9.994070435E1,-6.475344849E1,-1.572926331E2
4.410426667E-1,-9.994862366E1,-6.475607300E1,-1.572889099E2
4.510846667E-1,-9.991900635E1,-6.461993408E1,-1.571032410E2
4.611256667E-1,-9.975161743E1,-6.451043701E1,-1.567835083E2
4.711676667E-1,-9.973869324E1,-6.431761169E1,-1.568037109E2
4.812096667E-1,-9.986645508E1,-6.437861633E1,-1.569846191E2
4.912506667E-1,-9.981393433E1,-6.447111511E1,-1.573238220E2
5.012926667E-1,-9.954479980E1,-6.471334839E1,-1.574089661E2
5.113346667E-1,-9.978530884E1,-6.471591187E1,-1.571900330E2
5.213766667E-1,-9.974371338E1,-6.456941223E1,-1.568621216E2
5.314176667E-1,-9.975703430E1,-6.470796204E1,-1.573249512E2
5.414596667E-1,-9.988777161E1,-6.455609131E1,-1.574851379E2
5.515016667E-1,-9.969967651E1,-6.459054565E1,-1.571650391E2
5.615426667E-1,-9.981338501E1,-6.463685608E1,-1.572444763E2
5.715846667E-1,-9.963865662E1,-6.456544495E1,-1.575557556E2
5.816266667E-1,-9.977897644E1,-6.462351990E1,-1.575046387E2
5.916676667E-1,-9.956182861E1,-6.456390381E1,-1.577879639E2
6.017096667E-1,-9.966670227E1,-6.461305237E1,-1.577546997E2
6.117516667E-1,-9.984088135E1,-6.458236694E1,-1.576151733E2
6.217926667E-1,-9.973059082E1,-6.458064270E1,-1.575960693E2
6.318346667E-1,-9.974147034E1,-6.445375061E1,-1.576075439E2
6.418766667E-1,-9.956451416E1,-6.445367432E1,-1.573206482E2
6.519176667E-1,-9.952018738E1,-6.452122498E1,-1.574553833E2
6.619596667E-1,-9.965298462E1,-6.466987610E1,-1.574747009E2
6.720016667E-1,-9.963793945E1,-6.448265076E1,-1.578211365E2
6.820426667E-1,-9.982597351E1,-6.465200806E1,-1.576293335E2
6.920846667E-1,-9.967837524E1,-6.449601746E1,-1.577629089E2
7.021266667E-1,-9.985057068E1,-6.442185974E1,-1.577406311E2
7.121676667E-1,-9.977435303E1,-6.447334290E1,-1.579614258E2
7.222096667E-1,-9.982742310E1,-6.472177124E1,-1.575623779E2
7.322516667E-1,-9.964102173E1,-6.463627625E1,-1.573501587E2
7.422926667E-1,-9.973602295E1,-6.464436340E1,-1.569462585E2
7.523346667E-1,-9.963439941E1,-6.449549866E1,-1.570556030E2
7.623766667E-1,-9.951924133E1,-6.466763306E1,-1.572292175E2
7.724186667E-1,-9.939392090E1,-6.455157471E1,-1.574874573E2
7.824596667E-1,-9.951391602E1,-6.460736084E1,-1.575173340E2
7.925016667E-1,-9.947998047E1,-6.464624023E1,-1.577925415E2
8.025436667E-1,-9.958770752E1,-6.459730530E1,-1.578307800E2
8.125846667E-1,-9.943119812E1,-6.493276978E1,-1.574595032E2
8.226266667E-1,-9.972013855E1,-6.455822754E1,-1.576099548E2
8.326686667E-1,-9.977508545E1,-6.471737671E1,-1.573073120E2
8.427096667E-1,-9.985139465E1,-6.447254944E1,-1.574612427E2
8.527516667E-1,-9.984153748E1,-6.461489868E1,-1.571860657E2
8.627936667E-1,-9.971315002E1,-6.485493469E1,-1.571941833E2
8.728346667E-1,-9.958247375E1,-6.480776978E1,-1.571048584E2
8.828766667E-1,-9.976606750E1,-6.470495605E1,-1.571924744E2
8.929186667E-1,-9.970304871E1,-6.458660889E1,-1.574260254E2
9.029596667E-1,-9.970437622E1,-6.464723206E1,-1.573223572E2
9.130016667E-1,-9.975573730E1,-6.448051453E1,-1.572890930E2
9.230436667E-1,-9.965588379E1,-6.450256348E1,-1.576286621E2
9.330846667E-1,-9.965011597E1,-6.460261536E1,-1.574169006E2
9.431266667E-1,-9.987550354E1,-6.462870789E1,-1.575591125E2
9.531686667E-1,-9.971195984E1,-6.453205872E1,-1.573539124E2
9.632081667E-1,-9.950662231E1,-6.431640625E1,-1.572097473E2
9.732501667E-1,-9.951751709E1,-6.446591187E1,-1.574647827E2
9.832921667E-1,-9.956674194E1,-6.458268738E1,-1.572922974E2
9.933331667E-1,-9.956883240E1,-6.447210693E1,-1.570498962E2
1.003375167E0,-9.964222717E1,-6.437654114E1,-1.569827271E2
1.013417167E0,-9.956748962E1,-6.461466980E1,-1.570789795E2
1.023458167E0,-9.954565430E1,-6.454908752E1,-1.571262512E2
1.033500167E0,-9.965336609E1,-6.471008301E1,-1.571937256E2
1.043542167E0,-9.958830261E1,-6.454017639E1,-1.571930847E2
1.053583167E0,-9.961567688E1,-6.453524780E1,-1.572744141E2
1.063625167E0,-9.940731812E1,-6.461393738E1,-1.571973572E2
1.073667167E0,-9.942268372E1,-6.476702881E1,-1.572028503E2
1.083708167E0,-9.953717041E1,-6.459443665E1,-1.568969116E2
1.093750167E0,-9.963005066E1,-6.466053772E1,-1.569434204E2
1.103792167E0,-9.947831726E1,-6.467835999E1,-1.569723511E2
1.113834167E0,-9.932127380E1,-6.481979370E1,-1.572377319E2
1.123875167E0,-9.931987000E1,-6.487944031E1,-1.572430725E2
1.133917167E0,-9.941888428E1,-6.464694214E1,-1.572952881E2
1.143959167E0,-9.978913879E1,-6.448370361E1,-1.572340393E2
1.154000167E0,-9.977188110E1,-6.463314819E1,-1.569714966E2
1.164042167E0,-9.965702820E1,-6.446794128E1,-1.569008179E2
1.174084167E0,-9.943557739E1,-6.460272217E1,-1.569659424E2
1.184125167E0,-9.944441223E1,-6.446391296E1,-1.570027161E2
1.194167167E0,-9.948799133E1,-6.454299927E1,-1.575581970E2
1.204209167E0,-9.958068848E1,-6.448225403E1,-1.573498840E2
1.214250167E0,-9.971878052E1,-6.459933472E1,-1.571732178E2
