"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.864725000E-2,-1.949074212E-3,5.329690175E-4,-1.197383739E-3
2.860425000E-2,1.717014238E-4,-1.242467551E-3,-1.853677910E-3
3.856025000E-2,4.630513722E-4,-1.579623786E-3,5.713964347E-4
4.851725000E-2,6.797397509E-4,-7.959013456E-4,-5.538132973E-4
5.847425000E-2,8.168925997E-4,-5.721958005E-4,-1.499768347E-3
6.843025000E-2,-1.226797933E-3,9.081750177E-4,9.460900910E-4
7.838725000E-2,-9.391764179E-4,9.649003623E-4,7.812404074E-4
8.834425000E-2,-1.827332657E-3,-8.045660798E-4,-1.621134579E-3
9.830025000E-2,7.189156022E-4,5.084127770E-5,-3.369585611E-4
1.082572500E-1,-1.504018903E-3,4.352590186E-4,-1.110802405E-4
1.182142500E-1,1.503755106E-3,1.640073024E-3,-8.258456364E-5
1.281712500E-1,4.679047270E-4,8.573113591E-4,9.317398071E-4
1.381272500E-1,1.928648562E-3,4.904517438E-3,-1.350855455E-3
1.480842500E-1,-6.720139645E-4,-1.028013532E-3,-8.040550165E-4
1.580412500E-1,-3.127534874E-4,2.062318381E-3,1.198109705E-3
1.679972500E-1,-2.008455340E-4,8.582590963E-4,-1.239877194E-3
1.779542500E-1,-1.526833512E-3,-8.799862117E-4,-3.706216812E-4
1.879112500E-1,2.716097049E-3,6.006177282E-4,1.445809379E-3
1.978672500E-1,1.277990057E-3,-5.709067918E-4,-2.839136869E-4
2.078242500E-1,1.000525081E-3,1.236054581E-3,1.228639390E-3
2.177812500E-1,-1.571509056E-4,-1.214586198E-3,5.013300106E-4
2.277382500E-1,-5.295285955E-4,-1.906653866E-3,-2.809977159E-4
2.376942500E-1,2.639899496E-3,-1.974371262E-4,-3.888560459E-4
2.476512500E-1,-1.383628463E-3,-9.005827596E-4,-1.556699630E-3
2.576082500E-1,-1.036618371E-3,8.512446657E-4,-2.728490625E-3
2.675642500E-1,-1.285386505E-3,3.714025079E-4,1.682128757E-3
2.775212500E-1,3.870786168E-4,-1.513582887E-3,-9.014038369E-4
2.874782500E-1,1.712826313E-3,7.398068556E-5,9.897751734E-4
2.974342500E-1,1.588722924E-3,-6.472033565E-4,-6.883125752E-5
3.073912500E-1,2.512708772E-3,-2.794873668E-3,2.768412232E-4
3.173482500E-1,-8.356836624E-4,2.532513812E-3,2.374262549E-4
3.273042500E-1,1.185752917E-4,-1.724218135E-3,-1.565726474E-3
3.372612500E-1,2.107690088E-3,-2.570828074E-4,5.384371616E-4
3.472182500E-1,9.780594846E-4,6.811077474E-4,-3.000311553E-4
3.571742500E-1,1.983935479E-3,1.391544647E-4,-1.056203619E-4
3.671312500E-1,3.282120451E-3,1.169730560E-3,8.742662612E-4
3.770882500E-1,5.204222398E-4,1.649198239E-4,-3.001165576E-3
3.870452500E-1,1.554845134E-3,-3.348689061E-4,-3.401259892E-4
3.970012500E-1,-7.458596956E-4,5.049051833E-5,1.417294145E-3
4.069582500E-1,-5.522998981E-5,-7.481961511E-4,-2.180784941E-5
4.169152500E-1,1.374088461E-3,-1.203330350E-3,-1.321963035E-3
4.268712500E-1,2.277410822E-4,-5.383492680E-4,7.297331467E-5
4.368282500E-1,-7.829284295E-4,-1.743429573E-3,3.044023179E-4
4.467852500E-1,1.070673577E-3,1.585394784E-4,3.374521621E-4
4.567412500E-1,-7.280255668E-4,-9.996691952E-4,-1.391738188E-3
4.666982500E-1,7.755520055E-4,-7.549611037E-4,-1.214970835E-3
4.766552500E-1,1.914053340E-3,-7.629505708E-4,1.943804557E-3
4.866112500E-1,1.383456402E-5,-1.910772757E-3,-3.569577821E-4
4.965682500E-1,2.395454794E-5,3.422615118E-4,-1.697377302E-4
5.065252500E-1,-4.088878632E-5,-6.597439642E-4,-1.772823744E-4
5.164822500E-1,-3.142938949E-3,-1.967622433E-3,-7.690368220E-4
5.264382500E-1,2.234674757E-4,-4.807625082E-4,1.318694791E-3
5.363952500E-1,8.290703408E-4,-9.407149628E-5,1.214831602E-3
5.463522500E-1,6.527616642E-4,-7.638196694E-4,1.156349201E-3
5.563082500E-1,-9.691033047E-4,-7.680807030E-4,-2.576869912E-3
5.662652500E-1,1.147186849E-3,-1.323717064E-3,-3.579030745E-4
5.762222500E-1,-2.227304503E-3,-6.697137724E-5,3.393124789E-4
5.861782500E-1,-4.783978220E-4,2.910519834E-4,-4.096031189E-4
5.961352500E-1,-6.309971213E-4,-7.473145379E-4,-1.715165563E-4
6.060922500E-1,7.031594869E-4,-6.689713337E-4,3.953790292E-5
6.160482500E-1,-1.349605154E-3,-4.932027077E-4,-5.740546621E-4
6.260052500E-1,-2.343540313E-3,9.386310703E-4,-7.880534977E-4
6.359622500E-1,-2.599203726E-3,1.569001353E-3,1.385352109E-3
6.459192500E-1,-1.833257265E-4,4.426623345E-4,-3.631021827E-4
6.558752500E-1,3.192126751E-4,2.293431171E-4,5.016261712E-4
6.658322500E-1,-2.474758774E-3,-3.525667591E-3,2.145228907E-3
6.757892500E-1,2.449958585E-3,-2.128307242E-3,1.793158939E-3
6.857452500E-1,2.509985352E-4,-3.419807763E-4,2.537374850E-3
6.957022500E-1,1.838242635E-3,5.754782469E-4,-2.561779693E-3
7.056592500E-1,4.237920512E-3,-1.848510583E-4,4.026587121E-4
7.156152500E-1,-1.780823572E-3,6.537783192E-4,9.043607861E-6
7.255722500E-1,-1.311717555E-3,1.018668874E-3,-1.385055948E-3
7.355292500E-1,-2.408939879E-3,4.921619548E-4,8.820509538E-5
7.454852500E-1,1.716970000E-4,8.066401933E-4,-1.961728558E-4
7.554422500E-1,-2.506803721E-4,-1.607781625E-3,-1.471560448E-3
7.653992500E-1,1.950915204E-3,2.611750504E-3,1.137773506E-4
7.753552500E-1,8.265286451E-4,6.828231271E-4,-6.662621163E-4
7.853122500E-1,1.411599224E-3,-2.783851814E-4,-2.648041118E-3
7.952692500E-1,7.846911903E-4,6.300191162E-4,1.579460455E-3
8.052262500E-1,1.662356313E-3,-6.205098471E-4,5.217560101E-4
8.151822500E-1,2.892304910E-4,-1.466329792E-3,-8.692131378E-4
8.251392500E-1,-1.025265083E-3,6.930131931E-4,-9.192903526E-4
8.350962500E-1,-2.249851823E-4,-3.269775189E-4,-6.529740058E-4
8.450522500E-1,-2.321766922E-3,-1.267563086E-3,9.085114580E-4
8.550092500E-1,1.488417736E-3,7.694889209E-4,6.893333048E-4
8.649662500E-1,-2.461422700E-4,-6.748125888E-4,1.550130779E-3
8.749222500E-1,4.020711640E-4,-1.908388804E-3,1.168176532E-4
8.848792500E-1,-9.098818991E-4,-1.611522632E-3,7.495337632E-4
8.948362500E-1,-1.926927362E-4,2.027420793E-3,1.951951068E-3
9.047922500E-1,-2.328403527E-3,-4.509228747E-4,-1.962529495E-4
9.147492500E-1,4.735083785E-4,7.309879875E-4,2.399040386E-5
