"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-5.957916655E-4,-2.320175171E-2,9.205856323E-2,9.762548676E0
9.359208336E-3,-8.382568359E-3,9.205856323E-2,9.745933228E0
1.931520834E-2,4.790039062E-3,1.007405090E-1,9.745633850E0
2.927020834E-2,-3.742218018E-3,1.106199646E-1,9.740245056E0
3.922520833E-2,-2.544708252E-2,1.136137390E-1,9.762099609E0
4.918120833E-2,-2.559677124E-2,1.034349060E-1,9.763446808E0
5.913620834E-2,-2.424957275E-2,1.089733887E-1,9.753866730E0
6.909120834E-2,-3.412902832E-2,9.520202637E-2,9.763446808E0
7.904720834E-2,-2.409988403E-2,9.490264893E-2,9.761051788E0
8.900220833E-2,-2.634521484E-2,9.804611206E-2,9.757459259E0
9.895720833E-2,-2.454895020E-2,9.325607300E-2,9.746981049E0
1.089132083E-1,-2.454895020E-2,9.565109253E-2,9.754465485E0
1.188682083E-1,-1.122665405E-2,1.055305481E-1,9.758058014E0
1.288242083E-1,-1.721420288E-2,1.037342834E-1,9.751920776E0
1.387792083E-1,-1.781295776E-2,1.022373962E-1,9.746232605E0
1.487342083E-1,-1.422042847E-2,1.013392639E-1,9.762848053E0
1.586902083E-1,-1.197509766E-2,1.088237000E-1,9.767338715E0
1.686452083E-1,-1.107696533E-2,1.082249451E-1,9.754764862E0
1.786002083E-1,-7.334747314E-3,9.475296021E-2,9.751172333E0
1.885562083E-1,-1.811233521E-2,9.280700684E-2,9.752220154E0
1.985112083E-1,-2.529739380E-2,8.831634521E-2,9.760453033E0
2.084662083E-1,-2.574645996E-2,9.490264893E-2,9.754914551E0
2.184222083E-1,-2.395019531E-2,9.265731812E-2,9.751471710E0
2.283772083E-1,-2.604583740E-2,1.070274353E-1,9.748028870E0
2.383334583E-1,-1.661544800E-2,1.137634277E-1,9.765692139E0
2.482884583E-1,-1.272354126E-2,1.134640503E-1,9.758956146E0
2.582434583E-1,-1.092727661E-2,1.059796143E-1,9.755662994E0
2.681994583E-1,-1.437011719E-2,9.939331055E-2,9.763596497E0
2.781544583E-1,-1.930984497E-2,8.786727905E-2,9.767488403E0
2.881094583E-1,-1.781295776E-2,9.011260986E-2,9.751771088E0
