"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.993765000E-3,-4.739717960E0,8.151900291E0,3.129083633E0
1.239673400E-2,-4.739717960E0,8.151900291E0,3.129083633E0
1.479970300E-2,-3.999941587E0,6.660376549E0,2.798697948E0
1.720267200E-2,-4.754082203E0,7.991496086E0,3.287094116E0
1.960564000E-2,-4.754082203E0,7.969948769E0,3.306246996E0
2.200860900E-2,-4.754082203E0,7.969948769E0,3.306246996E0
2.441157800E-2,-4.761264801E0,7.974737167E0,3.311035156E0
2.681454700E-2,-4.761264801E0,7.974737167E0,3.311035156E0
2.921751500E-2,-4.758870125E0,7.979525566E0,3.308641195E0
3.162048400E-2,-4.732535362E0,7.934037209E0,3.294276476E0
3.410241100E-2,-4.694229603E0,7.934037209E0,3.270335436E0
3.666329700E-2,-4.679865360E0,7.917278290E0,3.222453356E0
3.922418200E-2,-4.655924320E0,7.902914047E0,3.198512554E0
4.176069200E-2,-4.660712242E0,7.881366730E0,3.186542034E0
4.423631700E-2,-4.691835880E0,7.850243568E0,3.155418634E0
4.667569200E-2,-4.694229603E0,7.874184608E0,3.105142593E0
4.917605700E-2,-4.713382721E0,7.886155128E0,3.117113113E0
5.173694200E-2,-4.742111683E0,7.878973007E0,3.093172073E0
5.429782800E-2,-4.744505882E0,7.883761406E0,3.076413393E0
5.685871300E-2,-4.744505882E0,7.867002487E0,3.071625233E0
5.941959900E-2,-4.754082203E0,7.874184608E0,3.054866791E0
6.198048400E-2,-4.770840645E0,7.867002487E0,3.088383913E0
6.454137000E-2,-4.775629044E0,7.917278290E0,3.105142593E0
6.710225500E-2,-4.761264801E0,7.950796127E0,3.174571514E0
6.966314000E-2,-4.785205841E0,8.005860329E0,3.162600994E0
7.222402600E-2,-4.768446922E0,8.013042450E0,3.164995193E0
7.478491100E-2,-4.737323761E0,8.027407646E0,3.150630713E0
7.734579700E-2,-4.718170643E0,8.077683449E0,3.117113113E0
7.990668200E-2,-4.691835880E0,8.084865570E0,3.057260752E0
8.246756700E-2,-4.689441681E0,8.084865570E0,3.035713911E0
8.502845300E-2,-4.703806400E0,8.080077171E0,3.004590511E0
8.758933800E-2,-4.722958565E0,8.044165611E0,2.983043671E0
9.015022400E-2,-4.749294281E0,8.068106651E0,2.968679190E0
9.271110900E-2,-4.763659000E0,8.089653969E0,2.975861549E0
9.527199500E-2,-4.809146881E0,8.084865570E0,2.951920509E0
9.783288000E-2,-4.797176361E0,8.096836090E0,2.975861549E0
1.003330880E-1,-4.811540604E0,8.108806610E0,3.018955231E0
1.027724110E-1,-4.806752205E0,8.127959251E0,3.050078392E0
1.052117860E-1,-4.799570084E0,8.120777130E0,3.093172073E0
1.076512130E-1,-4.797176361E0,8.106411934E0,3.138660192E0
1.100898070E-1,-4.766052723E0,8.139929771E0,3.193724394E0
1.125284530E-1,-4.744505882E0,8.168659210E0,3.253576994E0
1.149678280E-1,-4.754082203E0,8.178235054E0,3.318217516E0
