"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.755356500E-2,-5.503492057E-2,1.100698411E-1,9.766903877E0
1.974479000E-2,-4.067798331E-2,9.571290761E-2,9.766903877E0
2.197924500E-2,-4.546362907E-2,1.046859920E-1,9.790832520E0
2.421951700E-2,-5.024927482E-2,1.004985496E-1,9.752547264E0
2.645743200E-2,-2.572284266E-2,1.046859920E-1,9.753145218E0
2.869730000E-2,-4.965107143E-2,1.100698411E-1,9.757332802E0
3.092862300E-2,-5.024927482E-2,1.004985496E-1,9.781260490E0
3.316623300E-2,-4.067798331E-2,1.094716340E-1,9.776474953E0
3.540060800E-2,-2.632104978E-2,9.990034252E-2,9.776474953E0
3.763840100E-2,-3.110669367E-2,1.142572835E-1,9.781260490E0
3.987515700E-2,-2.632104978E-2,1.046859920E-1,9.781260490E0
4.211246100E-2,-2.392822644E-3,8.075776696E-2,9.767501831E0
4.434854500E-2,-3.110669367E-2,9.511470050E-2,9.781260490E0
4.658249300E-2,-4.546362907E-2,1.004985496E-1,9.776474953E0
4.883707100E-2,-3.589234129E-2,1.094716340E-1,9.776474953E0
5.107333800E-2,-1.674975827E-2,1.046859920E-1,9.786644936E0
5.331186400E-2,-2.632104978E-2,1.046859920E-1,9.786046028E0
5.554159900E-2,-2.153540403E-2,1.094716340E-1,9.772287369E0
5.776901600E-2,-2.632104978E-2,1.094716340E-1,9.771689415E0
6.001816200E-2,-3.529413417E-2,1.142572835E-1,9.771689415E0
6.225571100E-2,-2.632104978E-2,1.046859920E-1,9.781260490E0
6.449411400E-2,-3.589234129E-2,1.046859920E-1,9.781260490E0
6.672769600E-2,-2.632104978E-2,9.990034252E-2,9.786046028E0
6.896420700E-2,-4.067798331E-2,9.511470050E-2,9.776474953E0
7.120236600E-2,-3.589234129E-2,9.990034252E-2,9.786046028E0
7.344241700E-2,-3.529413417E-2,1.190429255E-1,9.762118340E0
7.567599900E-2,-1.674975827E-2,1.046859920E-1,9.762716293E0
7.791177800E-2,-3.529413417E-2,1.094716340E-1,9.766903877E0
8.014810500E-2,-3.589234129E-2,1.094716340E-1,9.776474953E0
8.238461700E-2,-3.050848842E-2,1.190429255E-1,9.757332802E0
8.462149500E-2,-3.529413417E-2,1.094716340E-1,9.762118340E0
8.685806700E-2,-4.007977992E-2,1.142572835E-1,9.771689415E0
8.909488300E-2,-2.093719877E-2,1.142572835E-1,9.757930756E0
9.133176100E-2,-2.093719877E-2,1.142572835E-1,9.757930756E0
9.356851600E-2,-4.067798331E-2,8.614161611E-2,9.766903877E0
9.580539300E-2,-4.067798331E-2,1.004985496E-1,9.752547264E0
9.804288100E-2,-3.529413417E-2,1.142572835E-1,9.776474953E0
1.002784770E-1,-3.589234129E-2,8.554340899E-2,9.790832520E0
1.025155980E-1,-5.024927482E-2,9.571290761E-2,9.781260490E0
1.047528420E-1,-4.546362907E-2,1.004985496E-1,9.766903877E0
1.069887430E-1,-4.546362907E-2,1.046859920E-1,9.781260490E0
1.092214700E-1,-3.050848842E-2,1.094716340E-1,9.766903877E0
1.114456520E-1,-3.589234129E-2,1.094716340E-1,9.776474953E0
1.136990090E-1,-5.503492057E-2,8.135596663E-2,9.781260490E0
1.159369240E-1,-4.067798331E-2,1.094716340E-1,9.790832520E0
1.181763040E-1,-4.486542568E-2,1.190429255E-1,9.781260490E0
1.204089090E-1,-4.546362907E-2,9.571290761E-2,9.776474953E0
1.226453590E-1,-4.546362907E-2,1.100698411E-1,9.771689415E0
1.248825420E-1,-5.982056633E-2,1.052841991E-1,9.771689415E0
1.271193580E-1,-4.486542568E-2,1.052841991E-1,9.747760773E0
1.293559310E-1,-5.443671346E-2,1.100698411E-1,9.742975235E0
1.315929910E-1,-4.546362907E-2,1.046859920E-1,9.781260490E0
1.338304790E-1,-5.024927482E-2,1.148554832E-1,9.786046028E0
1.360660750E-1,-3.589234129E-2,1.046859920E-1,9.776474953E0
1.382996560E-1,-4.546362907E-2,1.046859920E-1,9.786046028E0
1.405271950E-1,-5.503492057E-2,9.092725813E-2,9.781260490E0
1.427760360E-1,-5.503492057E-2,1.052841991E-1,9.771689415E0
1.450090070E-1,-3.110669367E-2,1.046859920E-1,9.781260490E0
1.472370340E-1,-3.110669367E-2,9.990034252E-2,9.790832520E0
1.494865460E-1,-3.110669367E-2,1.094716340E-1,9.771689415E0
1.517240340E-1,-3.589234129E-2,1.094716340E-1,9.795618057E0
1.539635350E-1,-3.050848842E-2,1.142572835E-1,9.743574142E0
1.561965070E-1,-3.589234129E-2,9.990034252E-2,9.762118340E0
1.584314310E-1,-2.632104978E-2,1.094716340E-1,9.771689415E0
1.606635480E-1,-3.110669367E-2,1.094716340E-1,9.776474953E0
1.629066510E-1,-2.153540403E-2,1.142572835E-1,9.786046028E0
1.651405370E-1,-4.546362907E-2,1.052841991E-1,9.762118340E0
1.673711890E-1,-3.589234129E-2,1.094716340E-1,9.790832520E0
1.696178320E-1,-2.632104978E-2,9.511470050E-2,9.781260490E0
1.718534890E-1,-5.024927482E-2,1.100698411E-1,9.766903877E0
1.740932360E-1,-4.007977992E-2,1.052841991E-1,9.747760773E0
1.763264500E-1,-4.546362907E-2,1.052841991E-1,9.771689415E0
1.785583230E-1,-4.067798331E-2,9.032905847E-2,9.771689415E0
1.808004500E-1,-3.110669367E-2,1.238285750E-1,9.795618057E0
1.830367780E-1,-3.050848842E-2,1.190429255E-1,9.771689415E0
1.852754860E-1,-1.615155302E-2,1.238285750E-1,9.776474953E0
1.875129130E-1,-3.110669367E-2,1.190429255E-1,9.786046028E0
1.897524150E-1,-3.110669367E-2,9.032905847E-2,9.786046028E0
1.919840430E-1,-1.674975827E-2,8.554340899E-2,9.762716293E0
1.942203110E-1,-1.674975827E-2,9.511470050E-2,9.777072906E0
1.964559670E-1,-3.050848842E-2,1.142572835E-1,9.766903877E0
