"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.421951700E-2,-1.832595794E-3,-2.443460980E-3,0.000000000E0
2.645743200E-2,-4.581489484E-4,-1.527163113E-4,0.000000000E0
2.869730000E-2,7.635815418E-4,1.069014193E-3,0.000000000E0
3.092862300E-2,1.985311974E-3,-1.527163113E-4,0.000000000E0
3.316623300E-2,1.985311974E-3,-2.596177394E-3,-1.221730490E-3
3.540060800E-2,-4.581489484E-4,-1.374446787E-3,1.221730490E-3
3.763840100E-2,-4.581489484E-4,-1.527163113E-4,0.000000000E0
3.987515700E-2,-1.832595794E-3,-2.443460980E-3,1.221730490E-3
4.211246100E-2,-4.581489484E-4,-1.374446787E-3,0.000000000E0
4.434854500E-2,1.985311974E-3,-1.374446787E-3,0.000000000E0
4.658249300E-2,-6.108652451E-4,-2.443460980E-3,-1.221730490E-3
4.883707100E-2,6.108652451E-4,-2.596177394E-3,1.221730490E-3
5.107333800E-2,1.985311974E-3,-2.596177394E-3,-1.221730490E-3
5.331186400E-2,1.985311974E-3,-1.527163113E-4,-1.221730490E-3
5.554159900E-2,7.635815418E-4,-1.374446787E-3,-1.221730490E-3
5.776901600E-2,-4.581489484E-4,1.069014193E-3,-1.221730490E-3
6.001816200E-2,-6.108652451E-4,-3.665191587E-3,0.000000000E0
6.225571100E-2,7.635815418E-4,-1.527163113E-4,-1.221730490E-3
6.449411400E-2,1.985311974E-3,2.290744567E-3,0.000000000E0
6.672769600E-2,6.108652451E-4,-2.596177394E-3,1.221730490E-3
6.896420700E-2,-1.679879380E-3,2.290744567E-3,-1.221730490E-3
7.120236600E-2,7.635815418E-4,-1.527163113E-4,-2.443460980E-3
7.344241700E-2,-6.108652451E-4,-2.443460980E-3,0.000000000E0
7.567599900E-2,-4.581489484E-4,-1.527163113E-4,0.000000000E0
7.791177800E-2,-1.679879380E-3,-1.221730490E-3,-1.221730490E-3
8.014810500E-2,-4.581489484E-4,-1.527163113E-4,0.000000000E0
8.238461700E-2,-1.679879380E-3,-0.000000000E0,0.000000000E0
8.462149500E-2,7.635815418E-4,2.290744567E-3,0.000000000E0
8.685806700E-2,-4.581489484E-4,1.069014193E-3,0.000000000E0
8.909488300E-2,-1.679879380E-3,1.221730490E-3,1.221730490E-3
9.133176100E-2,-4.581489484E-4,2.290744567E-3,-2.443460980E-3
9.356851600E-2,-1.679879380E-3,-0.000000000E0,0.000000000E0
9.580539300E-2,1.985311974E-3,1.069014193E-3,-1.221730490E-3
9.804288100E-2,-4.581489484E-4,1.069014193E-3,0.000000000E0
1.002784770E-1,-2.901609987E-3,3.665191587E-3,1.221730490E-3
1.025155980E-1,7.635815418E-4,1.069014193E-3,1.221730490E-3
1.047528420E-1,-1.679879380E-3,1.221730490E-3,1.221730490E-3
1.069887430E-1,-2.901609987E-3,-0.000000000E0,0.000000000E0
1.092214700E-1,-4.581489484E-4,-1.527163113E-4,0.000000000E0
1.114456520E-1,-1.679879380E-3,-1.221730490E-3,-1.221730490E-3
1.136990090E-1,7.635815418E-4,-2.596177394E-3,-1.221730490E-3
1.159369240E-1,-4.581489484E-4,-1.374446787E-3,-1.221730490E-3
1.181763040E-1,-1.679879380E-3,-0.000000000E0,1.221730490E-3
1.204089090E-1,7.635815418E-4,-2.596177394E-3,-1.221730490E-3
1.226453590E-1,-4.581489484E-4,-1.527163113E-4,-1.221730490E-3
1.248825420E-1,-1.679879380E-3,-0.000000000E0,0.000000000E0
1.271193580E-1,-4.581489484E-4,-1.374446787E-3,1.221730490E-3
1.293559310E-1,-6.108652451E-4,-2.443460980E-3,-1.221730490E-3
1.315929910E-1,7.635815418E-4,-1.527163113E-4,-2.443460980E-3
1.338304790E-1,-1.679879380E-3,2.290744567E-3,-1.221730490E-3
1.360660750E-1,7.635815418E-4,-1.527163113E-4,1.221730490E-3
1.382996560E-1,-4.581489484E-4,1.069014193E-3,1.221730490E-3
1.405271950E-1,-3.054326167E-3,-1.221730490E-3,0.000000000E0
1.427760360E-1,6.108652451E-4,-3.817907767E-3,0.000000000E0
1.450090070E-1,-1.679879380E-3,-0.000000000E0,-1.221730490E-3
1.472370340E-1,-4.581489484E-4,-1.374446787E-3,-1.221730490E-3
1.494865460E-1,-4.581489484E-4,-1.374446787E-3,0.000000000E0
1.517240340E-1,-4.581489484E-4,-1.527163113E-4,1.221730490E-3
1.539635350E-1,-2.901609987E-3,1.221730490E-3,1.221730490E-3
1.561965070E-1,-1.832595794E-3,-2.443460980E-3,-1.221730490E-3
1.584314310E-1,7.635815418E-4,-1.527163113E-4,-2.443460980E-3
1.606635480E-1,-4.581489484E-4,2.290744567E-3,1.221730490E-3
1.629066510E-1,-4.581489484E-4,1.069014193E-3,2.443460980E-3
1.651405370E-1,7.635815418E-4,1.069014193E-3,0.000000000E0
1.673711890E-1,-4.581489484E-4,-1.374446787E-3,-1.221730490E-3
