"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.498782800E-2,-4.479840088E1,2.636419868E1,-5.410699844E1
4.498709500E-2,-4.528639984E1,2.636419868E1,-5.403379822E1
5.498709500E-2,-4.510339737E1,2.627879906E1,-5.350919724E1
6.498734000E-2,-4.460319901E1,2.665699959E1,-5.410699844E1
7.498734000E-2,-4.517659760E1,2.635199928E1,-5.442419815E1
8.498709500E-2,-4.488380051E1,2.674239922E1,-5.442419815E1
9.498734000E-2,-4.448119736E1,2.636419868E1,-5.469260025E1
1.049868510E-1,-4.526199722E1,2.682779884E1,-5.454619980E1
1.149880720E-1,-4.528639984E1,2.646179962E1,-5.413139725E1
1.249844100E-1,-4.498139954E1,2.664480019E1,-5.442419815E1
1.349875840E-1,-4.518880081E1,2.626659966E1,-5.402159882E1
1.450071150E-1,-4.489599991E1,2.608359909E1,-5.399720001E1
1.549878280E-1,-4.509119797E1,2.627879906E1,-5.402159882E1
1.649988140E-1,-4.488380051E1,2.626659966E1,-5.431439972E1
1.749873400E-1,-4.506679916E1,2.588839912E1,-5.460720062E1
1.849993020E-1,-4.507899857E1,2.616899872E1,-5.431439972E1
1.949870950E-1,-4.440800095E1,2.646179962E1,-5.409479904E1
2.049931990E-1,-4.489599991E1,2.618120003E1,-5.389959717E1
2.149949080E-1,-4.488380051E1,2.646179962E1,-5.421680069E1
2.249993020E-1,-4.479840088E1,2.590060043E1,-5.409479904E1
2.349873400E-1,-4.488380051E1,2.588839912E1,-5.419239807E1
2.449993020E-1,-4.546939850E1,2.597379875E1,-5.432659912E1
2.549870950E-1,-4.461539841E1,2.561999893E1,-5.377759933E1
2.649990580E-1,-4.499359894E1,2.665699959E1,-5.402159882E1
2.749936870E-1,-4.488380051E1,2.646179962E1,-5.421680069E1
2.849990580E-1,-4.527420044E1,2.664480019E1,-5.424119949E1
2.949956400E-1,-4.440800095E1,2.590060043E1,-5.387519836E1
3.049873400E-1,-4.537179947E1,2.587619972E1,-5.452179718E1
3.150071150E-1,-4.490819931E1,2.618120003E1,-5.370439911E1
3.249990580E-1,-4.468859863E1,2.598600006E1,-5.428999710E1
3.349988140E-1,-4.479840088E1,2.618120003E1,-5.399720001E1
3.449993020E-1,-4.516439819E1,2.615679932E1,-5.481459808E1
3.549873400E-1,-4.468859863E1,2.616899872E1,-5.449739838E1
3.649951520E-1,-4.498139954E1,2.608359909E1,-5.430220032E1
3.749873400E-1,-4.479840088E1,2.618120003E1,-5.410699844E1
3.849870950E-1,-4.449340057E1,2.618120003E1,-5.428999710E1
3.949873400E-1,-4.516439819E1,2.644960022E1,-5.463159943E1
4.049870950E-1,-4.498139954E1,2.618120003E1,-5.420459747E1
4.149878280E-1,-4.509119797E1,2.608359909E1,-5.410699844E1
4.249873400E-1,-4.468859863E1,2.588839912E1,-5.448519897E1
4.349878280E-1,-4.470079803E1,2.580299950E1,-5.398500061E1
4.449936870E-1,-4.499359894E1,2.627879906E1,-5.381419754E1
4.549875840E-1,-4.470079803E1,2.627879906E1,-5.389959717E1
4.649873400E-1,-4.479840088E1,2.608359909E1,-5.409479904E1
4.749875840E-1,-4.509119797E1,2.655939865E1,-5.402159882E1
4.850034530E-1,-4.450559998E1,2.608359909E1,-5.408259964E1
