"Time (s)","Pressure (hPa)"
5.531839400E-2,9.937252197E2
7.525272000E-2,9.937138672E2
9.525296500E-2,9.937184448E2
1.152532090E-1,9.937276001E2
1.352527200E-1,9.937211304E2
1.552512560E-1,9.937222900E2
1.752973980E-1,9.936969604E2
1.953567240E-1,9.937135010E2
2.155832870E-1,9.937139282E2
2.355588730E-1,9.937194824E2
2.558454940E-1,9.937183228E2
2.760139510E-1,9.937213135E2
2.961233260E-1,9.937247925E2
3.162385600E-1,9.937097168E2
3.362546740E-1,9.937225342E2
3.553247420E-1,9.937176514E2
3.752942240E-1,9.937183228E2
3.952517440E-1,9.936991577E2
4.152515000E-1,9.937254028E2
4.352534530E-1,9.937024536E2
4.552532090E-1,9.937247925E2
4.752532090E-1,9.937214355E2
4.956465190E-1,9.937127075E2
5.152529650E-1,9.937191772E2
5.352493020E-1,9.937003174E2
5.554636580E-1,9.937084351E2
5.755266460E-1,9.937109375E2
5.959266460E-1,9.937105713E2
6.160159040E-1,9.937349854E2
6.360881700E-1,9.937222290E2
6.562012070E-1,9.937213135E2
6.763689310E-1,9.937090454E2
6.952790880E-1,9.937176514E2
7.152534530E-1,9.937184448E2
7.352515000E-1,9.937197876E2
7.552532090E-1,9.937193604E2
7.752524760E-1,9.937204590E2
7.952519880E-1,9.937108154E2
8.156199080E-1,9.937147827E2
8.352510110E-1,9.937166748E2
8.552529650E-1,9.937000122E2
8.755354350E-1,9.937083130E2
8.954143420E-1,9.937144775E2
9.155459330E-1,9.937272949E2
9.358288920E-1,9.937179565E2
9.560310410E-1,9.937301025E2
9.761055040E-1,9.937095337E2
9.962251330E-1,9.937200928E2
1.016296422E0,9.937206421E2
1.035260045E0,9.937269897E2
1.055317174E0,9.937226562E2
1.075253453E0,9.937204590E2
1.095251011E0,9.937092285E2
1.115285435E0,9.937318726E2
1.135274937E0,9.937398071E2
1.155401158E0,9.937360840E2
1.175312047E0,9.937097168E2
1.195253453E0,9.937252197E2
1.215312291E0,9.937299194E2
1.235712291E0,9.937229614E2
1.255738316E0,9.937379761E2
1.275924107E0,9.937268677E2
1.296124791E0,9.937109375E2
1.316100865E0,9.937191772E2
1.336353062E0,9.937226562E2
1.356359410E0,9.937149048E2
1.375265172E0,9.937064209E2
1.395252965E0,9.937246704E2
1.415293980E0,9.937241821E2
1.435317174E0,9.937100220E2
1.455252720E0,9.937306519E2
1.475316441E0,9.937379761E2
1.495251988E0,9.937546997E2
1.515252965E0,9.937306519E2
1.535314488E0,9.937335815E2
1.555291051E0,9.937342529E2
1.575489049E0,9.937252197E2
1.595606724E0,9.937371826E2
1.615863804E0,9.937286987E2
1.636218541E0,9.937116699E2
1.656076939E0,9.937346191E2
1.676297398E0,9.937252197E2
1.696285924E0,9.937200928E2
1.715317174E0,9.937128906E2
1.735326451E0,9.937200317E2
1.755320592E0,9.937321167E2
1.775250767E0,9.937317505E2
1.795252965E0,9.937268677E2
1.815300328E0,9.937359619E2
1.835252965E0,9.937203369E2
1.855250279E0,9.937255859E2
1.875253209E0,9.937293091E2
1.895322056E0,9.937211304E2
1.915473668E0,9.937206421E2
1.935762486E0,9.937160034E2
1.955968297E0,9.937194824E2
1.976125035E0,9.937291260E2
1.996123814E0,9.937226562E2
2.016286656E0,9.937396240E2
2.036557896E0,9.937356567E2
2.055315709E0,9.937363892E2
2.075325474E0,9.937258911E2
2.095250523E0,9.937339478E2
2.115252720E0,9.937258911E2
2.135300084E0,9.937174072E2
2.155321812E0,9.937277222E2
2.175251256E0,9.937214355E2
2.195251500E0,9.937250366E2
2.215247349E0,9.937362671E2
2.235647349E0,9.937213135E2
2.255457066E0,9.937367554E2
2.275606480E0,9.937323608E2
2.296006480E0,9.937283325E2
2.316119908E0,9.937265015E2
2.336087926E0,9.937240601E2
2.356278355E0,9.937260132E2
2.376361607E0,9.937258911E2
2.396427525E0,9.937324829E2
2.415307408E0,9.937321167E2
2.435253453E0,9.937206421E2
2.455301793E0,9.937296143E2
2.475252720E0,9.937349854E2
2.495291295E0,9.937174072E2
2.515270054E0,9.937293701E2
2.535252232E0,9.937207642E2
2.555284215E0,9.937187500E2
2.575316929E0,9.937297974E2
2.595479283E0,9.937285156E2
2.615714634E0,9.937315063E2
2.636114634E0,9.937343750E2
2.656310826E0,9.937239380E2
2.676108433E0,9.937346802E2
2.696263951E0,9.937413330E2
2.716500767E0,9.937083130E2
2.736900767E0,9.936972046E2
2.755276646E0,9.937340088E2
2.775251256E0,9.937335815E2
2.795252965E0,9.937183228E2
2.815253209E0,9.937343750E2
2.835252476E0,9.937293701E2
2.855253453E0,9.937296753E2
2.875255894E0,9.937290039E2
2.895367222E0,9.937416382E2
2.915329381E0,9.937446899E2
2.935463902E0,9.937288208E2
2.955579381E0,9.937451172E2
2.975848668E0,9.937324829E2
2.996176549E0,9.937150879E2
3.016130894E0,9.937219849E2
3.036297398E0,9.937218628E2
3.056345494E0,9.937170410E2
3.076434361E0,9.937282104E2
3.095295445E0,9.937396240E2
3.115252720E0,9.937473755E2
3.135252476E0,9.937261963E2
3.155252476E0,9.937290039E2
3.175652476E0,9.937188110E2
3.195253209E0,9.937387085E2
3.215251744E0,9.937362671E2
3.235651744E0,9.937150879E2
3.255321080E0,9.937328491E2
