"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.107069600E-2,-3.054326226E-4,-1.221730490E-3,3.054326226E-4
2.330712600E-2,-4.581489484E-4,-3.665191587E-3,1.374446787E-3
2.554595700E-2,2.138028387E-3,-1.374446787E-3,3.054326226E-4
2.778704600E-2,2.138028387E-3,-1.527163113E-4,3.054326226E-4
3.001495100E-2,-3.054326226E-4,0.000000000E0,-9.162978968E-4
3.225268200E-2,-1.527163084E-3,-1.221730490E-3,-2.290744567E-3
3.448541000E-2,9.162978968E-4,-1.527163113E-4,3.054326226E-4
3.672393600E-2,9.162978968E-4,-2.443460980E-3,3.054326226E-4
3.895947100E-2,2.138028387E-3,-3.817907767E-3,-9.162978968E-4
4.119622600E-2,-1.679879380E-3,-2.443460980E-3,1.527163113E-4
4.343530000E-2,-4.581489484E-4,-3.665191587E-3,1.527163113E-4
4.568359100E-2,7.635815418E-4,-6.108652335E-3,-1.069014193E-3
4.791998100E-2,-1.527163084E-3,-1.221730490E-3,1.374446787E-3
5.015728500E-2,-3.054326226E-4,-1.221730490E-3,1.527163084E-3
5.238647200E-2,3.359758761E-3,-2.596177394E-3,1.527163084E-3
5.461114200E-2,9.162978968E-4,-2.443460980E-3,1.527163084E-3
5.684698200E-2,9.162978968E-4,-1.527163113E-4,3.970623948E-3
5.908593500E-2,-3.054326226E-4,0.000000000E0,1.527163084E-3
6.133733800E-2,-4.581489484E-4,-2.443460980E-3,3.054326226E-4
6.357342200E-2,-3.054326226E-4,-1.221730490E-3,3.054326226E-4
6.581011700E-2,9.162978968E-4,1.069014193E-3,-9.162978968E-4
6.804394300E-2,9.162978968E-4,1.069014193E-3,-9.162978968E-4
7.027947800E-2,-1.679879380E-3,-3.665191587E-3,1.374446787E-3
7.251531800E-2,-4.581489484E-4,-2.443460980E-3,3.054326226E-4
7.475146300E-2,-3.054326226E-4,1.221730490E-3,-9.162978968E-4
7.698797400E-2,9.162978968E-4,-1.527163113E-4,-9.162978968E-4
7.922442400E-2,9.162978968E-4,-1.527163113E-4,-2.138028387E-3
8.146093500E-2,-2.748893574E-3,1.221730490E-3,-2.290744567E-3
8.369799600E-2,-1.527163084E-3,3.665191587E-3,-2.138028387E-3
8.593408000E-2,-3.054326226E-4,2.290744567E-3,3.054326226E-4
8.816637900E-2,-2.748893574E-3,0.000000000E0,-2.290744567E-3
9.039330700E-2,-3.054326226E-4,1.221730490E-3,3.054326226E-4
9.264062200E-2,-3.054326226E-4,2.290744567E-3,3.054326226E-4
9.487023600E-2,-2.748893574E-3,-1.221730490E-3,-1.069014193E-3
