"Time (s)","Pressure (hPa)"
5.968117500E-2,9.946932983E2
7.970680900E-2,9.947014160E2
9.969435800E-2,9.947262573E2
1.197148660E-1,9.946938477E2
1.397068090E-1,9.946943359E2
1.598506080E-1,9.946885986E2
1.799758520E-1,9.946855469E2
1.998237530E-1,9.946768188E2
2.200356670E-1,9.946613159E2
2.401657940E-1,9.946380005E2
2.602007060E-1,9.946154175E2
2.803874730E-1,9.945863647E2
3.004526590E-1,9.945922241E2
3.205862040E-1,9.945710449E2
3.397148660E-1,9.945679321E2
3.597060770E-1,9.945738525E2
3.797060770E-1,9.945700073E2
3.997072980E-1,9.945608521E2
4.196968000E-1,9.945772705E2
4.397065650E-1,9.945786133E2
4.597065650E-1,9.945788574E2
4.796985090E-1,9.945423584E2
4.997221900E-1,9.945496216E2
5.197253640E-1,9.945652466E2
5.397551490E-1,9.945763550E2
5.598769750E-1,9.945606079E2
5.800036840E-1,9.945744629E2
6.001296610E-1,9.945471191E2
6.203279030E-1,9.945426636E2
6.403882060E-1,9.945531616E2
6.605180890E-1,9.945696411E2
6.809180890E-1,9.945741577E2
6.997300030E-1,9.945728149E2
7.197060770E-1,9.945713501E2
7.396970440E-1,9.945663452E2
7.597060770E-1,9.945510254E2
7.797060770E-1,9.945309448E2
7.997068090E-1,9.945385132E2
8.197177960E-1,9.945163574E2
8.397065650E-1,9.945319824E2
8.597075420E-1,9.945299072E2
8.799502180E-1,9.945404053E2
8.998906470E-1,9.945479126E2
9.199380110E-1,9.945560913E2
9.400595930E-1,9.945473022E2
9.602378150E-1,9.945239258E2
9.801091530E-1,9.945484009E2
1.000509153E0,9.945348511E2
1.020644065E0,9.945400391E2
1.039719261E0,9.945205688E2
1.059706565E0,9.945359497E2
1.079802757E0,9.945496216E2
1.099707054E0,9.945255737E2
1.119706565E0,9.945274048E2
1.139706565E0,9.945261230E2
1.159706565E0,9.945354004E2
1.179706321E0,9.945308228E2
1.199706077E0,9.945093384E2
1.219713645E0,9.945113525E2
1.239872337E0,9.945000000E2
1.259868919E0,9.945039062E2
1.280161155E0,9.945211792E2
1.300167991E0,9.945132446E2
1.320314964E0,9.945050659E2
1.340475364E0,9.945286865E2
1.360863059E0,9.945233154E2
1.379804954E0,9.945451050E2
1.399725364E0,9.945332642E2
1.419723167E0,9.945053101E2
1.439782249E0,9.945094604E2
1.459706077E0,9.945078125E2
1.479772483E0,9.944839478E2
1.499706077E0,9.945031128E2
1.519707054E0,9.945130615E2
1.539694847E0,9.945183105E2
1.559727805E0,9.945192871E2
1.579875511E0,9.944998779E2
1.599876487E0,9.945061646E2
1.620058616E0,9.945133667E2
1.640385032E0,9.945015869E2
1.660291282E0,9.945040894E2
1.680452415E0,9.945055542E2
1.700585227E0,9.945108643E2
1.720683616E0,9.945385132E2
1.740014182E0,9.945028076E2
1.759793968E0,9.945158081E2
1.779707542E0,9.945130615E2
1.799706565E0,9.945354004E2
1.819706565E0,9.945429077E2
1.839706077E0,9.945245361E2
1.859707542E0,9.945151978E2
1.879741477E0,9.945258789E2
1.899713401E0,9.945309448E2
1.919745628E0,9.945255737E2
1.939853538E0,9.945285034E2
1.959977561E0,9.945261841E2
1.980377561E0,9.945278320E2
2.000260276E0,9.945180664E2
2.020404319E0,9.945159302E2
2.040617454E0,9.945299072E2
2.060591575E0,9.945124512E2
2.080926780E0,9.945308228E2
2.099720725E0,9.945379028E2
2.119706565E0,9.945247803E2
2.139802268E0,9.944988403E2
2.159706321E0,9.945332642E2
2.179706077E0,9.945145264E2
2.199706565E0,9.945407715E2
2.219693626E0,9.945368652E2
2.239706565E0,9.945272827E2
2.259837425E0,9.945503540E2
2.279732932E0,9.945593872E2
2.299944114E0,9.945590210E2
2.320074973E0,9.945474854E2
2.340177268E0,9.945395508E2
2.360322044E0,9.945502319E2
2.380459739E0,9.945440063E2
2.400547874E0,9.945506592E2
2.420788597E0,9.945516357E2
2.439738059E0,9.945502319E2
2.459731223E0,9.945507202E2
2.479734153E0,9.945376587E2
2.499706809E0,9.945485229E2
2.519707054E0,9.945283203E2
2.539741477E0,9.945429077E2
2.559706565E0,9.945707397E2
2.579706565E0,9.945350342E2
2.599700706E0,9.945554199E2
2.620036888E0,9.945404053E2
2.639867942E0,9.945640259E2
2.660008811E0,9.945487671E2
2.680168723E0,9.945401611E2
2.700311302E0,9.945331421E2
2.720465598E0,9.945624390E2
2.740487083E0,9.945677490E2
2.760829856E0,9.945688477E2
2.780749778E0,9.945716553E2
2.799719749E0,9.945602417E2
2.819706565E0,9.945863647E2
2.839707054E0,9.945833740E2
2.859706077E0,9.945788574E2
2.879724143E0,9.945747070E2
2.899713401E0,9.945748291E2
2.919722190E0,9.945930786E2
2.939751243E0,9.945767212E2
2.959707054E0,9.945886841E2
2.980107054E0,9.945998535E2
3.000010520E0,9.946166382E2
3.020097190E0,9.946262817E2
3.040250511E0,9.946365967E2
3.060368675E0,9.946207886E2
3.080474632E0,9.946306152E2
3.100874632E0,9.946314697E2
3.120665550E0,9.946470947E2
3.139744163E0,9.946262817E2
3.159731712E0,9.945918579E2
3.179779075E0,9.945976562E2
3.199706077E0,9.945682373E2
3.219706809E0,9.945977173E2
3.239742210E0,9.946073608E2
3.259707054E0,9.945825195E2
3.279706565E0,9.946047974E2
3.299738548E0,9.945929565E2
3.319755149E0,9.946039429E2
3.339863792E0,9.946143799E2
3.360034202E0,9.946582031E2
3.380434202E0,9.946495361E2
3.400396018E0,9.946484985E2
3.420377708E0,9.946377563E2
3.440751975E0,9.946371460E2
3.460861350E0,9.946066284E2
3.480832298E0,9.946174927E2
3.499732688E0,9.946238403E2
3.519706809E0,9.946223755E2
3.539707054E0,9.946021118E2
3.559721214E0,9.945844116E2
3.579718528E0,9.945936890E2
3.599707054E0,9.946030884E2
3.619709251E0,9.946185303E2
3.640109251E0,9.946520386E2
3.659735618E0,9.946523438E2
3.679867454E0,9.946193848E2
3.700019554E0,9.946213989E2
3.720159202E0,9.945961914E2
3.740235130E0,9.946258545E2
3.760380149E0,9.947006226E2
3.780562034E0,9.947271118E2
3.800608177E0,9.947578735E2
3.820743186E0,9.947593384E2
3.839886009E0,9.947607422E2
3.859730979E0,9.948139038E2
3.879706077E0,9.948052979E2
3.899706565E0,9.948391724E2
3.919706321E0,9.948695679E2
3.939766624E0,9.948444824E2
3.959707298E0,9.947686157E2
3.979730491E0,9.947695312E2
3.999707786E0,9.948589478E2
4.019782981E0,9.950710449E2
4.040152610E0,9.951323853E2
4.060152366E0,9.950353394E2
4.080184348E0,9.950233765E2
4.100272972E0,9.949809570E2
4.120630882E0,9.949058838E2
4.140531761E0,9.947749634E2
4.160722434E0,9.946753540E2
4.180844505E0,9.945476074E2
4.199786399E0,9.945035400E2
4.219709251E0,9.943743286E2
4.239670432E0,9.943706665E2
4.259706321E0,9.943364258E2
4.279706321E0,9.943406982E2
4.299706077E0,9.945170288E2
4.319706809E0,9.945676880E2
4.339711204E0,9.945728760E2
4.359707786E0,9.946040039E2
4.379729026E0,9.946790161E2
4.399895530E0,9.947485352E2
4.420025657E0,9.946983032E2
4.440116966E0,9.946438599E2
4.460340843E0,9.945905762E2
4.480721702E0,9.944796143E2
4.500520286E0,9.944337769E2
4.520611106E0,9.944922485E2
4.539720725E0,9.946345215E2
4.559730003E0,9.947050781E2
4.579706321E0,9.947254639E2
4.600106321E0,9.947028198E2
4.619823020E0,9.947097168E2
4.639724143E0,9.947864380E2
4.659706321E0,9.947904053E2
4.679706565E0,9.947619629E2
4.699706565E0,9.947265625E2
4.720045188E0,9.946947632E2
4.739831565E0,9.946489868E2
4.760066673E0,9.946195679E2
4.780034934E0,9.946473389E2
4.800402122E0,9.947204590E2
4.820293235E0,9.947517700E2
4.840456321E0,9.947510376E2
4.860654319E0,9.948193970E2
4.880687278E0,9.948127441E2
4.899727805E0,9.948123779E2
4.919706565E0,9.948707886E2
4.939740989E0,9.948335571E2
4.959706321E0,9.947661743E2
4.979748802E0,9.946486206E2
4.999720970E0,9.946480713E2
5.019706809E0,9.947128906E2
5.039683860E0,9.947725220E2
5.059713889E0,9.947133789E2
5.079750755E0,9.946405029E2
5.099893821E0,9.946519775E2
5.120019065E0,9.947048340E2
5.140242454E0,9.947934570E2
5.160244651E0,9.949162598E2
5.180432639E0,9.950404053E2
5.200508323E0,9.949887695E2
5.220908323E0,9.949577637E2
5.239739524E0,9.950230713E2
5.259730003E0,9.950613403E2
5.279705833E0,9.949513550E2
5.299706809E0,9.948372803E2
5.319758811E0,9.947893677E2
5.339764427E0,9.948334351E2
5.359706809E0,9.947866821E2
5.379738059E0,9.947633667E2
5.399894065E0,9.948080444E2
5.419740989E0,9.949112549E2
5.439870872E0,9.949162598E2
5.459931419E0,9.950019531E2
5.480269798E0,9.950417480E2
5.500213157E0,9.949301758E2
5.520379905E0,9.947708130E2
5.540517845E0,9.946403198E2
5.560618186E0,9.945776978E2
5.580785179E0,9.944482422E2
5.599731223E0,9.943182983E2
5.619705589E0,9.942738647E2
5.639719505E0,9.942863159E2
5.659705833E0,9.943148804E2
5.679706565E0,9.943999634E2
5.699706565E0,9.944996948E2
5.719841087E0,9.946272583E2
5.739724876E0,9.946924438E2
5.759709739E0,9.946495972E2
5.779849876E0,9.945892944E2
5.799893577E0,9.945951538E2
5.820123557E0,9.945618286E2
5.840140891E0,9.944668579E2
5.860525169E0,9.944165039E2
5.880760764E0,9.944560547E2
5.900809104E0,9.944046021E2
5.920730491E0,9.943820190E2
5.939739768E0,9.944324951E2
5.959730003E0,9.944658203E2
5.979682884E0,9.944917603E2
5.999707054E0,9.944807739E2
6.019706077E0,9.945726929E2
6.040106077E0,9.946909790E2
6.059707298E0,9.947884521E2
6.079697776E0,9.948214722E2
6.099742454E0,9.947564697E2
6.119880149E0,9.946607666E2
6.139840598E0,9.946226196E2
6.160170432E0,9.945861816E2
6.180082054E0,9.945529785E2
6.200270286E0,9.943945923E2
6.220367210E0,9.943609619E2
6.240512718E0,9.944375610E2
6.260702659E0,9.945649414E2
6.280744407E0,9.945452271E2
6.299724143E0,9.945139771E2
6.319706321E0,9.946304321E2
6.339705833E0,9.948355103E2
6.359706565E0,9.950953979E2
6.379707054E0,9.952247925E2
6.399711204E0,9.952471313E2
6.419711448E0,9.951943359E2
6.439801292E0,9.950931396E2
6.459758323E0,9.949391479E2
6.479812034E0,9.947250366E2
6.500032737E0,9.945245361E2
6.520075218E0,9.944443359E2
6.540226097E0,9.944491577E2
6.560600364E0,9.943522949E2
6.580506126E0,9.943709717E2
6.600648216E0,9.945158081E2
6.620853050E0,9.946141357E2
6.639739524E0,9.946678467E2
6.659729514E0,9.946376953E2
6.679723655E0,9.945632324E2
6.699706321E0,9.946970215E2
6.719773704E0,9.949265137E2
6.739707054E0,9.949583130E2
6.759741722E0,9.949979248E2
6.779696311E0,9.949494629E2
6.799709007E0,9.948494873E2
6.819766380E0,9.947749634E2
6.840079856E0,9.948016357E2
6.860013206E0,9.948142090E2
6.880193382E0,9.947561646E2
6.900296897E0,9.946517334E2
6.920397483E0,9.945627441E2
6.940609641E0,9.945299072E2
