"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.537582500E-2,-4.420739710E-1,1.319641709E0,9.635896683E0
1.765648600E-2,-3.948157430E-1,1.356132269E0,9.802796364E0
1.993714700E-2,-3.385843933E-1,1.331007600E0,9.941579819E0
2.221869900E-2,-2.679961324E-1,1.333998680E0,1.008993530E1
2.450000200E-2,-2.213360965E-1,1.318445325E0,1.021914768E1
2.678520600E-2,-1.645065546E-1,1.335793257E0,1.033460140E1
2.906632200E-2,-8.913264424E-2,1.305882931E0,1.043509960E1
3.134756300E-2,-4.666004330E-2,1.304088354E0,1.055952644E1
3.362849300E-2,5.982056609E-4,1.308275819E0,1.061276627E1
3.589523200E-2,2.452643216E-2,1.312463164E0,1.065105152E1
3.813522200E-2,2.871387079E-2,1.312463164E0,1.067498016E1
4.037026900E-2,4.845465720E-2,1.321436286E0,1.067976570E1
4.260671800E-2,3.888336942E-2,1.331007600E0,1.065583706E1
4.484225300E-2,3.888336942E-2,1.340578914E0,1.065105152E1
4.709188600E-2,4.426721856E-2,1.345962763E0,1.061755180E1
4.933022900E-2,1.076770201E-2,1.341775298E0,1.058883858E1
5.156753400E-2,-2.213360928E-2,1.337587833E0,1.052183914E1
5.379830800E-2,-4.546362907E-2,1.357328653E0,1.048295593E1
5.602297800E-2,-6.460621208E-2,1.338784218E0,1.043569756E1
5.826089300E-2,-9.750752151E-2,1.348953724E0,1.037288570E1
6.050930700E-2,-1.501496136E-1,1.340578914E0,1.034417248E1
6.274807600E-2,-1.830509305E-1,1.331605792E0,1.028195858E1
6.498477100E-2,-2.309073806E-1,1.323230863E0,1.023350430E1
6.721798600E-2,-2.494517565E-1,1.337587833E0,1.020000458E1
6.945419200E-2,-2.685943544E-1,1.323829174E0,1.014736271E1
7.168789500E-2,-3.206382394E-1,1.320239902E0,1.007079220E1
7.391555700E-2,-3.631108403E-1,1.321436286E0,1.002233791E1
7.616348100E-2,-3.816552162E-1,1.331605792E0,9.960722923E0
7.840066400E-2,-4.151547253E-1,1.341775298E0,9.917053223E0
8.063863900E-2,-4.480560422E-1,1.313659668E0,9.840482712E0
8.287210000E-2,-4.761717021E-1,1.319641709E0,9.763913155E0
8.510794000E-2,-4.953143001E-1,1.310668588E0,9.706484795E0
8.734487800E-2,-4.947160780E-1,1.305882931E0,9.668798447E0
8.958163300E-2,-5.180460811E-1,1.311266780E0,9.597013474E0
9.181845000E-2,-5.312066078E-1,1.326820135E0,9.477372169E0
9.405355700E-2,-5.551348329E-1,1.317847013E0,9.429515839E0
9.629000700E-2,-5.934200287E-1,1.313659668E0,9.381659508E0
