"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.993714700E-2,-4.289801121E-1,-3.845396638E-1,3.121521473E-1
2.221869900E-2,-4.234823287E-1,-3.604104817E-1,3.049744666E-1
2.450000200E-2,-4.170682430E-1,-3.472768962E-1,2.952006161E-1
2.678520600E-2,-4.030183554E-1,-3.280346394E-1,2.831360400E-1
2.906632200E-2,-3.865249753E-1,-3.126102984E-1,2.712241709E-1
3.134756300E-2,-3.651446998E-1,-2.900082767E-1,2.554943860E-1
3.362849300E-2,-3.448334336E-1,-2.672535479E-1,2.362521291E-1
3.589523200E-2,-3.220787048E-1,-2.483167201E-1,2.205223590E-1
3.813522200E-2,-2.944370508E-1,-2.209804952E-1,2.012801021E-1
4.037026900E-2,-2.654209435E-1,-1.960877478E-1,1.846340150E-1
4.260671800E-2,-2.377792895E-1,-1.747074574E-1,1.652390510E-1
4.484225300E-2,-2.113593817E-1,-1.522581577E-1,1.472185254E-1
4.709188600E-2,-1.849394590E-1,-1.296561509E-1,1.304197311E-1
4.933022900E-2,-1.646281779E-1,-1.081231460E-1,1.111774743E-1
5.156753400E-2,-1.420261711E-1,-8.674286306E-2,9.789115191E-2
5.379830800E-2,-1.204931661E-1,-6.658431143E-2,8.353582025E-2
5.602297800E-2,-1.003346145E-1,-4.871650413E-2,7.284568250E-2
5.826089300E-2,-8.277224004E-2,-3.084869497E-2,6.078109145E-2
6.050930700E-2,-6.505715102E-2,-1.069014147E-2,5.115996301E-2
6.274807600E-2,-4.978551716E-2,4.886921961E-3,4.276056588E-2
6.498477100E-2,-3.604105115E-2,1.908953860E-2,3.695734590E-2
6.721798600E-2,-2.336559631E-2,3.222314268E-2,3.100141138E-2
6.945419200E-2,-8.399397135E-3,4.046982154E-2,2.626720630E-2
7.168789500E-2,-2.138028387E-3,4.520402849E-2,2.504547499E-2
7.391555700E-2,6.566801574E-3,5.115996301E-2,2.153299935E-2
7.616348100E-2,1.771509275E-2,5.329799280E-2,2.031126991E-2
7.840066400E-2,2.886338346E-2,5.543602258E-2,1.924225502E-2
8.063863900E-2,3.756821156E-2,5.528330430E-2,1.924225502E-2
8.287210000E-2,4.489859566E-2,5.283984542E-2,2.306016348E-2
8.510794000E-2,4.963280261E-2,5.024366826E-2,2.306016348E-2
8.734487800E-2,5.451972410E-2,4.291328415E-2,2.183843218E-2
8.958163300E-2,5.803219974E-2,3.787364438E-2,2.794708498E-2
9.181845000E-2,6.154467165E-2,2.809980139E-2,2.916881628E-2
9.405355700E-2,5.879577994E-2,1.847867295E-2,3.161227703E-2
9.629000700E-2,5.619960278E-2,1.130100712E-2,3.756821156E-2
9.852590700E-2,5.589416996E-2,3.054326226E-4,4.001167417E-2
1.007625410E-1,4.948008433E-2,-1.160643995E-2,4.612032697E-2
1.029988090E-1,4.306599870E-2,-2.367102914E-2,5.207626149E-2
1.052351980E-1,3.176499158E-2,-3.558290005E-2,5.681046844E-2
1.074718310E-1,2.764165215E-2,-5.009094998E-2,6.414084882E-2
1.097061450E-1,2.000583708E-2,-6.322455406E-2,7.009678334E-2
1.119296550E-1,1.099557430E-2,-7.635815442E-2,7.483099401E-2
1.141692800E-1,4.581489135E-3,-8.842274547E-2,7.956519723E-2
1.164164710E-1,-3.054326167E-3,-9.804387391E-2,8.567385375E-2
1.186557900E-1,-1.420261711E-2,-1.075122803E-1,8.796459436E-2
1.208920570E-1,-2.076941915E-2,-1.218676195E-1,9.269879758E-2
1.231257620E-1,-2.840523422E-2,-1.314887404E-1,9.392052889E-2
1.253621510E-1,-3.588833287E-2,-1.423316002E-1,9.376781434E-2
1.275992110E-1,-4.596760869E-2,-1.530217379E-1,9.361509979E-2
1.298345020E-1,-5.100724846E-2,-1.589776874E-1,9.361509979E-2
1.320688770E-1,-6.093380973E-2,-1.635591686E-1,9.346238524E-2
1.342989190E-1,-6.719517708E-2,-1.695151031E-1,8.842274547E-2
1.365435470E-1,-7.086037099E-2,-1.682933718E-1,8.720101416E-2
1.387769450E-1,-7.956519723E-2,-1.705841124E-1,8.353582025E-2
1.410064990E-1,-8.323039114E-2,-1.704314053E-1,7.849618047E-2
1.432527760E-1,-8.674286306E-2,-1.667662114E-1,7.360926270E-2
1.454900800E-1,-9.162978828E-2,-1.641700417E-1,6.994406879E-2
1.477293390E-1,-9.285151958E-2,-1.653917581E-1,6.750060618E-2
1.499625540E-1,-9.407325089E-2,-1.653917581E-1,6.383541971E-2
1.521948530E-1,-9.407325089E-2,-1.641700417E-1,6.261368841E-2
1.544219030E-1,-9.392052889E-2,-1.617265791E-1,5.894849449E-2
1.566699500E-1,-9.407325089E-2,-1.641700417E-1,5.772676691E-2
1.589065230E-1,-8.903361112E-2,-1.618792862E-1,5.406157300E-2
1.611463310E-1,-8.903361112E-2,-1.631010175E-1,5.161811411E-2
1.633778360E-1,-8.170322329E-2,-1.656972021E-1,4.673119262E-2
1.656060470E-1,-7.681630552E-2,-1.730275750E-1,4.306599870E-2
1.678517750E-1,-6.948592514E-2,-1.731802970E-1,3.955352306E-2
1.700876760E-1,-6.337726861E-2,-1.817324162E-1,3.588833287E-2
1.723266280E-1,-5.864306539E-2,-1.867720485E-1,2.977968007E-2
1.745605760E-1,-5.375614017E-2,-1.953241676E-1,2.611448988E-2
1.767970260E-1,-4.642575979E-2,-1.979203373E-1,2.122756653E-2
1.790338430E-1,-4.276056588E-2,-2.015855312E-1,1.634064503E-2
1.812708420E-1,-3.802636266E-2,-2.125810981E-1,1.267545391E-2
1.835059500E-1,-3.451388702E-2,-2.186897546E-1,6.566801574E-3
1.857422170E-1,-2.962696366E-2,-2.225076705E-1,2.901609987E-3
1.879783010E-1,-2.474004216E-2,-2.286163121E-1,2.901609987E-3
1.902148730E-1,-2.489275858E-2,-2.347249687E-1,4.581489484E-4
1.924509570E-1,-2.367102914E-2,-2.383901626E-1,-1.985311974E-3
1.946873460E-1,-2.382374369E-2,-2.467895597E-1,-1.985311974E-3
1.969241620E-1,-2.504547499E-2,-2.480112910E-1,-5.650503561E-3
1.991612230E-1,-2.519819140E-2,-2.553416789E-1,-8.246680722E-3
2.013963310E-1,-2.901609987E-2,-2.588541508E-1,-9.468411095E-3
2.036325980E-1,-3.405573592E-2,-2.635883391E-1,-1.069014147E-2
2.058657520E-1,-4.276056588E-2,-2.732094824E-1,-1.328631863E-2
2.080906660E-1,-5.039638281E-2,-2.803871334E-1,-1.343903504E-2
2.103271160E-1,-5.650503561E-2,-2.802344263E-1,-1.099557430E-2
2.125641770E-1,-6.765332818E-2,-2.848159075E-1,-9.926560335E-3
2.148044720E-1,-8.002334833E-2,-2.869539559E-1,-8.704829961E-3
2.170435480E-1,-9.117163718E-2,-2.929098904E-1,-1.007927675E-2
2.192900070E-1,-1.075122803E-1,-3.034473062E-1,-7.788531948E-3
2.215267620E-1,-1.235474944E-1,-3.068070710E-1,-1.038470957E-2
2.237618700E-1,-1.408044398E-1,-3.089450896E-1,-9.315694682E-3
2.259959400E-1,-1.580613852E-1,-3.109304011E-1,-9.468411095E-3
2.282319630E-1,-1.779145002E-1,-3.142901659E-1,-1.099557430E-2
2.304684130E-1,-1.913535446E-1,-3.127630055E-1,-1.099557430E-2
2.327051070E-1,-2.049452960E-1,-3.124575615E-1,-1.237002108E-2
2.349419240E-1,-2.208277881E-1,-3.109304011E-1,-1.618792862E-2
2.371773360E-1,-2.318233550E-1,-3.058907688E-1,-1.756237634E-2
2.394136040E-1,-2.464841306E-1,-2.994766831E-1,-2.000583708E-2
2.416466970E-1,-2.573269904E-1,-2.919935882E-1,-2.382374369E-2
2.438741140E-1,-2.646573782E-1,-2.883284092E-1,-2.871066704E-2
2.461226490E-1,-2.706133127E-1,-2.820670307E-1,-3.237585723E-2
2.483589770E-1,-2.755002379E-1,-2.819143236E-1,-3.619376570E-2
2.505986010E-1,-2.814561725E-1,-2.758056521E-1,-4.352414981E-2
2.528325490E-1,-2.838996351E-1,-2.758056521E-1,-4.596760869E-2
2.550677170E-1,-2.863430977E-1,-2.719877362E-1,-5.085453019E-2
2.573042290E-1,-2.861903608E-1,-2.684752643E-1,-5.574145541E-2
2.595401300E-1,-2.811507285E-1,-2.648100853E-1,-6.307183951E-2
2.617769460E-1,-2.846632004E-1,-2.587014437E-1,-7.040221989E-2
2.640129690E-1,-2.794708610E-1,-2.478585690E-1,-7.880161703E-2
2.662493580E-1,-2.767219543E-1,-2.382374406E-1,-8.613199741E-2
2.684858690E-1,-2.727513313E-1,-2.298380435E-1,-9.590584040E-2
2.707200000E-1,-2.700024247E-1,-2.189951837E-1,-1.030835137E-1
2.729434490E-1,-2.625193298E-1,-2.154827118E-1,-1.104138941E-1
2.751829520E-1,-2.574796975E-1,-2.095267773E-1,-1.151480973E-1
2.774307550E-1,-2.475531399E-1,-2.096794993E-1,-1.188132912E-1
2.796702570E-1,-2.390010208E-1,-2.086104751E-1,-1.198823079E-1
