"Time (s)","Pressure (hPa)"
5.128744400E-2,9.938980103E2
7.124667200E-2,9.938594360E2
9.124960200E-2,9.937992554E2
1.112539970E-1,9.937586670E2
1.312488700E-1,9.937601929E2
1.513079520E-1,9.937893677E2
1.712491140E-1,9.937887573E2
1.912471610E-1,9.937904663E2
2.113497000E-1,9.937862549E2
2.315259690E-1,9.937636108E2
2.517537530E-1,9.937982178E2
2.718955980E-1,9.938266602E2
2.920376880E-1,9.938224487E2
3.120101000E-1,9.937750244E2
3.321675710E-1,9.937781982E2
3.512544850E-1,9.938126831E2
3.712493580E-1,9.938251953E2
3.912488700E-1,9.938245239E2
4.113931570E-1,9.938228760E2
4.313079520E-1,9.938585205E2
4.512881760E-1,9.939159546E2
4.712652270E-1,9.939414062E2
4.912508230E-1,9.939382324E2
5.113614190E-1,9.939439087E2
5.312496020E-1,9.939542236E2
5.514124440E-1,9.939865723E2
5.715035080E-1,9.939690552E2
5.918929130E-1,9.939527588E2
6.116761160E-1,9.939801025E2
6.318274830E-1,9.939509277E2
6.519400320E-1,9.939776001E2
6.718287040E-1,9.939740601E2
6.912581470E-1,9.939796143E2
7.112801200E-1,9.939912109E2
7.314917900E-1,9.939832764E2
7.512496020E-1,9.940016479E2
7.712493580E-1,9.939888916E2
7.912488700E-1,9.939800415E2
8.112491140E-1,9.939697266E2
8.312486260E-1,9.939863892E2
8.512496020E-1,9.939843750E2
8.712391040E-1,9.939846802E2
8.912893970E-1,9.939595947E2
9.114693290E-1,9.939740601E2
9.316158130E-1,9.939439087E2
9.516795340E-1,9.939332886E2
9.718125900E-1,9.939542236E2
9.918794850E-1,9.939533081E2
1.012093352E0,9.939462891E2
1.032272796E0,9.939445190E2
1.051282317E0,9.939550171E2
1.071274504E0,9.939453735E2
1.091249358E0,9.939512329E2
1.111249602E0,9.939262695E2
1.131405852E0,9.939623413E2
1.151248870E0,9.939472656E2
1.171249602E0,9.939834595E2
1.191237395E0,9.939548340E2
1.211249358E0,9.939550171E2
1.231249358E0,9.939613647E2
1.251559661E0,9.939601440E2
1.271531585E0,9.939468384E2
1.291587493E0,9.939338989E2
1.311847014E0,9.939347534E2
1.331821135E0,9.939519043E2
1.352001555E0,9.939226074E2
1.372401555E0,9.939212646E2
1.392335784E0,9.939322510E2
1.411260588E0,9.939878540E2
1.431248870E0,9.939796753E2
1.451249358E0,9.939790649E2
1.471249358E0,9.939447632E2
1.491256682E0,9.939326172E2
1.511248381E0,9.939439087E2
1.531284026E0,9.939280396E2
1.551262542E0,9.939061279E2
1.571237151E0,9.938991699E2
1.591637151E0,9.939212036E2
1.611522796E0,9.939514771E2
1.631559172E0,9.939437866E2
1.651829680E0,9.939464722E2
1.671928557E0,9.939487915E2
1.691955169E0,9.939276733E2
1.712151213E0,9.939358521E2
1.732292327E0,9.939330444E2
1.751770598E0,9.939310913E2
1.771295256E0,9.939437866E2
1.791282805E0,9.939450073E2
1.811249846E0,9.939635010E2
1.831249114E0,9.939496460E2
1.851249114E0,9.939381104E2
1.871421477E0,9.939439087E2
1.891285247E0,9.939429321E2
1.911331389E0,9.939550171E2
1.931360198E0,9.939400635E2
1.951458587E0,9.939489746E2
1.971502532E0,9.939500122E2
1.991712249E0,9.939443970E2
2.011752776E0,9.939437866E2
2.031879241E0,9.939666748E2
2.052061614E0,9.939620972E2
2.072461614E0,9.939534302E2
2.092344085E0,9.939589844E2
2.111256682E0,9.939652710E2
2.131248626E0,9.939496460E2
2.151537688E0,9.939395142E2
2.171230315E0,9.939452515E2
2.191248626E0,9.939510498E2
2.211249358E0,9.939364014E2
2.231248381E0,9.939536743E2
2.251249602E0,9.939344482E2
2.271236663E0,9.939457397E2
2.291383635E0,9.939514771E2
2.311429778E0,9.939401855E2
2.331526458E0,9.939382324E2
2.351730071E0,9.939539795E2
2.372130071E0,9.939475098E2
2.391999114E0,9.939168701E2
2.412070891E0,9.939332275E2
2.432343108E0,9.939452515E2
2.452422454E0,9.939366455E2
2.471270354E0,9.939410400E2
2.491284514E0,9.939420166E2
2.511248870E0,9.939393921E2
2.531248870E0,9.939512329E2
2.551368743E0,9.939290771E2
2.571249846E0,9.939361572E2
2.591290862E0,9.939443970E2
2.611235930E0,9.939310303E2
2.631292083E0,9.939595947E2
2.651321379E0,9.939545288E2
2.671628753E0,9.939577637E2
2.691570891E0,9.939379272E2
2.711759856E0,9.939450073E2
2.731992278E0,9.939435425E2
2.752108489E0,9.939329224E2
2.772188079E0,9.939431152E2
2.792356536E0,9.939361572E2
2.811280364E0,9.939335327E2
2.831272307E0,9.939499512E2
2.851248870E0,9.939508667E2
2.871306487E0,9.939288940E2
2.891249114E0,9.939293823E2
2.911249602E0,9.939393921E2
2.931313079E0,9.939464722E2
2.951281585E0,9.939363403E2
2.971256194E0,9.939397583E2
2.991250335E0,9.939438477E2
3.011533294E0,9.939265747E2
3.031592864E0,9.939407959E2
3.051701506E0,9.939245605E2
3.072101506E0,9.939462280E2
3.091989837E0,9.939171753E2
3.112208831E0,9.939462891E2
3.132273284E0,9.939249268E2
3.152309905E0,9.939351196E2
3.171231780E0,9.939411011E2
3.191250335E0,9.939245605E2
3.211249358E0,9.939333496E2
3.231249358E0,9.939391479E2
3.251253508E0,9.939176025E2
3.271263518E0,9.939115601E2
3.291248626E0,9.939023438E2
3.311249358E0,9.938885498E2
3.331285735E0,9.939338989E2
3.351440764E0,9.939023438E2
3.371465911E0,9.939033813E2
3.391632415E0,9.939157104E2
3.411766448E0,9.939092407E2
3.431882659E0,9.939085083E2
3.452190764E0,9.939232178E2
3.472178069E0,9.939323730E2
3.492226653E0,9.939360352E2
3.512589202E0,9.939389038E2
3.531265227E0,9.939193726E2
3.551248870E0,9.939212036E2
3.571249846E0,9.939355469E2
3.591263274E0,9.939335327E2
3.611244231E0,9.939323730E2
3.631249602E0,9.939317017E2
3.651396331E0,9.939125977E2
3.671225676E0,9.939397583E2
3.691278899E0,9.939394531E2
3.711461272E0,9.939536133E2
3.731582366E0,9.939259644E2
3.751867034E0,9.939378052E2
3.771844329E0,9.939379272E2
3.792061126E0,9.939530029E2
3.812135833E0,9.939147949E2
3.832203948E0,9.939462891E2
3.852406829E0,9.939370728E2
3.871261565E0,9.939332275E2
3.891268401E0,9.939316406E2
3.911222503E0,9.939548340E2
3.931214202E0,9.939425049E2
3.951249358E0,9.939472656E2
3.971249358E0,9.939371948E2
3.991244475E0,9.939336548E2
4.011249358E0,9.939287720E2
4.031250090E0,9.939284668E2
4.051236907E0,9.939270630E2
4.071375335E0,9.939519043E2
4.091508147E0,9.939379272E2
4.111611663E0,9.939243164E2
4.131758879E0,9.939401855E2
4.151916106E0,9.939360962E2
4.171947844E0,9.939116821E2
4.192194182E0,9.939224243E2
4.212353850E0,9.939346313E2
4.231257171E0,9.939029541E2
4.251257903E0,9.939319458E2
4.271249602E0,9.939163208E2
4.291248626E0,9.939205322E2
4.311249114E0,9.938896484E2
4.331248870E0,9.939082031E2
4.351266936E0,9.939057007E2
4.371403411E0,9.939082642E2
4.391388762E0,9.939351196E2
4.411250579E0,9.939268188E2
4.431408538E0,9.939125977E2
4.451532561E0,9.939038696E2
4.471692717E0,9.939176025E2
4.491826995E0,9.939098511E2
4.511913176E0,9.938878784E2
4.532061614E0,9.938894043E2
4.552114837E0,9.938973389E2
4.572365569E0,9.938805542E2
4.591277190E0,9.938826904E2
4.611322844E0,9.938746948E2
4.631309172E0,9.938677368E2
4.651266448E0,9.938662109E2
4.671249114E0,9.938508911E2
4.691248626E0,9.938461304E2
4.711249358E0,9.938404541E2
4.731312102E0,9.938529053E2
4.751281829E0,9.938613281E2
4.771385833E0,9.938708496E2
