"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.436100200E-2,2.392822690E-2,8.793623000E-2,9.771689415E0
1.659991200E-2,2.871387079E-2,9.272187948E-2,9.776474953E0
1.883611800E-2,3.828516230E-2,1.070788130E-1,9.795618057E0
2.107069600E-2,3.888336942E-2,1.166501045E-1,9.776474953E0
2.330712600E-2,3.349951655E-2,9.750752151E-2,9.776474953E0
2.554595700E-2,3.290131316E-2,8.315058798E-2,9.790832520E0
2.778704600E-2,4.307080805E-2,9.272187948E-2,9.776474953E0
3.001495100E-2,2.392822690E-2,1.070788130E-1,9.781260490E0
3.225268200E-2,2.811566554E-2,9.272187948E-2,9.809974670E0
3.448541000E-2,2.871387079E-2,9.272187948E-2,9.786046028E0
3.672393600E-2,2.392822690E-2,9.272187948E-2,9.766903877E0
3.895947100E-2,2.871387079E-2,9.272187948E-2,9.776474953E0
4.119622600E-2,2.392822690E-2,8.793623000E-2,9.776474953E0
4.343530000E-2,1.854437590E-2,8.315058798E-2,9.790832520E0
4.568359100E-2,3.828516230E-2,8.315058798E-2,9.753145218E0
4.791998100E-2,3.828516230E-2,8.793623000E-2,9.776474953E0
5.015728500E-2,4.307080805E-2,9.272187948E-2,9.781260490E0
5.238647200E-2,2.871387079E-2,9.272187948E-2,9.781260490E0
5.461114200E-2,4.307080805E-2,1.022931710E-1,9.786046028E0
5.684698200E-2,9.571290575E-3,9.750752151E-2,9.781260490E0
5.908593500E-2,4.307080805E-2,9.750752151E-2,9.776474953E0
6.133733800E-2,2.871387079E-2,1.022931710E-1,9.781260490E0
6.357342200E-2,1.435693540E-2,1.022931710E-1,9.781260490E0
6.581011700E-2,1.914258115E-2,9.272187948E-2,9.781260490E0
6.804394300E-2,3.828516230E-2,1.118644550E-1,9.795618057E0
7.027947800E-2,1.974078640E-2,1.070788130E-1,9.752547264E0
7.251531800E-2,5.742774159E-2,1.016949639E-1,9.814760208E0
7.475146300E-2,2.392822690E-2,9.272187948E-2,9.776474953E0
7.698797400E-2,3.349951655E-2,9.272187948E-2,9.762118340E0
7.922442400E-2,1.914258115E-2,1.022931710E-1,9.781260490E0
8.146093500E-2,2.871387079E-2,1.022931710E-1,9.790832520E0
8.369799600E-2,3.349951655E-2,1.166501045E-1,9.781260490E0
8.593408000E-2,2.871387079E-2,1.070788130E-1,9.795618057E0
8.816637900E-2,1.914258115E-2,8.315058798E-2,9.781260490E0
9.039330700E-2,2.392822690E-2,1.022931710E-1,9.786046028E0
9.264062200E-2,2.871387079E-2,8.315058798E-2,9.771689415E0
9.487023600E-2,3.828516230E-2,9.750752151E-2,9.757930756E0
9.710137700E-2,2.931207791E-2,1.022931710E-1,9.748359680E0
9.935064500E-2,2.871387079E-2,9.272187948E-2,9.766903877E0
1.015883760E-1,2.392822690E-2,8.793623000E-2,9.786046028E0
1.038281830E-1,1.435693540E-2,8.793623000E-2,9.781260490E0
1.060593240E-1,2.871387079E-2,1.022931710E-1,9.781260490E0
1.082955300E-1,3.828516230E-2,1.118644550E-1,9.776474953E0
1.105315530E-1,1.435693540E-2,9.750752151E-2,9.786046028E0
1.127685520E-1,2.871387079E-2,8.315058798E-2,9.781260490E0
1.150043920E-1,2.871387079E-2,9.750752151E-2,9.757332802E0
1.172407200E-1,3.828516230E-2,9.272187948E-2,9.795618057E0
1.194769260E-1,4.307080805E-2,9.750752151E-2,9.777072906E0
1.217124610E-1,2.871387079E-2,8.793623000E-2,9.766903877E0
1.239401830E-1,2.392822690E-2,8.793623000E-2,9.776474953E0
1.261750460E-1,4.307080805E-2,1.118644550E-1,9.786046028E0
1.284216290E-1,2.871387079E-2,8.315058798E-2,9.766903877E0
1.306597880E-1,2.871387079E-2,9.272187948E-2,9.766903877E0
1.328968480E-1,2.871387079E-2,7.836493850E-2,9.766903877E0
1.351303690E-1,1.914258115E-2,9.750752151E-2,9.766903877E0
1.373671850E-1,1.435693540E-2,9.272187948E-2,9.771689415E0
1.396042460E-1,1.914258115E-2,8.315058798E-2,9.776474953E0
1.418394140E-1,2.871387079E-2,8.315058798E-2,9.790832520E0
1.440756200E-1,2.392822690E-2,8.315058798E-2,9.786046028E0
1.463114590E-1,2.871387079E-2,7.836493850E-2,9.776474953E0
1.485480930E-1,3.349951655E-2,7.836493850E-2,9.776474953E0
1.507844210E-1,8.973085321E-3,6.879365444E-2,9.795618057E0
1.530209940E-1,2.871387079E-2,9.272187948E-2,9.771689415E0
1.552580540E-1,1.914258115E-2,8.315058798E-2,9.757332802E0
1.574941380E-1,2.392822690E-2,1.022931710E-1,9.786046028E0
1.597254610E-1,2.871387079E-2,9.272187948E-2,9.776474953E0
1.619494610E-1,2.871387079E-2,8.793623000E-2,9.762118340E0
1.642016580E-1,3.828516230E-2,8.315058798E-2,9.776474953E0
1.664381690E-1,2.392822690E-2,7.836493850E-2,9.776474953E0
1.686782810E-1,2.871387079E-2,8.315058798E-2,9.786046028E0
1.709106420E-1,3.349951655E-2,8.793623000E-2,9.762118340E0
1.731472140E-1,2.871387079E-2,9.750752151E-2,9.781260490E0
1.753842750E-1,3.349951655E-2,8.793623000E-2,9.786046028E0
1.776193820E-1,2.392822690E-2,1.022931710E-1,9.795618057E0
1.798556500E-1,1.914258115E-2,9.272187948E-2,9.790832520E0
1.820914900E-1,9.571290575E-3,8.793623000E-2,9.790832520E0
1.843280620E-1,2.871387079E-2,9.272187948E-2,9.771689415E0
1.865641460E-1,2.871387079E-2,1.070788130E-1,9.762118340E0
1.887979100E-1,1.914258115E-2,9.750752151E-2,9.781260490E0
1.910266090E-1,2.392822690E-2,1.070788130E-1,9.781260490E0
1.932742290E-1,1.914258115E-2,1.070788130E-1,9.781260490E0
1.955095190E-1,3.828516230E-2,1.070788130E-1,9.776474953E0
1.977482270E-1,1.435693540E-2,9.750752151E-2,9.805189133E0
1.999816860E-1,1.914258115E-2,1.022931710E-1,9.790832520E0
2.022181980E-1,9.571290575E-3,9.272187948E-2,9.781260490E0
2.044543430E-1,2.871387079E-2,8.315058798E-2,9.776474953E0
2.066907320E-1,2.871387079E-2,9.750752151E-2,9.771689415E0
2.089274880E-1,1.435693540E-2,9.750752151E-2,9.776474953E0
2.111642430E-1,1.914258115E-2,9.750752151E-2,9.795618057E0
2.133991680E-1,1.914258115E-2,9.272187948E-2,9.795618057E0
2.156356180E-1,1.914258115E-2,1.070788130E-1,9.771689415E0
2.178715190E-1,1.435693540E-2,9.272187948E-2,9.786046028E0
2.201082130E-1,2.392822690E-2,9.272187948E-2,9.795618057E0
2.223444190E-1,2.871387079E-2,9.272187948E-2,9.771689415E0
2.245808080E-1,1.435693540E-2,6.939185411E-2,9.762118340E0
2.268168920E-1,2.871387079E-2,8.793623000E-2,9.795618057E0
2.290492530E-1,2.392822690E-2,1.118644550E-1,9.781260490E0
2.312893040E-1,2.392822690E-2,8.793623000E-2,9.800403595E0
2.335253260E-1,4.307080805E-2,8.315058798E-2,9.772287369E0
2.357626920E-1,3.349951655E-2,8.315058798E-2,9.776474953E0
2.379965800E-1,3.349951655E-2,8.793623000E-2,9.757930756E0
2.402275370E-1,2.392822690E-2,1.022931710E-1,9.786046028E0
2.424707620E-1,4.307080805E-2,9.750752151E-2,9.781859398E0
2.447072730E-1,2.871387079E-2,9.750752151E-2,9.776474953E0
2.469459820E-1,2.871387079E-2,8.315058798E-2,9.776474953E0
2.491791970E-1,4.307080805E-2,7.836493850E-2,9.777072906E0
2.514157080E-1,2.392822690E-2,8.793623000E-2,9.771689415E0
2.536515470E-1,3.349951655E-2,6.879365444E-2,9.767501831E0
2.558881810E-1,2.871387079E-2,9.272187948E-2,9.771689415E0
2.581222510E-1,3.349951655E-2,8.315058798E-2,9.786046028E0
2.603527200E-1,3.349951655E-2,9.272187948E-2,9.786046028E0
2.625969820E-1,3.349951655E-2,1.022931710E-1,9.781260490E0
2.648345310E-1,2.811566554E-2,7.836493850E-2,9.795618057E0
2.670715310E-1,3.349951655E-2,8.793623000E-2,9.786046028E0
2.693057230E-1,1.914258115E-2,1.070788130E-1,9.771689415E0
2.715416850E-1,3.349951655E-2,8.793623000E-2,9.771689415E0
2.737782570E-1,3.828516230E-2,9.272187948E-2,9.786046028E0
2.760143410E-1,2.392822690E-2,9.750752151E-2,9.781260490E0
2.782478000E-1,2.392822690E-2,8.793623000E-2,9.790832520E0
