"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.804107400E-2,-2.220399857E0,8.832799911E0,-4.001599884E1
3.804083000E-2,-2.122799873E0,8.930399895E0,-4.011359787E1
4.804107400E-2,-2.696199894E0,9.381799698E0,-4.055279922E1
5.805303700E-2,-1.268800020E0,8.576600075E0,-3.935720062E1
6.805303700E-2,-1.951999903E0,8.564399719E0,-3.928400040E1
7.805254900E-2,-1.646999955E0,8.661999702E0,-3.957679749E1
8.805279300E-2,-1.939799905E0,8.747400284E0,-3.958900070E1
9.805254900E-2,-2.317999840E0,8.637599945E0,-3.990620041E1
1.080530370E-1,-2.110599995E0,8.735199928E0,-4.030879974E1
1.180527930E-1,-2.208199978E0,9.015799522E0,-4.041859818E1
1.280527930E-1,-1.817799926E0,8.918199539E0,-4.029660034E1
1.380386330E-1,-1.915399909E0,8.832799911E0,-4.029660034E1
1.480525490E-1,-1.854399920E0,8.186200142E0,-3.947919846E1
1.580418070E-1,-2.110599995E0,8.722999573E0,-4.050399780E1
1.680527930E-1,-1.659199953E0,8.186200142E0,-3.925959778E1
1.780410740E-1,-2.232599974E0,8.649800301E0,-3.969879913E1
1.880527930E-1,-8.783999681E-1,8.674200058E0,-3.934499741E1
1.980471780E-1,-1.646999955E0,8.466799736E0,-3.967440033E1
2.080530370E-1,-2.025199890E0,8.649800301E0,-3.989400101E1
2.180408300E-1,-1.939799905E0,8.552199364E0,-3.978419876E1
2.280410740E-1,-2.232599974E0,8.747400284E0,-3.950360107E1
2.380398540E-1,-1.256600022E0,9.515999794E0,-3.938159943E1
2.480413190E-1,-1.659199953E0,8.942600250E0,-3.928400040E1
2.580530370E-1,-1.854399920E0,9.137800217E0,-3.919860077E1
2.680454690E-1,-2.037400007E0,8.271599770E0,-3.978419876E1
2.780527930E-1,-1.732399940E0,8.649800301E0,-3.997940063E1
2.880391210E-1,-1.268800020E0,8.954799652E0,-3.906439972E1
2.980527930E-1,-2.220399857E0,8.930399895E0,-3.991839981E1
3.080422950E-1,-1.451799989E0,9.040200233E0,-3.947919846E1
