"Time (s)","Pressure (hPa)"
4.744219700E-2,9.935093994E2
6.746221700E-2,9.934935913E2
8.746172900E-2,9.935105591E2
1.074624610E-1,9.934904175E2
1.274617290E-1,9.935027466E2
1.474617290E-1,9.935230713E2
1.675847760E-1,9.935148315E2
1.875969830E-1,9.935053101E2
2.077271100E-1,9.935197754E2
2.280144630E-1,9.935194092E2
2.479824810E-1,9.935219727E2
2.681231060E-1,9.935247192E2
2.882354100E-1,9.935061646E2
3.085566990E-1,9.935090942E2
3.274732030E-1,9.934993286E2
3.474671000E-1,9.935244141E2
3.677608010E-1,9.934918823E2
3.874221780E-1,9.935078125E2
4.074390240E-1,9.935162354E2
4.274656350E-1,9.935119629E2
4.474624610E-1,9.935228271E2
4.675039650E-1,9.935105591E2
4.874844340E-1,9.934976196E2
5.075271580E-1,9.935183105E2
5.276189550E-1,9.935169067E2
5.476900000E-1,9.935189209E2
5.679724710E-1,9.935220947E2
5.879609960E-1,9.935250244E2
6.082114850E-1,9.935010376E2
6.281856060E-1,9.935092163E2
6.484282810E-1,9.935074463E2
6.685654880E-1,9.935045166E2
6.889654880E-1,9.935111694E2
7.093654880E-1,9.935144043E2
7.274690530E-1,9.935132446E2
7.474631940E-1,9.935346069E2
7.674627050E-1,9.935289917E2
7.874671000E-1,9.935421753E2
8.074675880E-1,9.935250854E2
8.274500100E-1,9.935350952E2
8.475020120E-1,9.935245972E2
8.678313580E-1,9.935212402E2
8.876480080E-1,9.935136719E2
9.079522070E-1,9.935325317E2
9.278504010E-1,9.935159302E2
9.482337010E-1,9.935352173E2
9.681382420E-1,9.935343018E2
9.883572370E-1,9.935203857E2
1.008428037E0,9.935284424E2
1.027492002E0,9.935260010E2
1.047526182E0,9.935247803E2
1.067461973E0,9.935228271E2
1.087473936E0,9.935253296E2
1.107521055E0,9.935175171E2
1.127479551E0,9.935077515E2
1.147462949E0,9.935108032E2
1.167462217E0,9.935308228E2
1.187462217E0,9.935237427E2
1.207476865E0,9.935141602E2
1.227677305E0,9.935159302E2
1.247861143E0,9.935278320E2
1.267813779E0,9.935237427E2
1.288075010E0,9.935173340E2
1.308088194E0,9.935068359E2
1.328400694E0,9.935228882E2
1.348688779E0,9.935194092E2
1.368838438E0,9.935438232E2
1.387469297E0,9.935361328E2
1.407670225E0,9.935394897E2
1.427461973E0,9.935233765E2
1.447461973E0,9.935297241E2
1.467462461E0,9.935296021E2
1.487462217E0,9.935283203E2
1.507462461E0,9.935215454E2
1.527462461E0,9.935195312E2
1.547559141E0,9.935219116E2
1.567489805E0,9.935158081E2
1.587841367E0,9.935144653E2
1.607981016E0,9.935269775E2
1.628082822E0,9.935252075E2
1.648068418E0,9.935105591E2
1.668284483E0,9.935377197E2
1.688345274E0,9.935302734E2
1.708571592E0,9.935281372E2
1.728966612E0,9.935363159E2
1.747488828E0,9.935178223E2
1.767462217E0,9.935139771E2
1.787538389E0,9.935209351E2
1.807457334E0,9.935361328E2
1.827462461E0,9.935296021E2
1.847482969E0,9.935077515E2
1.867515440E0,9.935163574E2
1.887450498E0,9.935197754E2
1.907507871E0,9.935269165E2
1.927794492E0,9.935245972E2
1.947744444E0,9.935201416E2
1.967983457E0,9.935148315E2
1.987978574E0,9.935306396E2
2.008254209E0,9.935317383E2
2.028405576E0,9.935206299E2
2.048435117E0,9.935124512E2
2.068552305E0,9.935005493E2
2.087493955E0,9.935213623E2
2.107524717E0,9.935212402E2
2.127461973E0,9.935238647E2
2.147462705E0,9.935114746E2
2.167462217E0,9.935057983E2
2.187461973E0,9.935210571E2
2.207462705E0,9.935241699E2
2.227462949E0,9.935187378E2
2.247450742E0,9.935013428E2
2.267756895E0,9.935146484E2
2.287976865E0,9.935360107E2
2.308011289E0,9.935138550E2
2.327899717E0,9.934978027E2
2.348113584E0,9.935220947E2
2.368513584E0,9.935086670E2
2.388432920E0,9.935077515E2
2.408658262E0,9.935216675E2
2.428988340E0,9.935446777E2
2.447505918E0,9.935270996E2
2.467905918E0,9.935302734E2
2.487460996E0,9.935278320E2
2.507497373E0,9.935224609E2
2.527462461E0,9.935122070E2
2.547462217E0,9.935423584E2
2.567462217E0,9.935160522E2
2.587469053E0,9.935135498E2
2.607654356E0,9.935331421E2
2.627610654E0,9.935252075E2
2.647875547E0,9.935519409E2
2.667905088E0,9.935139771E2
2.688144590E0,9.935372925E2
2.708216612E0,9.935315552E2
2.728289854E0,9.935524292E2
2.748416807E0,9.935484619E2
2.768816807E0,9.935349731E2
2.788909727E0,9.935499268E2
2.807557188E0,9.935750122E2
2.827462461E0,9.935676880E2
2.847516172E0,9.935594482E2
2.867567442E0,9.935488281E2
2.887461240E0,9.935421753E2
2.907462217E0,9.935428467E2
2.927462217E0,9.935516357E2
2.947605528E0,9.935512695E2
2.967760557E0,9.935286255E2
2.987780576E0,9.935435791E2
3.007805479E0,9.935647583E2
3.028008848E0,9.935532837E2
3.048287656E0,9.935616455E2
3.068081358E0,9.935629272E2
3.088296690E0,9.935676880E2
3.108514219E0,9.935194092E2
3.128485899E0,9.935222778E2
3.147498106E0,9.935382080E2
3.167455869E0,9.935155029E2
3.187461729E0,9.935083008E2
3.207462461E0,9.935205078E2
3.227461729E0,9.935304565E2
3.247462461E0,9.935205078E2
3.267461973E0,9.935186157E2
3.287461485E0,9.935390015E2
3.307438535E0,9.935392456E2
3.327611387E0,9.935311279E2
3.347624815E0,9.935410767E2
3.367961729E0,9.935377197E2
3.387939512E0,9.935574341E2
3.408094541E0,9.935552979E2
3.428138487E0,9.935720825E2
3.448538487E0,9.935526123E2
3.468399473E0,9.935562134E2
3.488663145E0,9.935471802E2
3.507495664E0,9.935642700E2
3.527541807E0,9.935465088E2
3.547462705E0,9.935468140E2
3.567453428E0,9.935526733E2
3.587601865E0,9.935542603E2
3.607433408E0,9.935426636E2
3.627473447E0,9.935574951E2
3.647460752E0,9.935488281E2
3.667507871E0,9.935394897E2
3.687603330E0,9.935426025E2
3.707766660E0,9.935471802E2
3.727839170E0,9.935564575E2
3.747994199E0,9.935538940E2
3.768132139E0,9.935635376E2
3.788395078E0,9.935672607E2
3.808366026E0,9.935428467E2
3.828648985E0,9.935375977E2
3.848874570E0,9.935212402E2
3.867550596E0,9.935311279E2
3.887440733E0,9.935237427E2
3.907649473E0,9.935290527E2
3.927431944E0,9.935440674E2
3.947457822E0,9.935200195E2
3.967431944E0,9.935278320E2
3.987546934E0,9.935079956E2
4.007430479E0,9.935239868E2
4.027626035E0,9.934960938E2
4.047481504E0,9.935185547E2
4.067606504E0,9.935155640E2
4.087861631E0,9.935233765E2
4.107878965E0,9.935132446E2
4.128138731E0,9.935117798E2
4.148084776E0,9.935183105E2
4.168374326E0,9.935107422E2
4.188381895E0,9.935277710E2
4.208592832E0,9.935117798E2
4.227476377E0,9.935142212E2
4.247431455E0,9.935139160E2
4.267537168E0,9.935135498E2
4.287433897E0,9.935224609E2
4.307482969E0,9.935071411E2
4.327429014E0,9.934894409E2
4.347462217E0,9.934994507E2
4.367491514E0,9.934760132E2
4.387467100E0,9.934660034E2
4.407561826E0,9.934517822E2
4.427783750E0,9.934539795E2
4.447927305E0,9.934447021E2
4.468132383E0,9.934548950E2
4.488063047E0,9.934371948E2
4.508292539E0,9.934509277E2
4.528354063E0,9.934440918E2
4.548510557E0,9.934297485E2
4.567493955E0,9.934346313E2
4.587479063E0,9.934397583E2
4.607461240E0,9.934430542E2
4.627461485E0,9.934383545E2
4.647560850E0,9.934385986E2
4.667467100E0,9.934624634E2
4.687462217E0,9.934758911E2
4.707461973E0,9.934567871E2
4.727450742E0,9.934633789E2
4.747503965E0,9.934399414E2
4.767754697E0,9.934371948E2
4.788092588E0,9.934584351E2
4.808083799E0,9.934661865E2
4.828001279E0,9.934548950E2
4.848275694E0,9.934469604E2
4.868653379E0,9.934672852E2
4.888426328E0,9.934379883E2
4.908826328E0,9.934566040E2
4.927475401E0,9.934516602E2
4.947462705E0,9.934590454E2
4.967550840E0,9.934688110E2
4.987462461E0,9.934462891E2
5.007462461E0,9.934421387E2
5.027450498E0,9.934503174E2
