"Time (s)","Pressure (hPa)"
6.751041900E-2,9.991860962E2
8.754337800E-2,9.991755371E2
1.075436220E-1,9.992101440E2
1.275443540E-1,9.991892090E2
1.475438660E-1,9.991932983E2
1.675609560E-1,9.991888428E2
1.875441100E-1,9.992047729E2
2.075218930E-1,9.991848755E2
2.275502140E-1,9.991879883E2
2.476603210E-1,9.992116699E2
2.679889340E-1,9.991715088E2
2.879227720E-1,9.992114258E2
3.083227720E-1,9.991943970E2
3.281571470E-1,9.991891479E2
3.483146180E-1,9.991954956E2
3.684891780E-1,9.991751709E2
3.875519230E-1,9.991823730E2
4.075431330E-1,9.991835938E2
4.275438660E-1,9.991920166E2
4.475448420E-1,9.991777954E2
4.675443540E-1,9.991932373E2
4.875445980E-1,9.991787720E2
5.076913270E-1,9.991753540E2
5.275196960E-1,9.992035522E2
5.479029970E-1,9.992089233E2
5.675428890E-1,9.991948853E2
5.876417660E-1,9.991885986E2
6.078248720E-1,9.992008667E2
6.279073910E-1,9.992041016E2
6.480653500E-1,9.991888428E2
6.683436710E-1,9.991822510E2
6.884054380E-1,9.991902466E2
7.085887880E-1,9.991736450E2
7.275753600E-1,9.991956177E2
7.478856630E-1,9.992006226E2
7.675416690E-1,9.991997070E2
7.875436220E-1,9.992016602E2
8.075619320E-1,9.991950073E2
8.275511900E-1,9.992172241E2
8.475421570E-1,9.991939697E2
8.675311710E-1,9.992078857E2
8.875441100E-1,9.991956177E2
9.075445980E-1,9.992045288E2
9.278138850E-1,9.992097778E2
9.477850770E-1,9.991819458E2
9.678585630E-1,9.991848755E2
9.881678890E-1,9.991929321E2
1.008338788E0,9.992002563E2
1.028414471E0,9.992000122E2
1.048429364E0,9.991707764E2
1.068558270E0,9.991879883E2
1.087556805E0,9.991914673E2
1.107543622E0,9.991869507E2
1.127543866E0,9.991799927E2
1.147671551E0,9.991704102E2
1.167544110E0,9.991712646E2
1.187543622E0,9.991916504E2
1.207938397E0,9.991723633E2
1.227580975E0,9.991640625E2
1.247531659E0,9.991693115E2
1.267532391E0,9.991853027E2
1.287715008E0,9.991773071E2
1.308115008E0,9.991768188E2
1.327967694E0,9.991724243E2
1.348225507E0,9.991755371E2
1.368341229E0,9.991785278E2
1.388392987E0,9.991717529E2
1.408654462E0,9.991918945E2
1.427575848E0,9.991763916E2
1.447568036E0,9.991753540E2
1.467544110E0,9.991757812E2
1.487544354E0,9.991629028E2
1.507544354E0,9.991542358E2
1.527544354E0,9.991616821E2
1.547579266E0,9.991694946E2
1.567543622E0,9.991520996E2
1.587543866E0,9.991717529E2
1.607533124E0,9.991643677E2
1.627693768E0,9.991564941E2
1.647775067E0,9.991607666E2
1.667996014E0,9.991704102E2
1.688163251E0,9.991625366E2
1.708328290E0,9.991445923E2
1.728354413E0,9.991467285E2
1.748505536E0,9.991487427E2
1.768542157E0,9.991491699E2
1.787571698E0,9.991428223E2
1.807543866E0,9.991251831E2
1.827543622E0,9.991303101E2
1.847544110E0,9.991388550E2
1.867544842E0,9.991205444E2
1.887544110E0,9.991236572E2
1.907544354E0,9.991123047E2
1.927578290E0,9.991204224E2
1.947544354E0,9.991017456E2
1.967613446E0,9.990932007E2
1.987913739E0,9.990950928E2
2.007945233E0,9.991069946E2
2.028229657E0,9.991021118E2
