"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.523420980E-1,-2.594662458E-2,5.599237978E-3,-9.886455536E-2
1.702343710E-1,-3.473419696E-2,-3.007575870E-3,-5.686759949E-2
1.881264000E-1,-5.139800906E-2,7.514510304E-3,-7.174777985E-2
2.060185510E-1,-4.247789830E-2,8.357640356E-3,-7.788944244E-2
2.239124720E-1,-3.626529872E-2,1.106183231E-2,-4.466819763E-2
2.418029140E-1,-3.828946501E-2,1.039898768E-2,-5.140304565E-2
2.596953700E-1,-3.678447008E-2,1.493357494E-2,-4.060935974E-2
2.775873990E-1,-3.636223823E-2,8.432924747E-3,-4.162788391E-2
2.954794270E-1,-4.215791821E-2,5.182515830E-3,-3.659915924E-2
3.133715780E-1,-3.786975890E-2,1.260982826E-2,-3.028964996E-2
3.312636680E-1,-3.674990684E-2,1.108975708E-2,-5.044937134E-2
3.491560630E-1,-3.926807642E-2,-5.430169404E-4,-4.524612427E-2
3.670481530E-1,-3.741344810E-2,4.054471850E-3,-6.729412079E-2
3.849413410E-1,-3.481994569E-2,1.304567233E-2,-7.135868073E-2
4.028327600E-1,-4.796533287E-2,2.763196826E-3,-6.363677979E-2
4.207247890E-1,-4.730174690E-2,7.085770369E-3,-8.492565155E-2
4.386168790E-1,-4.657368362E-2,6.347879767E-3,-7.911682129E-2
4.565066490E-1,-3.405164182E-2,4.440844059E-4,-8.343601227E-2
4.744011800E-1,-3.070196509E-2,2.680033445E-3,-6.950855255E-2
4.922933920E-1,-2.927576005E-2,-3.972910345E-3,-7.270622253E-2
5.101826740E-1,-2.874431759E-2,6.260924041E-3,-5.871677399E-2
5.280742760E-1,-2.561190724E-2,2.546127886E-3,-4.959201813E-2
5.459699060E-1,-1.959878206E-2,6.889738142E-4,-5.280208588E-2
5.638649260E-1,-2.080696821E-2,-3.339402378E-3,-3.484916687E-2
5.817426720E-1,-2.440832555E-2,4.466243088E-3,-4.366493225E-2
5.996464200E-1,-2.528815717E-2,7.554680109E-3,-3.079700470E-2
6.175385710E-1,-1.573453844E-2,6.798647344E-3,-3.619480133E-2
6.354309040E-1,-1.942680776E-2,1.568198204E-4,-2.299499512E-2
6.533230550E-1,-1.627732813E-2,4.196103662E-3,-4.336738586E-2
6.712150230E-1,-1.497606933E-2,4.054028541E-3,-4.624462128E-2
6.891077230E-1,-7.502764463E-3,-8.333567530E-3,-6.295585632E-2
7.069995080E-1,-1.109527051E-2,-3.674421459E-3,-7.858562469E-2
7.248939780E-1,-3.347828984E-3,-6.887428463E-3,-9.157657623E-2
7.427828320E-1,1.236706972E-3,-6.058871746E-3,-8.507728577E-2
7.606658900E-1,-5.272835493E-3,1.791164279E-3,-1.161575317E-1
7.785683560E-1,-4.323959351E-3,-6.341133267E-3,-9.861183167E-2
7.964631310E-1,-1.118502021E-2,1.155024767E-2,-7.084369659E-2
8.143414270E-1,-2.235689759E-2,1.045137644E-3,-7.972431183E-2
8.322412070E-1,-2.095960081E-2,4.149418324E-3,-6.905651093E-2
8.501372640E-1,-2.269737422E-2,9.527187794E-3,-3.869247437E-2
8.680314290E-1,-2.988019586E-2,3.241360188E-3,-2.225589752E-2
8.859213830E-1,-3.036449850E-2,3.233499825E-3,-1.279640198E-2
9.038134120E-1,-3.724019974E-2,4.679180682E-3,-1.572036743E-2
9.217058070E-1,-4.092535377E-2,6.388831884E-3,-9.971618652E-3
9.395978360E-1,-3.940085322E-2,-1.609750092E-3,-2.584552765E-2
9.574901700E-1,-3.191922605E-2,1.089315489E-2,-3.599071503E-2
9.753823210E-1,-2.723316848E-2,5.335535854E-3,-6.275081635E-2
9.932773400E-1,-3.209817410E-2,-3.383021802E-3,-7.056999207E-2
1.011155331E0,-2.324760705E-2,1.951374114E-3,-7.919311523E-2
1.029058834E0,-1.079407334E-2,4.291351885E-3,-9.533977509E-2
1.046950924E0,-1.791812479E-2,-1.400034875E-3,-1.019573212E-1
1.064847469E0,-1.776495576E-2,7.130578160E-5,-1.047544479E-1
1.082735409E0,1.663900912E-2,2.997885272E-2,-1.348571777E-1
1.100627377E0,2.748221159E-3,7.932808250E-3,-1.143512726E-1
1.118520321E0,-2.071267366E-2,-1.207288727E-2,-8.153057098E-2
1.136411862E0,-2.216719091E-2,-9.884037077E-3,-4.068183899E-2
1.154303951E0,-1.876284182E-2,1.457820088E-2,-6.349468231E-2
1.172196102E0,-2.237424254E-2,1.324167475E-2,-1.380538940E-2
1.190088619E0,-1.124615967E-2,-5.140826106E-3,-3.100204468E-2
1.207980465E0,-2.384748310E-2,2.699322999E-3,-2.279853821E-2
1.225872799E0,-2.289359272E-2,1.722853631E-3,-2.298831940E-2
1.243764889E0,-2.023091912E-2,4.633251578E-3,-3.728008270E-2
1.261658199E0,-2.613887191E-2,5.961839110E-3,-4.407501221E-2
1.279547482E0,-1.197281480E-2,-8.805707097E-3,-6.969738007E-2
1.297441403E0,7.019937038E-5,-4.172779620E-3,-7.680130005E-2
1.315322018E0,-6.060153246E-3,-1.086809114E-2,-9.110260010E-2
1.333225826E0,-1.081550121E-2,-7.259961218E-3,-1.142635345E-1
1.351117916E0,-1.057893038E-2,-7.153823972E-3,-1.034545898E-1
1.369010311E0,-1.280751824E-2,-1.851204783E-3,-9.759330750E-2
1.386902279E0,-2.262333035E-2,2.520147711E-3,-7.522773743E-2
1.404798580E0,-2.601321042E-2,2.184957266E-4,-6.793594360E-2
1.422686398E0,-3.392661363E-2,-1.510102302E-3,-5.537128448E-2
1.440578854E0,-3.764004260E-2,1.304894313E-2,-2.789402008E-2
1.458471432E0,-3.116244078E-2,1.220444962E-2,-2.853965759E-2
1.476363033E0,-3.538355231E-2,4.896286875E-3,-1.370429993E-2
1.494255367E0,-3.638556600E-2,1.407992467E-2,-9.494781494E-3
1.512147946E0,-3.461001813E-2,5.840927362E-3,-8.172035217E-3
1.530039608E0,-3.103592992E-2,6.099723279E-3,-1.097011566E-2
1.547931942E0,-2.995546162E-2,1.404911280E-3,-3.535556793E-2
1.565814083E0,-1.895210147E-2,2.366613597E-3,-5.344581604E-2
1.583716061E0,-1.214806736E-2,1.962468028E-3,-6.540012360E-2
1.601600155E0,-1.077038050E-2,-2.269309014E-3,-9.231090546E-2
1.619496029E0,-7.144182920E-3,-5.850497633E-3,-9.869003296E-2
1.637392819E0,-3.845691681E-3,-4.428334534E-3,-1.084394455E-1
1.655287594E0,-1.520620286E-2,-4.203751683E-3,-1.003246307E-1
1.673176998E0,-1.222442091E-2,-8.455570787E-3,-9.467315674E-2
1.691066219E0,-1.845940948E-2,1.244910061E-3,-7.598209381E-2
1.708961483E0,-1.729558408E-2,-7.078535855E-4,-6.223106384E-2
1.726853512E0,-2.336646616E-2,-4.018243402E-3,-4.299831390E-2
