"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.487188400E-2,1.690919876E1,7.197999954E-1,-2.926779938E1
5.487188400E-2,1.700679970E1,7.197999954E-1,-2.936540031E1
6.487188400E-2,1.701899910E1,5.245999694E-1,-2.965819931E1
7.487164000E-2,1.711660004E1,8.051999807E-1,-2.975580025E1
8.487164000E-2,1.738500023E1,1.293200016E0,-2.896279907E1
9.486065300E-2,1.710439873E1,9.027999640E-1,-2.946299934E1
1.048718840E-1,1.682379913E1,1.085799932E0,-2.968260002E1
1.148608970E-1,1.692140007E1,1.366400003E0,-2.978019905E1
1.248718840E-1,1.758020020E1,7.319999933E-1,-2.903599930E1
1.348606530E-1,1.710439873E1,1.281000018E0,-2.947519875E1
1.448716400E-1,1.709219933E1,9.149999619E-1,-2.886520004E1
1.548601650E-1,1.682379913E1,8.051999807E-1,-2.957279968E1
1.648718840E-1,1.720199966E1,7.197999954E-1,-2.935319901E1
1.748682220E-1,1.750699997E1,4.269999862E-1,-2.963379860E1
1.848718840E-1,1.699460030E1,3.416000009E-1,-2.904819870E1
1.948648040E-1,1.711660004E1,4.269999862E-1,-2.975580025E1
2.048604090E-1,1.770219994E1,1.464000046E-1,-2.951179886E1
2.148716400E-1,1.729960060E1,1.464000046E-1,-2.943859863E1
2.248721280E-1,1.760459900E1,7.197999954E-1,-2.953619957E1
2.348718840E-1,1.778759956E1,1.012599945E0,-2.923119926E1
2.448721280E-1,1.739719963E1,8.173999786E-1,-2.945079994E1
2.548718840E-1,1.770219994E1,8.173999786E-1,-2.953619957E1
2.648716400E-1,1.720199966E1,4.391999841E-1,-2.934099960E1
2.748716400E-1,1.747039986E1,3.537999988E-1,-2.863339996E1
2.848608970E-1,1.689699936E1,6.099999696E-2,-2.904819870E1
2.948721280E-1,1.718980026E1,6.099999696E-2,-2.893840027E1
3.048601650E-1,1.759239960E1,6.222000122E-1,-2.943859863E1
3.148606530E-1,1.689699936E1,6.344000101E-1,-2.896279907E1
3.248618740E-1,1.758020020E1,8.295999765E-1,-2.893840027E1
3.348601650E-1,1.739719963E1,2.439999878E-1,-2.923119926E1
3.448660240E-1,1.749480057E1,7.197999954E-1,-2.924339867E1
3.548721280E-1,1.701899910E1,8.051999807E-1,-2.956060028E1
3.648606530E-1,1.737279892E1,4.513999820E-1,-2.863339996E1
3.748721280E-1,1.748259926E1,9.271999598E-1,-2.874320030E1
3.848721280E-1,1.710439873E1,6.222000122E-1,-2.925559998E1
3.948718840E-1,1.700679970E1,7.197999954E-1,-2.925559998E1
4.048721280E-1,1.756799889E1,3.537999988E-1,-2.862119865E1
4.148721280E-1,1.750699997E1,1.000399947E0,-2.964599991E1
4.248721280E-1,1.710439873E1,7.197999954E-1,-2.935319901E1
4.348718840E-1,1.779979897E1,7.197999954E-1,-2.973139954E1
4.448718840E-1,1.788520050E1,6.344000101E-1,-2.912139893E1
4.548616300E-1,1.729960060E1,6.344000101E-1,-2.914579964E1
4.648718840E-1,1.709219933E1,7.197999954E-1,-2.895059967E1
4.748601650E-1,1.777540016E1,7.319999933E-1,-2.892619896E1
4.848721280E-1,1.747039986E1,3.659999967E-1,-2.852359962E1
4.948604090E-1,1.718980026E1,8.173999786E-1,-2.885299873E1
5.048716400E-1,1.759239960E1,9.149999619E-1,-2.934099960E1
5.148560150E-1,1.721419907E1,9.027999640E-1,-2.975580025E1
5.248721280E-1,1.739719963E1,5.245999694E-1,-2.943859863E1
5.348743250E-1,1.710439873E1,4.269999862E-1,-2.945079994E1
5.448721280E-1,1.690919876E1,7.197999954E-1,-2.936540031E1
5.548716400E-1,1.739719963E1,3.416000009E-1,-2.943859863E1
5.648718840E-1,1.721419907E1,7.075999975E-1,-2.954839897E1
5.748718840E-1,1.729960060E1,5.245999694E-1,-2.934099960E1
5.848718840E-1,1.758020020E1,9.149999619E-1,-2.893840027E1
5.948721280E-1,1.767779922E1,9.149999619E-1,-2.893840027E1
6.048721280E-1,1.776319885E1,5.489999652E-1,-2.841379929E1
6.148718840E-1,1.727519989E1,6.466000080E-1,-2.854800034E1
6.248604090E-1,1.776319885E1,2.683999836E-1,-2.841379929E1
6.348721280E-1,1.747039986E1,3.537999988E-1,-2.863339996E1
6.448604090E-1,1.758020020E1,6.344000101E-1,-2.882859993E1
6.548718840E-1,1.776319885E1,1.708000004E-1,-2.870660019E1
6.648611420E-1,1.766559982E1,8.295999765E-1,-2.853579903E1
6.748718840E-1,1.718980026E1,6.344000101E-1,-2.895059967E1
6.848694420E-1,1.716539955E1,5.489999652E-1,-2.834059906E1
6.948718840E-1,1.738500023E1,9.271999598E-1,-2.874320030E1
7.048599210E-1,1.747039986E1,2.561999857E-1,-2.873099899E1
7.148721280E-1,1.728739929E1,3.416000009E-1,-2.913360023E1
7.248718840E-1,1.710439873E1,4.391999841E-1,-2.935319901E1
7.348679770E-1,1.729960060E1,1.000399947E0,-2.925559998E1
7.448604090E-1,1.749480057E1,1.195600033E0,-2.925559998E1
7.548718840E-1,1.717759895E1,1.110199928E0,-2.856019974E1
7.648721280E-1,1.738500023E1,1.012599945E0,-2.895059967E1
7.748718840E-1,1.716539955E1,7.441999912E-1,-2.825519943E1
7.848718840E-1,1.679940033E1,3.416000009E-1,-2.886520004E1
7.948733490E-1,1.756799889E1,5.489999652E-1,-2.852359962E1
8.048718840E-1,1.715320015E1,4.635999799E-1,-2.793799973E1
8.148608970E-1,1.690919876E1,1.281000018E0,-2.927999878E1
8.248718840E-1,1.699460030E1,3.537999988E-1,-2.885299873E1
8.348606530E-1,1.681159973E1,6.222000122E-1,-2.946299934E1
8.448721280E-1,1.729960060E1,8.173999786E-1,-2.925559998E1
8.548599210E-1,1.690919876E1,3.416000009E-1,-2.925559998E1
8.648718840E-1,1.718980026E1,7.319999933E-1,-2.895059967E1
8.748630950E-1,1.718980026E1,7.319999933E-1,-2.885299873E1
8.848721280E-1,1.765340042E1,7.441999912E-1,-2.832839966E1
8.948767670E-1,1.745820045E1,-1.219999976E-2,-2.831620026E1
9.048721280E-1,1.765340042E1,6.588000059E-1,-2.802339935E1
9.148718840E-1,1.765340042E1,5.611999631E-1,-2.821859932E1
9.248721280E-1,1.715320015E1,8.540000021E-2,-2.803559875E1
9.348718840E-1,1.697019958E1,5.489999652E-1,-2.825519943E1
9.448718840E-1,1.684819984E1,-7.320000231E-2,-3.054879951E1
9.548718840E-1,1.632359886E1,3.660000116E-2,-2.957279968E1
9.648604090E-1,1.683600044E1,-6.099999696E-2,-3.025599861E1
9.748721280E-1,1.673839951E1,-6.099999696E-2,-3.015839958E1
9.848608970E-1,1.662859917E1,-4.269999862E-1,-2.985339928E1
9.948721280E-1,1.673839951E1,-1.586000025E-1,-3.025599861E1
1.004860409E0,1.664080048E1,-1.586000025E-1,-3.025599861E1
1.014871884E0,1.682379913E1,-3.294000030E-1,-2.974359894E1
1.024860409E0,1.662859917E1,1.341999918E-1,-2.996319962E1
1.034871884E0,1.684819984E1,1.219999939E-1,-3.035359955E1
1.044858944E0,1.688479996E1,-3.172000051E-1,-2.884079933E1
1.054871884E0,1.720199966E1,4.879999906E-2,-2.953619957E1
1.064867245E0,1.692140007E1,1.341999918E-1,-2.975580025E1
1.074871640E0,1.681159973E1,-2.317999899E-1,-2.954839897E1
1.084872128E0,1.700679970E1,1.464000046E-1,-2.924339867E1
1.094872128E0,1.603079987E1,3.660000116E-2,-2.948740005E1
1.104860409E0,1.633580017E1,1.341999918E-1,-2.997539902E1
1.114860653E0,1.671399879E1,-2.317999899E-1,-2.935319901E1
1.124871640E0,1.651879883E1,-4.879999906E-2,-2.936540031E1
1.134868954E0,1.679940033E1,-3.660000116E-2,-2.914579964E1
1.144871640E0,1.679940033E1,3.416000009E-1,-2.896279907E1
1.154860897E0,1.690919876E1,6.222000122E-1,-2.936540031E1
1.164871640E0,1.651879883E1,-1.464000046E-1,-2.946299934E1
1.174860409E0,1.710439873E1,-3.294000030E-1,-2.942639923E1
1.184871884E0,1.701899910E1,-3.294000030E-1,-2.963379860E1
1.194860409E0,1.732399940E1,-2.439999878E-1,-3.002419853E1
1.204871640E0,1.721419907E1,-2.439999878E-1,-2.992659950E1
1.214872860E0,1.672620010E1,3.660000116E-2,-2.996319962E1
1.224872128E0,1.771439934E1,4.879999906E-2,-3.021939850E1
1.234859921E0,1.684819984E1,-1.586000025E-1,-3.035359955E1
1.244872128E0,1.684819984E1,-1.586000025E-1,-3.035359955E1
1.254871884E0,1.844639969E1,4.635999799E-1,-2.848699951E1
1.264872128E0,1.797060013E1,-4.025999904E-1,-2.898719978E1
1.274871884E0,1.767779922E1,-2.073999941E-1,-2.880419922E1
1.284871884E0,1.737279892E1,-2.439999953E-2,-2.862119865E1
1.294871884E0,1.745820045E1,1.829999983E-1,-2.802339935E1
1.304860653E0,1.709219933E1,5.367999673E-1,-2.895059967E1
1.314868710E0,1.776319885E1,-1.097999960E-1,-2.859679985E1
1.324860653E0,1.784860039E1,2.805999815E-1,-2.810879898E1
1.334872128E0,1.786079979E1,-1.097999960E-1,-2.869439888E1
1.344860653E0,1.843420029E1,2.805999815E-1,-2.827960014E1
1.354871640E0,1.765340042E1,2.805999815E-1,-2.812100029E1
1.364860653E0,1.775099945E1,2.805999815E-1,-2.810879898E1
1.374871884E0,1.832439995E1,4.757999778E-1,-2.768179893E1
1.384860653E0,1.834879875E1,1.829999983E-1,-2.848699951E1
1.394871884E0,1.825119972E1,-1.219999976E-2,-2.848699951E1
1.404859188E0,1.805599976E1,-2.928000093E-1,-2.838939857E1
1.414871640E0,1.794619942E1,2.805999815E-1,-2.830399895E1
1.424872128E0,1.784860039E1,1.829999983E-1,-2.830399895E1
1.434872128E0,1.800720024E1,2.439999953E-2,-2.688879967E1
1.444872128E0,1.775099945E1,-1.097999960E-1,-2.830399895E1
1.454867489E0,1.727519989E1,-2.439999953E-2,-2.873099899E1
1.464871640E0,1.816580009E1,-2.073999941E-1,-2.898719978E1
1.474869198E0,1.865379906E1,-1.219999976E-2,-2.867000008E1
1.484872128E0,1.787299919E1,5.489999652E-1,-2.891399956E1
1.494860897E0,1.749480057E1,6.099999696E-2,-2.942639923E1
1.504871640E0,1.745820045E1,-1.097999960E-1,-2.831620026E1
1.514860409E0,1.709219933E1,-2.439999953E-2,-2.884079933E1
1.524859677E0,1.786079979E1,-1.219999976E-2,-2.840159988E1
1.534860653E0,1.758020020E1,-2.439999953E-2,-2.901159859E1
1.544871640E0,1.776319885E1,-3.903999925E-1,-2.849919891E1
