time,x,y,z,norm
5.002833321E-3,-3.237398654E-1,1.123934251E-1,3.396530628E-2,3.443739603E-1
1.495783334E-2,-2.417109581E-1,1.549098457E-1,1.605943626E-1,3.289556154E-1
2.491358333E-2,-1.148223585E-1,1.204251605E-1,2.001548696E-1,2.602851611E-1
3.486858332E-2,-1.902683973E-2,5.461430982E-2,1.784710550E-1,1.876077316E-1
4.482458334E-2,-2.038558647E-3,-3.515638411E-4,7.548930824E-2,7.551764679E-2
5.477958333E-2,-9.961543165E-2,-2.026703417E-2,-8.119268239E-2,1.301008784E-1
6.473558332E-2,-2.566440160E-1,-2.522342652E-3,-1.657282180E-1,3.055132655E-1
7.469058334E-2,-4.042419916E-1,5.981116891E-2,-1.808549649E-1,4.468752421E-1
8.464658333E-2,-4.768796128E-1,1.296204919E-1,-1.523872107E-1,5.171435961E-1
9.460158332E-2,-4.570944623E-1,1.396617691E-1,-1.298263139E-1,4.952732872E-1
1.045575833E-1,-4.279954281E-1,7.664778784E-2,-1.669906318E-1,4.657690855E-1
1.145135833E-1,-3.506869049E-1,4.747749075E-2,-1.484882873E-1,3.837762224E-1
1.244685833E-1,-2.776301846E-1,9.136362165E-2,-7.311124563E-2,3.012824007E-1
1.344245833E-1,-3.279185781E-1,1.487595981E-1,-4.768755198E-2,3.632273592E-1
1.443795833E-1,-4.232366717E-1,2.184627941E-1,-8.633296967E-2,4.840543919E-1
1.543355833E-1,-4.491160096E-1,2.762055105E-1,-1.688868839E-1,5.536401843E-1
1.642905833E-1,-4.201430561E-1,2.884994276E-1,-2.623587191E-1,5.732226485E-1
1.742465833E-1,-4.274501753E-1,2.381312196E-1,-2.557344085E-1,5.521052597E-1
1.842015833E-1,-4.219964042E-1,1.843675335E-1,-1.615784490E-1,4.880368303E-1
1.941575833E-1,-4.046637221E-1,1.705103633E-1,-7.056010544E-2,4.447530106E-1
2.041125833E-1,-3.392250466E-1,1.395231901E-1,-6.539175153E-2,3.725807751E-1
2.140685833E-1,-2.274904566E-1,7.821718052E-2,-1.288761413E-1,2.729082171E-1
2.240245833E-1,-1.682325804E-1,-2.839802608E-2,-1.678408170E-1,2.393307102E-1
2.339795833E-1,-1.230494640E-1,-9.003615752E-2,-9.143641949E-2,1.777872297E-1
2.439355833E-1,-1.049748433E-1,-9.741665930E-2,-1.453664589E-1,2.040615853E-1
2.538905833E-1,-1.040360729E-1,-8.814633742E-2,-2.148454142E-1,2.544638152E-1
2.638465833E-1,-1.387053108E-1,-7.117669433E-3,-1.414441466E-1,1.982328708E-1
2.738015833E-1,-2.320914844E-1,2.299695298E-2,-1.169291103E-1,2.608979375E-1
