x,y,z
56,-0.01801604,0.0030739754,0.05084324
57,-0.0032495856,-0.033826105,0.058021545
72,0.013413191,-0.01939705,0.032880783
85,0.017811954,-0.0012213141,0.058031082
103,0.0031148195,0.024950765,0.07479191
123,-0.0063529015,0.02339618,0.03647995
141,-0.0012229681,0.0041878,0.06161499
160,-0.0062387586,-0.011105195,0.070010185
179,-0.0073827505,-0.01323396,0.032899857
199,0.0058600903,-0.014465302,0.042470932
218,0.015319645,-0.009523079,0.072402
236,0.026114225,9.536743E-5,0.054444313
256,0.009216368,0.017464124,0.052049637
275,-0.013472021,0.014011003,0.06881523
294,-0.025503874,0.005575642,0.05445385
312,-0.006354332,0.0030653775,0.043678284
332,0.007911205,-0.018334363,0.05685234
351,0.034130454,-0.021474041,0.049676895
370,0.024522066,-0.009584025,0.05087471
389,0.014587283,0.019996822,0.060455322
408,-0.005685091,0.029201716,0.07241154
433,-0.025648296,-5.42067E-4,0.053263664
445,-0.026792824,-0.017164208,0.038897514
466,-0.0088329315,-0.013496369,0.05445957
484,0.010382354,0.005783312,0.05086422
504,0.017496645,0.014478117,0.06523228
522,0.006573975,0.011761382,0.07002926
541,-0.005174756,-0.0013709441,0.049668312
560,-0.0073648095,-0.031142902,0.031710625
579,0.0118275285,-0.037884835,0.05446148
599,0.01613748,0.0040574297,0.059259415
617,0.0100108385,0.0180756,0.052078247
637,2.4354458E-4,0.016682006,0.06525612
656,-0.028276026,0.015625514,0.05567646
675,-0.029411376,0.0070262253,0.04848957
694,-0.012724698,-0.013007268,0.05807209
713,0.0075595975,-0.024719,0.042515755
732,0.015851676,-0.012367167,0.055688858
751,0.020596981,0.006824039,0.05329609
770,0.034879804,-0.0052876025,0.062874794
789,0.025416434,-0.007797599,0.050898552
809,-0.010510862,-0.0023565218,0.04371643
827,-0.03422928,0.01058007,0.059265137
846,-0.032810032,0.010625534,0.06763077
866,-0.0016098022,0.003870763,0.05565834
885,0.016426682,-0.015217382,0.040091515
904,0.027081609,-0.02193131,0.05326557
