time,x,y,z,norm
2.417395834E-2,-4.720542164E-2,2.925228601E-2,-6.220501900E-2,8.338772366E-2
3.412795835E-2,-4.620457931E-2,3.255788147E-2,-6.100692451E-2,8.316684215E-2
4.408195836E-2,-4.901781181E-2,3.366572784E-2,-5.636482000E-2,8.193363192E-2
5.403595831E-2,-5.131465293E-2,2.349707264E-2,-6.130396307E-2,8.332755796E-2
6.398995832E-2,-5.192638133E-2,2.480496688E-2,-5.800905704E-2,8.171099166E-2
7.394395833E-2,-4.542044942E-2,2.599096494E-2,-4.633216739E-2,6.989432895E-2
8.389791666E-2,-4.564165690E-2,2.342305055E-2,-5.576138735E-2,7.577026106E-2
9.385191667E-2,-4.442658721E-2,2.497259924E-2,-4.782730043E-2,6.989136592E-2
1.038059167E-1,-5.238235451E-2,2.729507675E-2,-5.905687809E-2,8.352632596E-2
1.137599167E-1,-4.581329095E-2,2.630231090E-2,-6.280026555E-2,8.206425860E-2
1.237139167E-1,-4.795582954E-2,2.775609316E-2,-5.367159247E-2,7.714144238E-2
1.336679166E-1,-5.391782421E-2,2.756618656E-2,-5.262552559E-2,8.022762836E-2
1.436219166E-1,-4.587243919E-2,1.609411390E-2,-5.336870670E-2,7.219085839E-2
1.535759167E-1,-4.611304298E-2,1.876702236E-2,-4.857749820E-2,6.955851632E-2
1.635299167E-1,-3.995360428E-2,2.762798432E-2,-5.845753849E-2,7.600578806E-2
1.734839167E-1,-4.831855791E-2,2.362485258E-2,-5.650690734E-2,7.801184061E-2
1.834379167E-1,-3.847304360E-2,2.646937681E-2,-5.665835023E-2,7.342323640E-2
1.933919167E-1,-4.043693148E-2,2.749373591E-2,-6.698745668E-2,8.293594090E-2
2.033459166E-1,-4.515285708E-2,2.910789633E-2,-5.366399109E-2,7.593335283E-2
2.132999166E-1,-4.891906695E-2,2.380459964E-2,-5.830609560E-2,7.974543786E-2
2.232539167E-1,-4.159888286E-2,2.436214993E-2,-5.411422670E-2,7.247296693E-2
2.332079167E-1,-5.396419080E-2,3.164321249E-2,-5.007146180E-2,8.012850973E-2
2.431619167E-1,-4.824290955E-2,3.298142089E-2,-5.635897279E-2,8.118796869E-2
2.531159167E-1,-4.555402176E-2,2.707089085E-2,-5.755122006E-2,7.823135535E-2
2.630699167E-1,-4.883532386E-2,2.474629372E-2,-5.860021055E-2,8.019509079E-2
2.730239166E-1,-4.597962596E-2,2.470284160E-2,-4.916631281E-2,7.170552770E-2
2.829779166E-1,-5.245087657E-2,2.904346732E-2,-5.021354914E-2,7.820497404E-2
2.929319167E-1,-3.896811090E-2,2.777524279E-2,-5.289859056E-2,7.133189093E-2
3.028859167E-1,-3.922288505E-2,2.939828368E-2,-4.481598437E-2,6.641661125E-2
3.128399167E-1,-4.839097202E-2,2.698047828E-2,-7.760307670E-2,9.535129728E-2
3.227939167E-1,-4.017325860E-2,2.202945806E-2,-5.709396780E-2,7.320456876E-2
3.327479167E-1,-3.806474349E-2,2.569357920E-2,-5.095556080E-2,6.859703992E-2
3.427019166E-1,-4.576327899E-2,2.945353987E-2,-6.921290696E-2,8.804666492E-2
3.526549166E-1,-4.468569196E-2,2.533043057E-2,-5.903115034E-2,7.825035776E-2
3.626099167E-1,-5.281991811E-2,2.656026447E-2,-5.004456460E-2,7.745869766E-2
3.725629167E-1,-4.295745601E-2,2.551686538E-2,-4.270338535E-2,6.572695464E-2
3.825169167E-1,-4.946113125E-2,2.754435087E-2,-4.853130519E-2,7.456797136E-2
3.924709167E-1,-4.152590230E-2,2.283737881E-2,-5.705713034E-2,7.417184476E-2
4.024249167E-1,-4.952049877E-2,1.940234061E-2,-6.392351568E-2,8.315615717E-2
4.123789167E-1,-3.734126019E-2,2.643763740E-2,-3.637611330E-2,5.845117623E-2
4.223329166E-1,-5.685300769E-2,3.445194080E-2,-7.739666998E-2,1.020266888E-1
4.322869166E-1,-4.373153600E-2,1.598012974E-2,-6.243247569E-2,7.788212765E-2
4.422409167E-1,-4.337981684E-2,2.676316286E-2,-6.241844237E-2,8.058621063E-2
4.521949167E-1,-2.629658245E-2,1.927742947E-2,-2.407649517E-2,4.053155753E-2
4.621489167E-1,-3.519154049E-2,2.057578543E-2,-5.474455655E-2,6.825521182E-2
4.721029167E-1,-4.655209579E-2,2.307079235E-2,-6.445853591E-2,8.279047006E-2
4.820569167E-1,-4.867494570E-2,2.385751694E-2,-5.381777287E-2,7.638575869E-2
4.920109166E-1,-4.777812900E-2,1.637359254E-2,-5.724950373E-2,7.634362987E-2
5.019649166E-1,-4.130653122E-2,2.697918093E-2,-7.161786675E-2,8.696680150E-2
5.119189167E-1,-4.760940942E-2,3.378113726E-2,-6.428721249E-2,8.683701279E-2
5.218729167E-1,-4.643179846E-2,2.578267615E-2,-7.057296932E-2,8.832441506E-2
5.318269167E-1,-4.030745219E-2,2.213668138E-2,-5.380841732E-2,7.078184188E-2
5.417809167E-1,-5.198426876E-2,1.935483199E-2,-6.908485293E-2,8.859847981E-2
5.517349167E-1,-4.963710504E-2,2.687002072E-2,-6.624895334E-2,8.703312030E-2
5.616889166E-1,-4.040045947E-2,2.411302200E-2,-4.934114456E-2,6.817758797E-2
5.716429166E-1,-4.475462515E-2,1.849377466E-2,-4.964227617E-2,6.934948995E-2
5.815969167E-1,-3.953909151E-2,2.753468469E-2,-4.530247271E-2,6.613480666E-2
5.915509167E-1,-4.429659630E-2,2.093200877E-2,-6.565429151E-2,8.191961565E-2
6.015049167E-1,-3.744963468E-2,2.590418860E-2,-5.487027168E-2,7.130391882E-2
6.114589167E-1,-4.429559131E-2,2.340474145E-2,-5.082516789E-2,7.136581131E-2
6.214129167E-1,-4.907332381E-2,1.991413644E-2,-5.860254943E-2,7.898748471E-2
6.313669166E-1,-4.446791058E-2,2.267718337E-2,-4.721802056E-2,6.871092477E-2
6.413209166E-1,-3.623472031E-2,2.302379536E-2,-5.768219769E-2,7.190470109E-2
6.512749167E-1,-4.435786416E-2,2.478282055E-2,-3.941140294E-2,6.430448654E-2
6.612289167E-1,-4.532901359E-2,2.569721544E-2,-6.395158231E-2,8.249164342E-2
6.711829167E-1,-4.121388939E-2,2.344620187E-2,-6.350134671E-2,7.925105737E-2
6.811369167E-1,-4.406679159E-2,3.004991932E-2,-5.765997827E-2,7.854650130E-2
6.910909167E-1,-4.060755140E-2,3.070069615E-2,-4.956333876E-2,7.104949348E-2
7.010449166E-1,-3.937023489E-2,2.272794452E-2,-3.861968994E-2,5.964943678E-2
7.109989166E-1,-4.666587895E-2,2.543502264E-2,-5.611338973E-2,7.728749667E-2
7.209529167E-1,-3.585452339E-2,2.407274930E-2,-5.009251177E-2,6.613852011E-2
7.309069167E-1,-2.768494899E-2,2.164918805E-2,-2.430512130E-2,4.273034829E-2
7.408609167E-1,-3.639841494E-2,1.431972150E-2,-4.658593655E-2,6.082884610E-2
7.508149167E-1,-4.868764512E-2,8.419807814E-4,-9.446703136E-2,1.062789524E-1
7.607689167E-1,-5.108136730E-2,-1.406623008E-1,-6.018071294E-2,1.612975733E-1
7.707229166E-1,-2.864397459E-2,-2.923348356E-1,-6.538707376E-2,3.009245799E-1
7.806769166E-1,1.244514801E-1,-4.898306108E-1,9.349697828E-3,5.054795891E-1
7.906309167E-1,7.940491813E-1,-6.283178204E-1,-3.403605759E-2,1.013141569E0
8.005849167E-1,1.933994790E0,-9.016016234E-1,-1.046622366E-1,2.136393110E0
8.105389167E-1,3.293657932E0,-1.215247733E0,3.233159423E-2,3.510848182E0
8.204929167E-1,5.335415883E0,-1.460641779E0,-1.149270236E-2,5.531751001E0
8.304469167E-1,7.870909508E0,-1.383755132E0,3.212050974E-2,7.991684833E0
8.404009166E-1,1.053081551E1,-9.612060933E-1,1.403799534E-2,1.057460115E1
8.503549166E-1,1.300958471E1,-4.647486138E-1,2.829643071E-2,1.301791405E1
