"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.893588500E-2,9.391828537E0,8.033902049E-1,2.502892494E0
2.131744800E-2,9.328418732E0,8.985049129E-1,2.455035925E0
2.369901000E-2,9.260822296E0,9.499505758E-1,2.425724030E0
2.608057300E-2,9.236893654E0,1.007378340E0,2.430509567E0
2.846213500E-2,9.221938133E0,1.059422255E0,2.435295343E0
3.084369800E-2,9.250054359E0,1.083948612E0,2.477767944E0
3.322526000E-2,9.293125153E0,1.103689432E0,2.516052961E0
3.560682300E-2,9.336195946E0,1.080359459E0,2.535195589E0
3.798838500E-2,9.360722542E0,1.028315544E0,2.569293261E0
4.036994800E-2,9.403793335E0,9.954141974E-1,2.598007202E0
4.275151000E-2,9.433105469E0,9.481559992E-1,2.617149830E0
4.513307300E-2,9.448060036E0,9.050851464E-1,2.627319336E0
4.751463500E-2,9.471988678E0,8.721838593E-1,2.627319336E0
4.989619800E-2,9.481559753E0,8.673982024E-1,2.608176708E0
5.227776000E-2,9.505488396E0,8.626125455E-1,2.608176708E0
5.465932300E-2,9.482157707E0,8.626125455E-1,2.593819857E0
5.704088500E-2,9.471988678E0,8.668000102E-1,2.584248543E0
5.942244800E-2,9.477372169E0,8.620143533E-1,2.574677229E0
6.180401000E-2,9.462417603E0,8.859425783E-1,2.565105915E0
6.418557300E-2,9.438488960E0,9.050851464E-1,2.569891453E0
6.656713500E-2,9.443274498E0,8.955138922E-1,2.589034081E0
6.894869800E-2,9.438488960E0,9.194421172E-1,2.569293261E0
7.133026000E-2,9.428917885E0,9.188438654E-1,2.578864574E0
7.371182300E-2,9.424132347E0,9.092726111E-1,2.579462767E0
7.609338500E-2,9.438488960E0,9.242277741E-1,2.574079037E0
7.847494800E-2,9.428917885E0,9.242277741E-1,2.598007202E0
8.085651000E-2,9.428917885E0,9.242277741E-1,2.636292458E0
8.323802100E-2,9.457631111E0,9.146564603E-1,2.626721144E0
8.561963500E-2,9.452845573E0,9.050851464E-1,2.622533560E0
8.800114600E-2,9.471988678E0,9.056833982E-1,2.626721144E0
9.038270800E-2,9.481559753E0,8.961120844E-1,2.636890650E0
9.276427100E-2,9.486345291E0,8.913264275E-1,2.651247501E0
9.514583300E-2,9.500701904E0,8.865407705E-1,2.627319336E0
9.752739600E-2,9.510273933E0,9.008977413E-1,2.621935368E0
9.990895800E-2,9.491130829E0,8.817551732E-1,2.627319336E0
1.022905210E-1,9.481559753E0,8.673982024E-1,2.632104874E0
1.046720830E-1,9.481559753E0,8.721838593E-1,2.622533560E0
1.070536460E-1,9.467203140E0,8.721838593E-1,2.612962246E0
1.094352080E-1,9.458230019E0,8.524430394E-1,2.608176708E0
1.118167710E-1,9.448657990E0,8.524430394E-1,2.622533560E0
1.141983330E-1,9.439086914E0,8.524430394E-1,2.612962246E0
1.165798960E-1,9.429515839E0,8.668000102E-1,2.593819857E0
1.189614580E-1,9.400801659E0,8.614161611E-1,2.608176708E0
1.213430210E-1,9.396016121E0,8.662018180E-1,2.603390932E0
1.237245830E-1,9.385847092E0,8.805587292E-1,2.574677229E0
1.261061460E-1,9.376275063E0,8.949156404E-1,2.574677229E0
1.284877080E-1,9.367302895E0,8.799605370E-1,2.569891453E0
1.308692710E-1,9.361918449E0,8.895317912E-1,2.545963287E0
1.332508330E-1,9.366703987E0,8.847461939E-1,2.531606436E0
1.356323960E-1,9.347561836E0,8.847461939E-1,2.522035122E0
1.380139580E-1,9.343374252E0,8.799605370E-1,2.526820660E0
1.403955210E-1,9.333803177E0,8.745766878E-1,2.498106956E0
1.427770830E-1,9.333204269E0,8.841479421E-1,2.493321180E0
