"Time (s)","Pressure (hPa)"
8.804433600E-2,1.006686646E3
1.280295440E-1,1.006646912E3
1.680331900E-1,1.006670105E3
2.080328260E-1,1.006686462E3
2.480414190E-1,1.006700684E3
2.880351690E-1,1.006674377E3
3.280324610E-1,1.006693909E3
3.680329820E-1,1.006709656E3
4.080378260E-1,1.006757874E3
4.480427730E-1,1.006731750E3
4.880356380E-1,1.006755310E3
5.280372530E-1,1.006762329E3
5.680363150E-1,1.006785706E3
6.080288670E-1,1.006775269E3
6.480362110E-1,1.006774841E3
6.880349610E-1,1.006801025E3
7.280309510E-1,1.006780151E3
7.680346480E-1,1.006788269E3
8.080319920E-1,1.006788269E3
8.480270440E-1,1.006829468E3
8.880258980E-1,1.006778259E3
9.280306900E-1,1.006767212E3
9.680315760E-1,1.006754272E3
1.008026159E0,1.006777649E3
1.048027148E0,1.006757019E3
1.088028711E0,1.006731506E3
1.128027148E0,1.006788025E3
1.168026263E0,1.006795898E3
1.208024857E0,1.006824402E3
1.248029648E0,1.006868347E3
1.288028555E0,1.006873657E3
1.328026940E0,1.006907471E3
1.368031367E0,1.006972717E3
1.408029284E0,1.006969910E3
1.448026055E0,1.006931702E3
1.488026211E0,1.006959717E3
1.528035378E0,1.006962097E3
1.568028763E0,1.006982666E3
1.608025690E0,1.006968018E3
1.648028138E0,1.006944214E3
1.688027930E0,1.006950195E3
1.728025534E0,1.006957214E3
1.768024596E0,1.006965027E3
1.808034128E0,1.006975464E3
1.848027305E0,1.006975647E3
1.888029076E0,1.007017334E3
1.928026315E0,1.007012024E3
1.968027826E0,1.007009705E3
2.008028815E0,1.006978455E3
2.048029544E0,1.006990967E3
2.088029023E0,1.006986084E3
2.128028346E0,1.007004333E3
2.168027773E0,1.006952698E3
2.208029336E0,1.006903442E3
2.248029596E0,1.006908325E3
2.288027409E0,1.006882202E3
2.328026680E0,1.006851379E3
2.368025794E0,1.006843506E3
2.408027565E0,1.006882629E3
2.448025065E0,1.006825439E3
2.488030586E0,1.006846252E3
2.528025690E0,1.006838806E3
2.568024961E0,1.006848816E3
2.608026992E0,1.006812927E3
2.648029909E0,1.006809937E3
2.688027461E0,1.006810120E3
2.728033346E0,1.006799500E3
2.768029128E0,1.006797180E3
2.808027982E0,1.006797180E3
2.848029076E0,1.006815002E3
2.888030326E0,1.006851807E3
2.928027096E0,1.006869873E3
2.968026523E0,1.006937195E3
3.008025534E0,1.006919800E3
3.048026680E0,1.006940002E3
3.088027201E0,1.006947632E3
3.128027461E0,1.006914673E3
3.168025326E0,1.006916809E3
3.208031003E0,1.006924683E3
3.248028138E0,1.006862610E3
3.288027201E0,1.006888733E3
3.328024544E0,1.006888367E3
3.368029180E0,1.006880920E3
3.408027513E0,1.006883423E3
3.448034753E0,1.006898987E3
3.488026940E0,1.006929993E3
3.528025326E0,1.006880493E3
3.568034336E0,1.006852234E3
3.608031055E0,1.006825623E3
3.648028555E0,1.006745728E3
3.688029857E0,1.006761475E3
3.728028451E0,1.006849243E3
3.768028138E0,1.006860046E3
3.808026940E0,1.006849426E3
3.848028294E0,1.006844360E3
3.888028242E0,1.006878357E3
3.928027617E0,1.006909607E3
3.968027044E0,1.006945923E3
4.008029440E0,1.006964172E3
4.048026680E0,1.006990356E3
4.088028242E0,1.006976929E3
4.128025951E0,1.006993103E3
4.168027357E0,1.007006287E3
4.208033867E0,1.007000549E3
4.248030273E0,1.006980347E3
4.288029023E0,1.006959290E3
4.328025534E0,1.007000732E3
4.368028294E0,1.006959534E3
4.408028711E0,1.006951660E3
4.448026680E0,1.006987793E3
4.488031680E0,1.006969910E3
4.528026992E0,1.006962097E3
4.568026107E0,1.006944031E3
4.608026419E0,1.006892151E3
4.648024596E0,1.006910217E3
4.688030326E0,1.006883850E3
4.728026523E0,1.006873657E3
4.768033346E0,1.006868591E3
4.808035534E0,1.006897034E3
4.848027669E0,1.006894287E3
4.888027513E0,1.006873474E3
4.928028086E0,1.006798462E3
4.968027201E0,1.006803528E3
5.008029596E0,1.006790588E3
5.048027148E0,1.006759338E3
5.088027669E0,1.006756348E3
5.128030482E0,1.006767029E3
5.168028242E0,1.006816284E3
5.208027201E0,1.006834167E3
5.248026888E0,1.006829041E3
5.288026523E0,1.006803528E3
5.328032409E0,1.006803101E3
5.368030742E0,1.006823730E3
5.408032461E0,1.006803101E3
5.448027096E0,1.006852417E3
5.488025482E0,1.006826721E3
5.528034805E0,1.006839661E3
5.568026315E0,1.006864746E3
5.608026992E0,1.006837097E3
5.648024648E0,1.006855164E3
5.688031419E0,1.006847107E3
5.728028034E0,1.006867920E3
5.768026159E0,1.006797791E3
5.808027617E0,1.006787415E3
5.848027201E0,1.006815857E3
5.888024648E0,1.006885559E3
5.928027044E0,1.006891113E3
5.968029336E0,1.006844788E3
6.008029388E0,1.006860046E3
6.048025221E0,1.006906372E3
6.088031732E0,1.006909180E3
6.128029023E0,1.006929565E3
6.168031107E0,1.006935303E3
6.208024857E0,1.006963989E3
6.248026940E0,1.006968689E3
6.288027357E0,1.006973755E3
6.328031055E0,1.006994568E3
6.368029232E0,1.007005188E3
6.408024701E0,1.006931885E3
6.448027461E0,1.006830994E3
6.488027669E0,1.006901062E3
6.528028815E0,1.006937439E3
6.568029753E0,1.006950195E3
6.608029596E0,1.006945312E3
6.648025273E0,1.006924011E3
6.688027773E0,1.006893250E3
6.728026471E0,1.006924255E3
6.768026940E0,1.006908508E3
6.808026992E0,1.006926819E3
6.848027669E0,1.006908936E3
6.888028242E0,1.006936768E3
6.928028659E0,1.006952698E3
6.968026940E0,1.007001831E3
7.008031107E0,1.006962524E3
7.048025430E0,1.006845825E3
7.088027096E0,1.006905151E3
7.128029336E0,1.006899597E3
7.168030013E0,1.006910461E3
7.208025586E0,1.006894531E3
7.248027617E0,1.006920410E3
7.288027461E0,1.006904907E3
7.328026523E0,1.006891968E3
7.368026940E0,1.006944031E3
7.408028763E0,1.006902344E3
7.448028815E0,1.006904907E3
7.488024961E0,1.006928284E3
7.528028503E0,1.006918091E3
7.568029023E0,1.006819092E3
7.608025846E0,1.006764648E3
7.648032721E0,1.006842651E3
7.688028242E0,1.006886658E3
7.728031107E0,1.006933411E3
7.768031471E0,1.006964600E3
7.808025169E0,1.006897034E3
7.848028346E0,1.006873474E3
7.888031211E0,1.006837341E3
7.928028346E0,1.006826721E3
7.968045690E0,1.006829712E3
8.008039232E0,1.006798218E3
8.048031471E0,1.006816284E3
8.088026628E0,1.006876465E3
8.128027253E0,1.006832214E3
8.168028711E0,1.006722778E3
8.208026263E0,1.006855408E3
8.248028242E0,1.006904724E3
8.288031107E0,1.006930420E3
8.328032617E0,1.006946533E3
8.368030742E0,1.006904907E3
8.408028086E0,1.006935913E3
8.448026367E0,1.006938477E3
8.488030117E0,1.006943787E3
8.528025430E0,1.006951233E3
8.568027409E0,1.006961853E3
8.608026159E0,1.006977173E3
8.648029284E0,1.007096985E3
8.688028294E0,1.007130798E3
8.728029909E0,1.007118042E3
8.768025482E0,1.006932983E3
8.808030430E0,1.006982666E3
8.848028086E0,1.007015808E3
8.888027096E0,1.006964600E3
8.928029544E0,1.007000732E3
8.968027201E0,1.006980164E3
9.008028294E0,1.006948914E3
9.048027982E0,1.006943359E3
9.088028398E0,1.006954407E3
9.128026263E0,1.006969910E3
9.168026992E0,1.006993103E3
9.208028607E0,1.006993286E3
9.248026003E0,1.006990540E3
9.288029023E0,1.006998230E3
9.328029492E0,1.006904297E3
9.368032148E0,1.006813965E3
9.408036888E0,1.006841614E3
9.448029492E0,1.006857971E3
9.488036367E0,1.006875793E3
9.528027096E0,1.006842468E3
9.568025169E0,1.006819458E3
9.608033607E0,1.006819458E3
9.648028398E0,1.006839905E3
9.688027930E0,1.006897034E3
9.728025951E0,1.006876465E3
9.768026628E0,1.006922791E3
9.808027409E0,1.006951050E3
9.848029076E0,1.006933411E3
9.888027982E0,1.006870911E3
9.928027565E0,1.006894104E3
9.968027357E0,1.006803528E3
1.000802871E1,1.006767212E3
1.004802663E1,1.006792908E3
1.008803121E1,1.006767212E3
1.012802642E1,1.006806091E3
1.016802668E1,1.006808838E3
1.020802845E1,1.006834595E3
1.024802590E1,1.006795715E3
1.028802996E1,1.006790588E3
1.032802809E1,1.006806091E3
1.036803225E1,1.006847534E3
1.040803178E1,1.006876465E3
1.044803767E1,1.006868591E3
1.048802793E1,1.006865784E3
1.052803121E1,1.006907043E3
1.056803069E1,1.006845215E3
1.060802954E1,1.006834595E3
1.064803814E1,1.006870728E3
1.068802793E1,1.006878784E3
1.072802934E1,1.006878967E3
1.076802751E1,1.006930420E3
1.080802965E1,1.006924683E3
1.084802923E1,1.006948914E3
1.088803491E1,1.006994812E3
1.092802746E1,1.007023682E3
1.096803231E1,1.007031982E3
1.100802772E1,1.007088501E3
1.104802720E1,1.007127380E3
1.108802913E1,1.007093811E3
1.112802710E1,1.007109131E3
1.116805350E1,1.007101685E3
1.120803074E1,1.007093384E3
1.124802793E1,1.007080200E3
1.128802944E1,1.006968689E3
1.132802824E1,1.006898315E3
1.136802934E1,1.006888123E3
1.140802986E1,1.006916199E3
1.144802746E1,1.006914246E3
1.148802902E1,1.006906189E3
1.152803038E1,1.006927002E3
1.156803116E1,1.006916199E3
1.160803408E1,1.006932129E3
1.164803053E1,1.006957825E3
1.168802871E1,1.006962952E3
1.172804022E1,1.006983337E3
1.176803600E1,1.006993713E3
1.180802710E1,1.006988403E3
1.184802856E1,1.006957214E3
1.188802486E1,1.006808838E3
1.192802798E1,1.006870483E3
1.196803340E1,1.006920227E3
1.200803038E1,1.006914673E3
1.204802767E1,1.006901489E3
1.208803194E1,1.006901306E3
1.212802798E1,1.006893677E3
1.216802543E1,1.006909180E3
1.220802658E1,1.006942749E3
1.224802741E1,1.006922363E3
1.228802829E1,1.006929565E3
1.232802741E1,1.006924011E3
1.236802913E1,1.006950378E3
1.240802908E1,1.006952271E3
1.244802543E1,1.006796143E3
1.248802527E1,1.006884094E3
1.252803121E1,1.006983093E3
1.256802454E1,1.007011169E3
1.260802486E1,1.007026489E3
1.264802715E1,1.006982483E3
1.268802491E1,1.006932983E3
1.272802918E1,1.006927429E3
1.276802965E1,1.006942078E3
1.280803038E1,1.006934265E3
1.284802694E1,1.006892578E3
1.288802590E1,1.006889832E3
1.292802730E1,1.006923584E3
1.296802522E1,1.006866211E3
1.300802819E1,1.006613770E3
1.304802871E1,1.006738525E3
1.308803012E1,1.006816528E3
1.312803132E1,1.006852234E3
1.316802949E1,1.006836731E3
1.320802491E1,1.006854553E3
1.324802757E1,1.006844116E3
1.328802840E1,1.006853516E3
1.332802715E1,1.006928711E3
1.336802501E1,1.006926575E3
1.340802538E1,1.006956970E3
1.344802720E1,1.007027344E3
1.348802850E1,1.007029419E3
1.352802736E1,1.006938477E3
1.356803632E1,1.006834167E3
1.360803085E1,1.007090637E3
1.364802751E1,1.007070251E3
1.368803376E1,1.007122070E3
1.372802944E1,1.007059387E3
1.376803178E1,1.007027954E3
1.380802694E1,1.006999023E3
1.384802574E1,1.007032654E3
1.388802720E1,1.007045166E3
1.392803007E1,1.007055786E3
1.396802741E1,1.007016479E3
1.400802699E1,1.007034546E3
1.404802553E1,1.007112305E3
1.408802949E1,1.007067871E3
1.412802762E1,1.006918701E3
1.416802689E1,1.006883240E3
1.420802507E1,1.006900879E3
1.424802658E1,1.006882385E3
1.428802579E1,1.006902771E3
1.432802845E1,1.006910461E3
1.436803637E1,1.006884705E3
1.440802595E1,1.006904724E3
1.444802496E1,1.006936340E3
1.448802725E1,1.006951233E3
1.452803001E1,1.006958862E3
1.456803116E1,1.006990112E3
1.460802569E1,1.006987122E3
1.464802814E1,1.007013306E3
1.468802553E1,1.006989258E3
1.472803027E1,1.006864563E3
1.476802824E1,1.006770813E3
1.480803038E1,1.006775940E3
1.484803225E1,1.006783386E3
1.488802814E1,1.006788452E3
1.492802908E1,1.006844971E3
1.496802767E1,1.006793335E3
1.500802548E1,1.006774841E3
1.504803444E1,1.006785461E3
1.508802548E1,1.006784668E3
1.512803116E1,1.006800171E3
1.516802689E1,1.006803101E3
1.520802522E1,1.006818237E3
1.524803564E1,1.006823303E3
1.528803647E1,1.006846252E3
1.532802746E1,1.006854126E3
1.536803283E1,1.006838379E3
1.540802824E1,1.006762756E3
1.544802944E1,1.006807190E3
1.548803142E1,1.006794006E3
1.552803376E1,1.006863892E3
1.556803293E1,1.006840759E3
1.560802902E1,1.006889160E3
1.564802819E1,1.006867920E3
1.568803189E1,1.006922791E3
1.572802814E1,1.006943359E3
1.576802871E1,1.006982239E3
1.580803402E1,1.007005615E3
1.584802876E1,1.006990356E3
1.588803038E1,1.007023499E3
1.592802637E1,1.007031372E3
1.596802850E1,1.006976501E3
1.600802986E1,1.006882629E3
1.604803256E1,1.006864319E3
1.608802934E1,1.006871765E3
1.612802741E1,1.006884521E3
1.616803017E1,1.006897461E3
1.620803251E1,1.006891968E3
1.624802934E1,1.006925720E3
1.628803236E1,1.006912354E3
1.632802934E1,1.006961670E3
1.636803163E1,1.006948669E3
1.640802908E1,1.006951233E3
1.644803064E1,1.006945923E3
1.648802980E1,1.006974426E3
1.652803064E1,1.007018372E3
1.656802621E1,1.006994995E3
1.660802866E1,1.006867065E3
1.664802918E1,1.006841187E3
1.668803163E1,1.006807190E3
1.672802809E1,1.006807373E3
1.676802480E1,1.006835449E3
1.680803111E1,1.006804382E3
1.684802944E1,1.006832642E3
1.688802850E1,1.006817139E3
1.692802626E1,1.006814392E3
1.696802512E1,1.006822449E3
1.700803048E1,1.006845215E3
1.704803007E1,1.006840088E3
1.708802715E1,1.006852661E3
1.712802590E1,1.006899597E3
1.716802741E1,1.006945923E3
1.720802944E1,1.006870728E3
1.724803085E1,1.006849854E3
1.728803260E1,1.006815857E3
1.732803339E1,1.006789978E3
1.736803365E1,1.006794861E3
1.740803505E1,1.006830994E3
1.744803354E1,1.006841797E3
1.748803476E1,1.006817810E3
1.752803611E1,1.006786743E3
1.756804278E1,1.006792297E3
1.760803940E1,1.006833069E3
1.764803919E1,1.006838379E3
1.768803893E1,1.006809692E3
1.772803455E1,1.006838379E3
1.776803606E1,1.006830322E3
1.780804065E1,1.006845825E3
1.784803606E1,1.006871948E3
1.788803820E1,1.006923584E3
1.792803507E1,1.006903198E3
1.796804117E1,1.006856262E3
1.800804424E1,1.006941223E3
1.804803601E1,1.006917847E3
1.808803731E1,1.006878784E3
1.812803653E1,1.006943787E3
1.816803528E1,1.006946167E3
1.820803664E1,1.006938721E3
1.824803450E1,1.006961670E3
1.828803440E1,1.006998230E3
1.832805356E1,1.007003296E3
1.836803690E1,1.007016235E3
1.840803721E1,1.007021790E3
1.844803611E1,1.007013062E3
1.848804127E1,1.007036682E3
1.852804513E1,1.007075134E3
1.856803898E1,1.007026062E3
1.860804002E1,1.007067078E3
1.864803705E1,1.007067505E3
1.868803533E1,1.007041321E3
