"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.933366667E-2,1.828537323E-3,-4.720212892E-4,-1.026968239E-3
3.937566667E-2,-2.631093375E-4,8.351448923E-5,-4.221643321E-4
4.941766665E-2,7.637357339E-4,-1.174164936E-3,1.055078814E-3
5.945866666E-2,1.298764837E-3,2.005117014E-3,1.587444684E-3
6.950066666E-2,-2.879241947E-4,4.769023508E-4,-2.039910760E-4
7.954266667E-2,-2.708737738E-3,4.675816745E-4,-1.303077792E-3
8.958366668E-2,2.362117404E-3,-1.751231961E-3,6.270143203E-4
9.962566665E-2,5.349225830E-4,-1.507019624E-3,-8.260062896E-4
1.096676667E-1,-7.003971841E-4,2.322352491E-3,-8.225156926E-4
1.197086667E-1,-2.953305375E-4,1.565216109E-3,-1.305346726E-3
1.297506667E-1,9.829108603E-4,-1.222169027E-3,1.105346717E-3
1.397926667E-1,-1.759079983E-3,-3.843382001E-4,-2.143709688E-3
1.498336667E-1,-1.869887346E-3,-3.198413178E-4,-2.173248213E-4
1.598756667E-1,1.847618958E-3,-5.350243300E-4,-9.243940003E-4
1.699176667E-1,9.090970270E-4,1.390918158E-3,-1.072828658E-3
1.799586667E-1,-1.678853296E-4,-1.148939133E-3,-3.844015300E-4
1.900006667E-1,9.287561988E-4,8.089067414E-4,2.801725641E-4
2.000426667E-1,-1.477409853E-3,-2.542268485E-4,-9.829648770E-4
2.100836667E-1,-1.128777396E-3,4.406450316E-4,-2.982278820E-4
2.201256667E-1,1.611881424E-3,-3.457689658E-3,-2.282549161E-3
2.301676667E-1,-2.428893931E-4,1.025199890E-5,-2.139694057E-3
2.402096667E-1,8.234402630E-4,-7.857568562E-6,2.544878516E-4
2.502506667E-1,-3.915932029E-5,-9.259972721E-4,-1.635572407E-4
2.602926667E-1,-1.910296269E-3,2.121724188E-3,-2.068516333E-3
2.703346667E-1,2.992574591E-4,-1.385791227E-3,2.854331862E-3
2.803756667E-1,-3.311126493E-4,9.218379855E-4,-1.568113570E-3
2.904176667E-1,-3.603798570E-3,-1.477656886E-3,1.280703815E-3
3.004596667E-1,-1.961161150E-3,1.562342048E-3,-1.890322194E-3
3.105006667E-1,7.828376256E-4,-2.409085631E-3,-2.115343232E-3
3.205426667E-1,-5.684501957E-4,-1.977919601E-3,-1.748359646E-3
3.305846667E-1,5.519895349E-4,-1.058902591E-3,1.118083717E-3
3.406256667E-1,-1.731404802E-3,-2.282625064E-4,1.079468057E-4
3.506676667E-1,1.314962399E-3,-2.660434693E-3,1.582225552E-3
3.607096667E-1,1.689402852E-3,-1.403689384E-3,-1.099044923E-3
3.707506667E-1,-1.807837514E-3,1.028216444E-3,1.426559640E-3
3.807926667E-1,1.330165192E-3,4.756106064E-4,-2.007586649E-3
3.908346667E-1,-1.671167091E-3,-2.591637895E-4,-8.433463518E-4
4.008756667E-1,6.479136646E-4,7.211463526E-4,1.777096186E-4
4.109176667E-1,3.877650481E-3,1.430585049E-3,-1.376017113E-3
4.209596667E-1,-9.152479470E-5,1.641773619E-3,1.403790200E-3
4.310006667E-1,-1.263364684E-3,1.318241470E-3,5.267281085E-5
4.410426667E-1,-1.694530249E-3,-7.307948545E-4,-1.076507382E-3
4.510846667E-1,-8.476476651E-4,-8.964762092E-4,1.398951514E-3
4.611256667E-1,6.431899965E-4,1.017271541E-3,-1.808356028E-4
4.711676667E-1,-2.923994092E-3,8.151121438E-4,-2.230443060E-4
4.812096667E-1,-5.183606409E-4,1.361592673E-3,-1.721338835E-3
4.912506667E-1,4.703758750E-4,7.001413032E-4,-4.976608325E-4
5.012926667E-1,-3.437523264E-4,1.101213507E-3,-2.409011591E-3
5.113346667E-1,1.868367312E-3,-1.329121180E-3,8.377288468E-4
5.213766667E-1,-5.439240485E-4,-5.932897329E-4,-9.132996202E-4
5.314176667E-1,7.837060839E-4,1.513087191E-3,-8.790870197E-5
5.414596667E-1,1.643108204E-3,9.189359844E-4,-1.902853022E-3
5.515016667E-1,-1.749416580E-3,-3.206077963E-4,9.567942470E-5
