"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.137125009E-3,9.056091309E-3,2.142666626E1,-4.627601624E1,5.099580167E1
1.709312503E-2,-3.408050537E-2,2.130907440E1,-4.636941528E1,5.103136768E1
2.704912500E-2,9.773254395E-3,2.127679062E1,-4.626870728E1,5.092637026E1
3.700612503E-2,4.383087158E-2,2.121155930E1,-4.620576477E1,5.084195971E1
4.696212499E-2,-6.807708740E-2,2.135066605E1,-4.642413330E1,5.109849047E1
5.691912503E-2,-7.208251953E-2,2.134613419E1,-4.638966370E1,5.106528702E1
6.687512505E-2,-1.242752075E-1,2.122515106E1,-4.643544006E1,5.105656251E1
7.683112501E-2,-1.759643555E-1,2.114915848E1,-4.633795166E1,5.093646662E1
8.678812505E-2,-8.285522461E-2,2.109120178E1,-4.641996765E1,5.098685178E1
9.674412501E-2,-1.015930176E-1,2.114302063E1,-4.636424255E1,5.095763564E1
1.067001250E-1,-4.121398926E-2,2.139634705E1,-4.653652954E1,5.121966368E1
1.166571250E-1,1.022186279E-1,2.124705887E1,-4.655567932E1,5.117498643E1
1.266131250E-1,3.250122070E-3,2.113908768E1,-4.658322144E1,5.115523001E1
1.365691250E-1,-2.859725952E-1,2.128093719E1,-4.636584473E1,5.101716991E1
1.465261250E-1,-1.291427612E-1,2.117487335E1,-4.650865173E1,5.110231526E1
1.564821251E-1,-1.339721680E-2,2.113927078E1,-4.616711426E1,5.077668153E1
1.664391250E-1,4.773712158E-2,2.140357590E1,-4.667425537E1,5.134784761E1
1.763951250E-1,8.387756348E-2,2.133462143E1,-4.680830383E1,5.144113543E1
1.863511250E-1,2.238464355E-2,2.133151245E1,-4.654112244E1,5.119677726E1
1.963081250E-1,-9.278106689E-2,2.137971878E1,-4.633575439E1,5.103041366E1
2.062641250E-1,-4.523468018E-2,2.124938965E1,-4.613916016E1,5.079725097E1
2.162201250E-1,-1.142578125E-1,2.155526733E1,-4.621212769E1,5.099218911E1
2.261771250E-1,2.201080322E-2,2.123796082E1,-4.613966370E1,5.079291319E1
2.361331250E-1,1.791000366E-1,2.127241135E1,-4.657360840E1,5.120203668E1
2.460891250E-1,4.248809814E-2,2.131595612E1,-4.652268982E1,5.117355233E1
2.560461250E-1,2.682113647E-1,2.112246323E1,-4.630723572E1,5.089784347E1
2.660021250E-1,2.109756470E-1,2.103565216E1,-4.618281555E1,5.074835588E1
2.759580417E-1,1.119232178E-1,2.126432419E1,-4.607699585E1,5.074715319E1
2.859150417E-1,-2.815246582E-2,2.117518616E1,-4.620700073E1,5.082790787E1
2.958710417E-1,-5.365753174E-2,2.101527786E1,-4.648722839E1,5.101673438E1
3.058280417E-1,3.802490234E-2,2.130511475E1,-4.620684814E1,5.088204178E1
3.157840417E-1,-1.391677856E-1,2.111411667E1,-4.613471985E1,5.073694577E1
3.257400417E-1,-1.506805420E-1,2.113551331E1,-4.628427124E1,5.088188667E1
3.356970417E-1,-7.179260254E-2,2.128883743E1,-4.639247131E1,5.104391392E1
3.456530417E-1,-4.840850830E-2,2.137480927E1,-4.673133850E1,5.138776910E1
3.556090417E-1,1.878814697E-1,2.118861008E1,-4.628939819E1,5.090875054E1
3.655660417E-1,-1.396484375E-1,2.096640778E1,-4.617117310E1,5.070884520E1
3.755220417E-1,-1.417541504E-2,2.102791214E1,-4.610253906E1,5.067166267E1
3.854780417E-1,-1.352691650E-2,2.114007187E1,-4.613220215E1,5.074527462E1
3.954350417E-1,-2.140960693E-1,2.125303268E1,-4.618690491E1,5.084257488E1
4.053910417E-1,-2.858963013E-1,2.119678497E1,-4.637052917E1,5.098638451E1
4.153470417E-1,-8.168029785E-2,2.123189545E1,-4.598078918E1,5.064615514E1
4.253040417E-1,-1.223602295E-1,2.138165665E1,-4.627261353E1,5.097396370E1
4.352600417E-1,-9.191131592E-2,2.144568634E1,-4.630230713E1,5.102773320E1
4.452170417E-1,-9.191131592E-2,2.144568634E1,-4.630230713E1,5.102773320E1
4.551730417E-1,-1.795425415E-1,2.154046631E1,-4.594529724E1,5.074440130E1
4.651290417E-1,-2.276153564E-1,2.151408386E1,-4.594158936E1,5.073004283E1
4.750860417E-1,-2.059326172E-1,2.152845001E1,-4.609385681E1,5.087396391E1
4.850420417E-1,-1.859054565E-1,2.137650299E1,-4.604055786E1,5.076142639E1
4.949980417E-1,-3.883438110E-1,2.136060333E1,-4.620195007E1,5.090232191E1
5.049550417E-1,-1.660156250E-1,2.108906174E1,-4.638211060E1,5.095170527E1
5.149110417E-1,-2.368240356E-1,2.116974640E1,-4.591862488E1,5.056416081E1
5.248670417E-1,-2.427825928E-1,2.114516830E1,-4.604640198E1,5.066999330E1
5.348240417E-1,-2.599487305E-1,2.106786346E1,-4.602355957E1,5.061709671E1
5.447800417E-1,-2.781829834E-1,2.124445724E1,-4.610626221E1,5.076604933E1
5.547370417E-1,-2.704925537E-1,2.110929871E1,-4.607890320E1,5.068472135E1
5.646930417E-1,-4.209899902E-2,2.134910202E1,-4.606471252E1,5.077148481E1
5.746490417E-1,-2.393569946E-1,2.140609741E1,-4.634378052E1,5.104923399E1
5.846060417E-1,-1.130828857E-1,2.133255768E1,-4.615145874E1,5.084336681E1
5.945620417E-1,-1.097869873E-2,2.138432693E1,-4.614602661E1,5.086005634E1
6.045180417E-1,-2.834167480E-1,2.142144775E1,-4.635115051E1,5.106258809E1
