"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.265749997E-3,-2.140548706E-2,9.205856323E-2,9.793085175E0
1.864725000E-2,-2.439926147E-2,9.310638428E-2,9.727671204E0
2.860425000E-2,-3.128494263E-2,8.681945801E-2,9.773925018E0
3.856025000E-2,-2.933898926E-2,9.624984741E-2,9.777966614E0
4.851725000E-2,-2.395019531E-2,9.310638428E-2,9.743538208E0
5.847425000E-2,-2.395019531E-2,9.160949707E-2,9.754465485E0
6.843025000E-2,-1.811233521E-2,9.250762939E-2,9.776918793E0
7.838725000E-2,-1.916015625E-2,9.520202637E-2,9.752968597E0
8.834425000E-2,-2.260299683E-2,9.430389404E-2,9.733958130E0
9.830025000E-2,-1.916015625E-2,9.415420532E-2,9.780361633E0
1.082572500E-1,-2.110610962E-2,9.205856323E-2,9.765243073E0
1.182142500E-1,-1.975891113E-2,8.517288208E-2,9.723180542E0
1.281712500E-1,-2.080673218E-2,9.011260986E-2,9.763596497E0
1.381272500E-1,-1.796264648E-2,9.355545044E-2,9.770781555E0
1.480842500E-1,-2.514770508E-2,9.086105347E-2,9.731862488E0
1.580412500E-1,-2.709365845E-2,9.565109253E-2,9.748477936E0
1.679972500E-1,-2.933898926E-2,8.681945801E-2,9.768386536E0
1.779542500E-1,-1.960922241E-2,9.879455566E-2,9.747280426E0
1.879112500E-1,-3.098556519E-2,9.804611206E-2,9.748328247E0
1.978672500E-1,-2.409988403E-2,8.966354370E-2,9.771380310E0
2.078242500E-1,-2.769241333E-2,8.637039185E-2,9.762548676E0
2.177812500E-1,-2.859054565E-2,8.981323242E-2,9.740843811E0
2.277382500E-1,-2.170486450E-2,9.714797974E-2,9.767488403E0
2.376942500E-1,-2.409988403E-2,9.250762939E-2,9.765243073E0
2.476512500E-1,-2.365081787E-2,9.175918579E-2,9.743388519E0
2.576082500E-1,-2.020797729E-2,9.086105347E-2,9.762548676E0
2.675642500E-1,-2.469863892E-2,9.624984741E-2,9.776769104E0
2.775212500E-1,-1.886077881E-2,9.250762939E-2,9.754315796E0
2.874782500E-1,-2.170486450E-2,9.325607300E-2,9.747280426E0
2.974342500E-1,-2.215393066E-2,9.295669556E-2,9.771230621E0
3.073912500E-1,-1.422042847E-2,9.295669556E-2,9.763895874E0
3.173482500E-1,-2.559677124E-2,9.879455566E-2,9.746981049E0
3.273042500E-1,-1.945953369E-2,8.861572266E-2,9.758357391E0
3.372612500E-1,-2.409988403E-2,9.295669556E-2,9.760453033E0
3.472182500E-1,-2.305206299E-2,9.490264893E-2,9.746831360E0
3.571742500E-1,-2.679428101E-2,8.741821289E-2,9.754315796E0
3.671312500E-1,-2.035766602E-2,8.831634521E-2,9.765692139E0
3.770882500E-1,-2.454895020E-2,9.056167603E-2,9.757608948E0
3.870452500E-1,-2.454895020E-2,8.921447754E-2,9.753118286E0
3.970012500E-1,-1.990859985E-2,9.834548950E-2,9.760752411E0
4.069582500E-1,-2.395019531E-2,9.834548950E-2,9.761500854E0
4.169152500E-1,-3.113525391E-2,9.490264893E-2,9.746831360E0
4.268712500E-1,-2.619552612E-2,1.040336609E-1,9.761949921E0
4.368282500E-1,-2.589614868E-2,9.565109253E-2,9.756860504E0
4.467852500E-1,-2.230361938E-2,9.325607300E-2,9.761949921E0
4.567412500E-1,-2.020797729E-2,9.131011963E-2,9.761949921E0
4.666982500E-1,-3.143463135E-2,9.235794067E-2,9.754615173E0
4.766552500E-1,-3.023712158E-2,9.340576172E-2,9.758207703E0
4.866112500E-1,-2.903961182E-2,9.175918579E-2,9.755213928E0
4.965682500E-1,-2.649490356E-2,9.624984741E-2,9.766889648E0
5.065252500E-1,-1.616638184E-2,9.580078125E-2,9.764045563E0
5.164822500E-1,-2.484832764E-2,9.056167603E-2,9.746681671E0
5.264382500E-1,-2.439926147E-2,9.684860229E-2,9.754315796E0
5.363952500E-1,-2.559677124E-2,9.460327148E-2,9.764794006E0
5.463522500E-1,-2.095642090E-2,9.430389404E-2,9.754166107E0
5.563082500E-1,-1.571731567E-2,9.250762939E-2,9.755812683E0
5.662652500E-1,-2.454895020E-2,9.729766846E-2,9.759704590E0
5.762222500E-1,-2.619552612E-2,9.175918579E-2,9.765841827E0
5.861782500E-1,-1.960922241E-2,9.595046997E-2,9.754166107E0
5.961352500E-1,-3.023712158E-2,9.340576172E-2,9.755962372E0
6.060922500E-1,-2.350112915E-2,9.490264893E-2,9.748927002E0
6.160482500E-1,-2.469863892E-2,1.004411316E-1,9.763746185E0
6.260052500E-1,-1.407073975E-2,9.819580078E-2,9.761500854E0
6.359622500E-1,-2.664459229E-2,1.032852173E-1,9.757309570E0
6.459192500E-1,-2.185455322E-2,1.004411316E-1,9.757608948E0
6.558752500E-1,-2.020797729E-2,9.056167603E-2,9.759704590E0
6.658322500E-1,-2.784210205E-2,9.220825195E-2,9.757010193E0
6.757892500E-1,-3.412902832E-2,9.370513916E-2,9.755064240E0
6.857452500E-1,-1.841171265E-2,8.831634521E-2,9.768985291E0
6.957022500E-1,-2.409988403E-2,8.951385498E-2,9.758507080E0
7.056592500E-1,-1.601669312E-2,9.086105347E-2,9.763446808E0
7.156152500E-1,-1.691482544E-2,9.654922485E-2,9.762848053E0
7.255722500E-1,-2.110610962E-2,9.355545044E-2,9.770631866E0
7.355292500E-1,-1.811233521E-2,9.639953613E-2,9.767638092E0
7.454852500E-1,-2.679428101E-2,9.400451660E-2,9.747430115E0
7.554422500E-1,-3.083587646E-2,8.951385498E-2,9.758357391E0
7.653992500E-1,-2.380050659E-2,9.250762939E-2,9.774074707E0
7.753552500E-1,-2.424957275E-2,9.385482788E-2,9.752369843E0
7.853122500E-1,-2.918930054E-2,9.924362183E-2,9.755812683E0
7.952692500E-1,-1.975891113E-2,9.026229858E-2,9.766889648E0
8.052262500E-1,-1.886077881E-2,9.250762939E-2,9.761051788E0
8.151822500E-1,-2.469863892E-2,9.849517822E-2,9.761201477E0
8.251392500E-1,-2.769241333E-2,9.505233765E-2,9.760153656E0
8.350962500E-1,-2.454895020E-2,1.011895752E-1,9.743837585E0
8.450522500E-1,-2.095642090E-2,8.801696777E-2,9.749825134E0
8.550092500E-1,-1.302291870E-2,8.068222046E-2,9.742191010E0
