"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.864725000E-2,-3.546575928E1,9.306571007E0,-1.512863159E0
2.860425000E-2,-3.553005981E1,9.211371422E0,-1.158462524E0
3.856025000E-2,-3.550711060E1,9.211993217E0,-1.036895752E0
4.851725000E-2,-3.549806213E1,9.272284508E0,-7.769622803E-1
5.847425000E-2,-3.571240234E1,9.194945335E0,-1.014053345E0
6.843025000E-2,-3.556204224E1,9.210429192E0,-7.469635010E-1
7.838725000E-2,-3.565824890E1,9.317523003E0,-9.390411377E-1
8.834425000E-2,-3.568196106E1,9.120055199E0,-5.280151367E-1
9.830025000E-2,-3.554502869E1,9.225977898E0,-7.483825684E-1
1.082572500E-1,-3.552487183E1,9.181132317E0,-8.487396240E-1
1.182142500E-1,-3.556892395E1,9.273348808E0,-1.162109375E0
1.281712500E-1,-3.552389526E1,9.048045158E0,-9.837951660E-1
1.381272500E-1,-3.549702454E1,9.132149696E0,-1.119537354E0
1.480842500E-1,-3.549537659E1,9.026263237E0,-1.342742920E0
1.580412500E-1,-3.527510071E1,9.108180046E0,-1.626419067E0
1.679972500E-1,-3.548208618E1,9.108340263E0,-1.357254028E0
1.779542500E-1,-3.549208069E1,9.190594673E0,-1.205352783E0
1.879112500E-1,-3.549960327E1,9.182545662E0,-8.527526855E-1
1.978672500E-1,-3.517538452E1,9.169905663E0,-9.925079346E-1
2.078242500E-1,-3.534773254E1,9.077692986E0,-1.234817505E0
2.177812500E-1,-3.518095398E1,9.058968544E0,-1.434326172E0
2.277382500E-1,-3.531790161E1,9.009047508E0,-1.008392334E0
2.376942500E-1,-3.537292480E1,9.256899834E0,-1.106933594E0
2.476512500E-1,-3.542750549E1,9.086110115E0,-1.022094727E0
2.576082500E-1,-3.542144775E1,9.113127708E0,-1.048980713E0
2.675642500E-1,-3.529673767E1,9.167122841E0,-1.023864746E0
2.775212500E-1,-3.532901001E1,9.350554466E0,-9.519805908E-1
2.874782500E-1,-3.533464050E1,9.227559090E0,-1.536987305E0
2.974342500E-1,-3.515403748E1,9.218020439E0,-1.420181274E0
3.073912500E-1,-3.522343445E1,9.066792488E0,-1.577468872E0
