"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.060320833E-2,1.250137342E-3,2.811983693E-3,-6.594490260E-4
2.055920834E-2,-1.478371443E-3,-8.551806677E-4,-3.202354535E-3
3.051420834E-2,2.185946796E-4,-1.535351970E-3,-1.460647210E-3
4.046920834E-2,-1.015288755E-3,-4.042546265E-3,1.123175025E-4
5.042520833E-2,-9.111592080E-4,-4.391686991E-3,-5.135256797E-4
6.038020834E-2,-1.364977797E-3,-2.165989019E-3,-1.232082490E-3
7.033520834E-2,-4.483179655E-4,-2.458670409E-3,-1.200923696E-3
8.029120834E-2,7.443574723E-4,-4.381333943E-3,-2.871006727E-4
9.024620834E-2,2.870891476E-3,5.694825668E-4,1.981379697E-3
1.002012083E-1,1.585633028E-3,-1.406910014E-4,-1.925083809E-3
1.101572083E-1,2.761418698E-3,-3.444228205E-4,-1.342384145E-3
1.201122083E-1,-1.051931642E-3,-4.287158605E-3,1.411133213E-3
1.300682083E-1,4.759239964E-4,-4.887701478E-3,-9.460309520E-4
1.400232083E-1,3.958023153E-3,-1.834455761E-4,1.492615091E-3
1.499782083E-1,-2.163785277E-3,4.306793562E-4,4.001865163E-4
1.599342083E-1,2.450205153E-3,-1.176916878E-3,-1.919539645E-4
1.698892083E-1,-9.107040241E-4,-5.388235440E-4,-2.896832302E-5
1.798442083E-1,9.505574126E-4,-1.927986159E-3,5.292473361E-4
1.898002083E-1,3.017436713E-3,-9.016039548E-4,-8.428134024E-4
1.997552083E-1,-6.002269220E-4,-3.557232209E-3,1.660696929E-3
2.097102083E-1,1.529769273E-3,-2.024849411E-3,-1.651476603E-3
2.196662083E-1,-2.094980795E-3,4.688077024E-5,-1.881389413E-3
2.296212083E-1,4.179778043E-4,-2.238644054E-3,1.306148246E-3
2.395774583E-1,-3.180892440E-3,-1.330324914E-3,-3.562155180E-4
2.495324583E-1,-5.110737402E-4,-1.664285315E-3,1.558597200E-3
2.594874583E-1,-5.600790028E-4,-8.524175500E-4,2.613432473E-3
2.694434583E-1,-2.920172410E-3,-2.145648468E-3,5.295090377E-4
2.793984583E-1,1.496150857E-3,-1.095167827E-3,-8.531613275E-4
2.893534583E-1,1.366070937E-4,8.675818099E-4,-4.654051736E-4
2.993094583E-1,1.717303181E-3,-2.243512776E-3,-9.064800106E-4
3.092644583E-1,1.033936162E-3,1.127516385E-3,-2.002104651E-3
3.192194583E-1,-2.899372485E-4,-3.216807090E-4,1.065493561E-4
3.291754583E-1,-5.370785948E-4,-1.073224819E-3,6.040276494E-4
3.391304583E-1,2.166448161E-3,-1.186817884E-3,-1.620827243E-5
3.490864583E-1,2.122207079E-4,5.706021911E-4,2.161724959E-3
3.590414583E-1,1.863294747E-4,1.945305266E-3,-4.828991368E-4
3.689964583E-1,-2.066704910E-3,-5.490113981E-4,1.072386978E-3
3.789524583E-1,4.342698958E-4,-2.274207072E-3,1.229247078E-3
3.889074583E-1,-9.143818170E-5,-2.163826430E-4,1.001280500E-3
3.988624583E-1,4.424216691E-3,-2.241829410E-3,1.135286875E-4
4.088184583E-1,-8.999747224E-4,-1.927576493E-3,-1.221611165E-4
4.187734583E-1,-6.912655663E-4,6.541665643E-4,-1.137815416E-3
4.287284583E-1,4.885925911E-3,7.284687599E-4,5.815213080E-4
4.386844583E-1,1.024440862E-3,1.093192725E-3,1.041089650E-3
4.486394583E-1,1.645060256E-4,7.504438981E-4,-1.693172380E-4
4.585954583E-1,-6.733301561E-4,1.145231538E-3,9.731971659E-4
4.685504583E-1,-2.064831788E-3,2.510900609E-3,9.755941574E-4
4.785054583E-1,1.223324216E-3,9.740206879E-4,-1.873369329E-3
4.884614583E-1,7.287751650E-4,1.512511983E-3,-1.421617344E-5
4.984164583E-1,1.475192839E-3,-7.628169842E-4,1.309363171E-3
5.083714583E-1,7.357122377E-5,-1.419248292E-6,7.058908232E-4
5.183274583E-1,3.347110469E-4,2.241046896E-4,1.117973588E-3
5.282824583E-1,1.449243864E-3,-1.306413906E-3,1.728176139E-4
5.382374583E-1,-1.150954282E-3,5.447570584E-5,-1.218433026E-3
5.481934583E-1,-2.212489955E-3,1.576205948E-3,-1.359314658E-3
5.581484583E-1,3.299077507E-4,1.821196638E-3,3.222632222E-4
5.681034583E-1,-7.731735241E-4,-1.226445893E-4,4.791235551E-4
5.780594583E-1,-6.547537632E-4,-1.507296984E-4,1.563816331E-4
5.880144583E-1,-9.985677898E-4,9.294951451E-5,6.780948024E-4
5.979704583E-1,8.748944383E-4,-2.916111378E-3,6.534024142E-4
6.079254583E-1,-2.012504963E-3,-1.096905908E-3,1.652620500E-3
6.178804583E-1,2.473667264E-4,-6.260558148E-4,1.728485338E-3
