"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.060320833E-2,-4.872477722E1,-3.609780312E0,-9.223617554E0
2.055920834E-2,-4.865063477E1,-3.593110085E0,-9.362686157E0
3.051420834E-2,-4.873956299E1,-3.565600395E0,-9.433059692E0
4.046920834E-2,-4.861058044E1,-3.708909988E0,-9.671813965E0
5.042520833E-2,-4.855049133E1,-3.919778824E0,-9.441192627E0
6.038020834E-2,-4.854872131E1,-3.838541031E0,-9.251281738E0
7.033520834E-2,-4.904986572E1,-3.788043022E0,-9.635879517E0
8.029120834E-2,-4.881379700E1,-3.806614876E0,-9.359130859E0
9.024620834E-2,-4.882949829E1,-3.771937370E0,-9.314849854E0
1.002012083E-1,-4.883921814E1,-3.850826263E0,-9.266311646E0
1.101572083E-1,-4.874481201E1,-3.611992836E0,-9.093048096E0
1.201122083E-1,-4.868432617E1,-3.716677666E0,-9.271469116E0
1.300682083E-1,-4.863513184E1,-3.891533852E0,-9.493713379E0
1.400232083E-1,-4.862866211E1,-3.699008942E0,-9.658325195E0
1.499782083E-1,-4.865061951E1,-3.689701080E0,-9.714828491E0
1.599342083E-1,-4.874510193E1,-3.776552200E0,-9.319717407E0
1.698892083E-1,-4.840533447E1,-3.778390884E0,-8.952957153E0
1.798442083E-1,-4.849850464E1,-3.793650627E0,-9.529495239E0
1.898002083E-1,-4.864216614E1,-3.654186249E0,-9.356262207E0
1.997552083E-1,-4.873849487E1,-3.823360443E0,-9.143875122E0
2.097102083E-1,-4.876072693E1,-3.703370094E0,-9.285385132E0
2.196662083E-1,-4.855094910E1,-3.634365082E0,-9.244644165E0
2.296212083E-1,-4.871040344E1,-3.756054878E0,-8.983474731E0
2.395774583E-1,-4.882403564E1,-3.713818550E0,-9.103347778E0
2.495324583E-1,-4.850082397E1,-3.802213669E0,-9.220932007E0
2.594874583E-1,-4.845512390E1,-3.805648804E0,-9.296524048E0
2.694434583E-1,-4.839533997E1,-3.856413841E0,-9.460723877E0
2.793984583E-1,-4.837107849E1,-3.844937325E0,-9.126495361E0
2.893534583E-1,-4.846699524E1,-3.847565651E0,-9.327957153E0
