"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.840413000E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
2.080709900E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
2.321006700E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
2.561303600E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
2.801600500E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
3.041897400E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
3.282194200E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
3.538282800E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
3.794371300E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
4.050459900E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
4.301678600E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
4.545579700E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
4.789558800E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
5.045647400E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
5.301735900E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
5.557824500E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
5.813913000E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
6.070001500E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
6.326090100E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
6.582178600E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
6.838267200E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
7.094355700E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
7.350444200E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
7.606532800E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
7.862621300E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
8.118709900E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
8.374798400E-2,-5.627591163E-2,-7.301360369E-2,2.177732810E-2
8.630887000E-2,2.367101144E-3,-1.925751008E-2,3.032943234E-2
8.886975500E-2,-3.741546068E-3,-1.437059231E-2,2.910770476E-2
9.143064000E-2,-8.628463373E-3,1.511890441E-3,3.032943234E-2
9.399152600E-2,-1.473711058E-2,3.955349326E-3,2.910770476E-2
9.655241100E-2,-1.962403022E-2,1.861610264E-2,3.399461880E-2
9.911329700E-2,-2.573267557E-2,2.228129096E-2,3.521635011E-2
1.015528800E-1,-2.328921668E-2,3.327685595E-2,3.643808141E-2
1.039918900E-1,-2.084575780E-2,3.938550130E-2,3.765981272E-2
1.064316820E-1,-1.962403022E-2,4.305069149E-2,4.010326788E-2
1.088706920E-1,-1.473711058E-2,4.182896018E-2,4.132499918E-2
1.113089220E-1,-7.406734396E-3,3.938550130E-2,3.888153657E-2
1.137479320E-1,-3.741546068E-3,2.961166576E-2,3.643808141E-2
1.161877240E-1,8.475748822E-3,3.083339706E-2,3.643808141E-2
1.186267340E-1,1.702785492E-2,3.327685595E-2,3.765981272E-2
1.210649110E-1,2.680169046E-2,2.472474799E-2,3.521635011E-2
1.235039220E-1,3.291033581E-2,1.861610264E-2,3.277289495E-2
1.259437130E-1,3.901898116E-2,1.983783208E-2,3.277289495E-2
1.283827240E-1,4.268417135E-2,1.617264375E-2,3.032943234E-2
1.308209530E-1,4.268417135E-2,8.842267096E-3,2.666424587E-2
1.332599630E-1,4.634936154E-2,2.733619884E-3,2.544251457E-2
