"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
7.602449500E-2,3.053289795E1,-4.171094894E1,4.600041199E1
8.613621300E-2,3.071444702E1,-4.124528885E1,4.676564026E1
9.624850500E-2,3.055215454E1,-4.151624298E1,4.707029724E1
1.063602760E-1,3.065768433E1,-4.175952911E1,4.715568542E1
1.164717340E-1,3.051007080E1,-4.182196045E1,4.725993347E1
1.265832970E-1,3.032412720E1,-4.207317352E1,4.716795349E1
1.366949110E-1,3.029840088E1,-4.182576370E1,4.717814636E1
1.468066300E-1,3.024682617E1,-4.191286850E1,4.706632996E1
1.569185570E-1,3.019094849E1,-4.189720917E1,4.717048645E1
1.670304320E-1,3.006301880E1,-4.215412903E1,4.701502991E1
1.771419420E-1,3.005880737E1,-4.221049500E1,4.684086609E1
1.872529840E-1,2.983554077E1,-4.202427673E1,4.674925232E1
1.973646510E-1,2.988665771E1,-4.219880295E1,4.685664368E1
2.074762650E-1,2.996969604E1,-4.207958984E1,4.696089172E1
2.175878800E-1,3.016748047E1,-4.238226318E1,4.693128967E1
2.276994950E-1,3.028747559E1,-4.230063629E1,4.705378723E1
2.378102760E-1,3.034249878E1,-4.235645676E1,4.703746033E1
2.479212130E-1,3.042050171E1,-4.231313705E1,4.696775818E1
2.580324630E-1,3.031500244E1,-4.214557266E1,4.720951843E1
2.681436610E-1,3.061965942E1,-4.221036911E1,4.723054504E1
2.782553800E-1,3.074136353E1,-4.202779007E1,4.708970642E1
2.883663700E-1,3.084097290E1,-4.192482376E1,4.700202942E1
2.984773070E-1,3.062796021E1,-4.197362137E1,4.703559875E1
3.085891300E-1,3.067236328E1,-4.183524704E1,4.703437805E1
3.187004840E-1,3.060687256E1,-4.201329803E1,4.701838684E1
3.288106400E-1,3.066439819E1,-4.205180359E1,4.717668152E1
3.389208490E-1,3.067620850E1,-4.222691727E1,4.719633484E1
3.490309530E-1,3.047555542E1,-4.236895752E1,4.695146179E1
3.591420470E-1,3.036535645E1,-4.225709534E1,4.696662903E1
3.692519950E-1,3.032397461E1,-4.237882233E1,4.719490051E1
3.793634010E-1,3.026965332E1,-4.228262329E1,4.710588074E1
