"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.537886400E-2,-5.700899959E-1,1.077368379E0,9.489934921E0
1.761525300E-2,-5.509474277E-1,1.086939692E0,9.509077072E0
1.985164200E-2,-5.318048596E-1,1.091127157E0,9.523433685E0
2.208803100E-2,-5.461617708E-1,1.076770186E0,9.537791252E0
2.431801500E-2,-5.365904570E-1,1.076770186E0,9.528220177E0
2.655458800E-2,-5.467599630E-1,1.071984529E0,9.556933403E0
2.879427300E-2,-5.222335458E-1,1.081555843E0,9.552147865E0
3.102846400E-2,-5.365904570E-1,1.095912814E0,9.528220177E0
3.326393800E-2,-5.318048596E-1,1.095912814E0,9.537791252E0
3.550136500E-2,-5.365904570E-1,1.091127157E0,9.537791252E0
3.773781500E-2,-5.174478889E-1,1.095912814E0,9.547362328E0
3.997377700E-2,-4.983053207E-1,1.080957651E0,9.567103386E0
4.220949500E-2,-4.791627228E-1,1.089930773E0,9.557532310E0
4.444606700E-2,-4.552344978E-1,1.080359459E0,9.562317848E0
4.668233400E-2,-4.366901219E-1,1.041476011E0,9.586843491E0
4.891988300E-2,-4.366901219E-1,1.074975610E0,9.600603104E0
5.115547900E-2,-4.127618968E-1,1.064806104E0,9.639486313E0
5.339205100E-2,-4.037888348E-1,1.040877819E0,9.663414001E0
5.563045400E-2,-3.804588020E-1,1.016351461E0,9.692128181E0
5.786611100E-2,-3.858426511E-1,1.011565804E0,9.735198975E0
6.010042500E-2,-3.619144261E-1,1.006181955E0,9.759127617E0
6.233638600E-2,-3.529413342E-1,9.816554785E-1,9.797411919E0
6.457314200E-2,-3.678964674E-1,1.000798106E0,9.835099220E0
6.681117900E-2,-3.822534084E-1,9.822536707E-1,9.863813400E0
6.904634800E-2,-3.924229145E-1,9.870393276E-1,9.887741089E0
7.128603300E-2,-3.822534084E-1,9.960124493E-1,9.897313118E0
7.353346900E-2,-3.924229145E-1,9.918249846E-1,9.906285286E0
7.577016300E-2,-3.732803464E-1,1.000798106E0,9.911669731E0
7.800661300E-2,-3.780659735E-1,9.960124493E-1,9.939785004E0
8.024013400E-2,-3.643072546E-1,9.625129104E-1,9.935597420E0
8.247695100E-2,-3.637090325E-1,9.816554785E-1,9.911669731E0
8.471395000E-2,-3.684946895E-1,9.960124493E-1,9.911669731E0
8.694930200E-2,-3.924229145E-1,9.816554785E-1,9.920642853E0
8.918556900E-2,-3.930211067E-1,9.720842242E-1,9.934999466E0
9.142171400E-2,-4.163511395E-1,9.822536707E-1,9.906285286E0
9.365859100E-2,-4.163511395E-1,9.726824164E-1,9.877572060E0
9.589510300E-2,-4.211367965E-1,9.780662656E-1,9.877572060E0
9.812837900E-2,-4.444667995E-1,9.780662656E-1,9.853643417E0
1.003565890E-1,-4.588237405E-1,9.738788009E-1,9.829715729E0
1.026052470E-1,-4.971089065E-1,9.888339639E-1,9.833903313E0
1.048404760E-1,-5.024927258E-1,9.649057388E-1,9.838688850E0
1.070801000E-1,-5.114658475E-1,9.840483069E-1,9.824331284E0
1.093139870E-1,-5.204389095E-1,9.942178130E-1,9.781260490E0
1.115500710E-1,-5.347958803E-1,9.942178130E-1,9.786046028E0
1.137876810E-1,-5.443671346E-1,9.990034699E-1,9.771689415E0
1.160223000E-1,-5.389832854E-1,1.009172916E0,9.738189697E0
1.182592380E-1,-5.629115105E-1,1.028315544E0,9.723833084E0
