"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.751857700E-2,3.118319893E1,1.281000018E0,-2.790139961E1
4.751784500E-2,3.067079926E1,1.378600001E0,-2.731579971E1
5.751735600E-2,3.037800026E1,1.659199953E0,-2.734020042E1
6.751735600E-2,3.065859985E1,1.756799936E0,-2.713279915E1
7.752931900E-2,3.085379982E1,1.390799999E0,-2.710840034E1
8.751735600E-2,3.047559929E1,1.476199985E0,-2.732799911E1
9.752931900E-2,3.056099892E1,1.573799968E0,-2.713279915E1
1.075173560E-1,3.037800026E1,1.463999987E0,-2.743779945E1
1.175293190E-1,3.039019966E1,1.646999955E0,-2.784039879E1
1.275273660E-1,3.087819862E1,1.561599970E0,-2.762080002E1
1.375290750E-1,3.039019966E1,1.659199953E0,-2.764519882E1
1.475256570E-1,3.125639915E1,1.671399951E0,-2.719379997E1
1.575293190E-1,3.079279900E1,1.463999987E0,-2.812100029E1
1.675259010E-1,3.019499969E1,1.549399972E0,-2.785260010E1
1.775249250E-1,3.060980034E1,1.268800020E0,-2.832839966E1
1.875290750E-1,2.992659950E1,1.439599991E0,-2.865779877E1
1.975288310E-1,3.030480003E1,2.122799873E0,-2.796239853E1
2.075295630E-1,3.059759903E1,1.463999987E0,-2.802339935E1
2.175290750E-1,3.078059959E1,1.659199953E0,-2.782819939E1
2.275288310E-1,3.040239906E1,1.927599907E0,-2.814539909E1
2.375271220E-1,3.010960007E1,1.634799957E0,-2.825519943E1
2.475290750E-1,3.040239906E1,1.829999924E0,-2.814539909E1
2.575173560E-1,3.070739937E1,1.549399972E0,-2.842599869E1
2.675290750E-1,3.031699944E1,1.817799926E0,-2.865779877E1
2.775173560E-1,3.062199974E1,1.158999920E0,-2.881639862E1
2.875290750E-1,3.030480003E1,1.829999924E0,-2.825519943E1
2.975195540E-1,3.032919884E1,1.342000008E0,-2.874320030E1
3.075290750E-1,3.082939911E1,1.915399909E0,-2.903599930E1
3.175171120E-1,3.031699944E1,1.915399909E0,-2.856019974E1
3.275288310E-1,3.021939850E1,2.013000011E0,-2.856019974E1
3.375171120E-1,3.021939850E1,1.915399909E0,-2.856019974E1
3.475244360E-1,3.039019966E1,1.646999955E0,-2.774279976E1
3.575290750E-1,3.023159981E1,1.720199943E0,-2.875539970E1
3.675290750E-1,3.002419853E1,2.195999861E0,-2.847480011E1
3.775171120E-1,3.041459846E1,2.488800049E0,-2.846259880E1
3.875290750E-1,3.060980034E1,1.634799957E0,-2.843820000E1
3.975293190E-1,3.001199913E1,1.732399940E0,-2.815760040E1
4.075290750E-1,3.032919884E1,2.098399878E0,-2.875539970E1
