"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.196664300E-2,-4.229739761E1,-5.428999710E1,9.855159760E1
4.197421200E-2,-4.337099838E1,-5.411919785E1,9.840519714E1
5.196664300E-2,-4.234619904E1,-5.388739777E1,1.000522003E2
6.197836200E-2,-4.310260010E1,-5.381419754E1,9.911280060E1
7.196566700E-2,-4.248040009E1,-5.402159882E1,9.823439789E1
8.197836200E-2,-4.289519882E1,-5.372879791E1,9.872239685E1
9.196664300E-2,-4.320019913E1,-5.419239807E1,9.901519775E1
1.019783620E-1,-4.221199799E1,-5.400939941E1,9.875899506E1
1.119661550E-1,-4.309040070E1,-5.287479782E1,9.868579865E1
1.219783620E-1,-4.287080002E1,-5.431439972E1,9.792939758E1
1.319786060E-1,-4.249259949E1,-5.354579926E1,9.842959595E1
1.419786060E-1,-4.279759979E1,-5.410699844E1,9.883219910E1
1.519783620E-1,-4.309040070E1,-5.438759995E1,9.872239685E1
1.619783620E-1,-4.262680054E1,-5.314319992E1,9.961299896E1
1.719786060E-1,-4.327339935E1,-5.421680069E1,9.840519714E1
1.819663990E-1,-4.244379807E1,-5.350919724E1,9.983259583E1
1.919786060E-1,-4.279759979E1,-5.325299835E1,9.880780029E1
2.019666430E-1,-4.271220016E1,-5.391180038E1,9.902739716E1
2.119671310E-1,-4.300500107E1,-5.381419754E1,9.932019806E1
2.219663990E-1,-4.349300003E1,-5.381419754E1,9.929579926E1
2.319783620E-1,-4.290739822E1,-5.361899948E1,9.921039581E1
2.419715260E-1,-4.312699890E1,-5.398500061E1,9.991799927E1
2.519786060E-1,-4.351739883E1,-5.409479904E1,9.969839478E1
2.619715260E-1,-4.350519943E1,-5.361899948E1,9.949099731E1
2.719786060E-1,-4.389559937E1,-5.333839798E1,9.956420135E1
2.819690850E-1,-4.311479950E1,-5.352140045E1,9.960079956E1
2.919632250E-1,-4.370039749E1,-5.343600082E1,9.938119507E1
3.019786060E-1,-4.312699890E1,-5.322859955E1,9.989360046E1
3.119698170E-1,-4.368819809E1,-5.353359985E1,9.917379761E1
3.219786060E-1,-4.368819809E1,-5.353359985E1,9.907619476E1
3.319712820E-1,-4.321239853E1,-5.361899948E1,9.950319672E1
3.419788500E-1,-4.323679733E1,-5.350919724E1,1.001986008E2
3.519663990E-1,-4.381019974E1,-5.427779770E1,9.969839478E1
3.619783620E-1,-4.323679733E1,-5.408259964E1,1.002229996E2
3.719666430E-1,-4.371260071E1,-5.389959717E1,9.999119568E1
3.819783620E-1,-4.345639801E1,-5.397279739E1,1.008086014E2
3.919666430E-1,-4.398099899E1,-5.364339828E1,9.896640015E1
4.019783620E-1,-4.435919952E1,-5.421680069E1,9.875899506E1
4.119754320E-1,-4.368819809E1,-5.400939941E1,9.918599701E1
4.219781180E-1,-4.427379990E1,-5.335059738E1,9.914939880E1
4.319663990E-1,-4.406639862E1,-5.430220032E1,9.867359924E1
4.419722580E-1,-4.418840027E1,-5.476580048E1,9.949099731E1
