"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.208803100E-2,1.069014147E-2,-6.918048859E-2,-3.741549700E-2
2.431801500E-2,1.985311974E-3,-7.024950534E-2,-3.619376570E-2
2.655458800E-2,-4.276056774E-3,-7.024950534E-2,-3.268129006E-2
2.879427300E-2,-1.420261711E-2,-7.849618047E-2,-3.023782931E-2
3.102846400E-2,-2.428189293E-2,-8.429940045E-2,-2.794708498E-2
3.326393800E-2,-3.543018550E-2,-9.254608303E-2,-2.565634064E-2
3.550136500E-2,-4.428773001E-2,-9.728029370E-2,-2.214386500E-2
3.773781500E-2,-5.161811411E-2,-1.007927656E-1,-2.092213556E-2
3.997377700E-2,-6.047565863E-2,-1.055269688E-1,-1.618792862E-2
4.220949500E-2,-6.673702598E-2,-1.090394482E-1,-1.374446787E-2
4.444606700E-2,-7.162395120E-2,-1.125519201E-1,-1.374446787E-2
4.668233400E-2,-7.788532227E-2,-1.185078546E-1,-1.267545391E-2
4.891988300E-2,-8.170322329E-2,-1.171334088E-1,-1.145372353E-2
5.115547900E-2,-8.536841720E-2,-1.171334088E-1,-1.145372353E-2
5.339205100E-2,-9.025534242E-2,-1.194241568E-1,-1.282817032E-2
5.563045400E-2,-9.147707373E-2,-1.157589629E-1,-1.404990070E-2
5.786611100E-2,-9.392052889E-2,-1.145372316E-1,-1.527163107E-2
6.010042500E-2,-9.392052889E-2,-1.157589629E-1,-1.527163107E-2
6.233638600E-2,-9.010262042E-2,-1.110247597E-1,-1.511891466E-2
6.457314200E-2,-9.254608303E-2,-1.073595658E-1,-1.634064503E-2
6.681117900E-2,-8.750644326E-2,-1.012509167E-1,-1.634064503E-2
6.904634800E-2,-8.246681094E-2,-1.014036313E-1,-1.511891466E-2
7.128603300E-2,-7.742717117E-2,-9.666942805E-2,-1.496619824E-2
7.353346900E-2,-7.360926270E-2,-9.071348608E-2,-1.618792862E-2
7.577016300E-2,-6.872233748E-2,-8.949175477E-2,-1.740965992E-2
7.800661300E-2,-5.879577994E-2,-8.735372871E-2,-1.847867295E-2
8.024013400E-2,-5.253441259E-2,-8.261952549E-2,-1.603521220E-2
8.247695100E-2,-4.505131021E-2,-7.910704613E-2,-1.832595654E-2
8.471395000E-2,-3.894266114E-2,-7.681630552E-2,-1.832595654E-2
8.694930200E-2,-2.901609987E-2,-7.208210230E-2,-1.817324013E-2
8.918556900E-2,-2.397646010E-2,-6.612616032E-2,-1.817324013E-2
9.142171400E-2,-1.649336144E-2,-6.627888232E-2,-1.557706390E-2
9.365859100E-2,-1.038470957E-2,-6.276640296E-2,-1.679879427E-2
9.589510300E-2,-4.123340361E-3,-5.681046844E-2,-1.298088674E-2
9.812837900E-2,9.162978968E-4,-5.574145541E-2,-1.298088674E-2
1.003565890E-1,4.581489135E-3,-5.696318299E-2,-1.053742506E-2
1.026052470E-1,8.246680722E-3,-5.589416996E-2,-7.941247895E-3
1.048404760E-1,1.450804994E-2,-5.238169432E-2,-5.497787148E-3
1.070801000E-1,1.572977938E-2,-5.115996301E-2,-5.497787148E-3
1.093139870E-1,1.817324013E-2,-5.115996301E-2,-3.054326167E-3
1.115500710E-1,2.061670274E-2,-5.131268129E-2,-3.054326167E-3
1.137876810E-1,1.817324013E-2,-5.115996301E-2,-3.054326167E-3
1.160223000E-1,1.802052557E-2,-5.726861581E-2,-5.497787148E-3
1.182592380E-1,1.802052557E-2,-5.604688451E-2,-1.832595794E-3
1.204962990E-1,1.786780916E-2,-6.215553731E-2,-1.832595794E-3
1.227317730E-1,1.649336144E-2,-6.811147183E-2,-6.108652451E-4
1.249681620E-1,1.404990070E-2,-7.177666575E-2,-6.108652451E-4
1.272043680E-1,1.145372353E-2,-7.773260027E-2,4.581489484E-4
1.294410010E-1,7.635815535E-3,-8.261952549E-2,2.901609987E-3
1.316773900E-1,-1.221730490E-3,-8.842274547E-2,6.414085161E-3
1.339139020E-1,1.221730490E-3,-9.330966324E-2,6.414085161E-3
1.361505350E-1,-5.039638374E-3,-9.560041130E-2,7.635815535E-3
1.383877780E-1,-1.130100712E-2,-1.003346145E-1,8.857546374E-3
1.406228860E-1,-1.252273750E-2,-1.015563458E-1,1.237002108E-2
1.428594580E-1,-1.756237634E-2,-1.038470939E-1,1.237002108E-2
1.450955420E-1,-2.367102914E-2,-1.061378345E-1,1.114829071E-2
1.473315650E-1,-3.237585723E-2,-1.120937690E-1,1.221730467E-2
