"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.519105200E-2,1.679879380E-3,3.054326226E-4,-3.054326226E-4
2.742726900E-2,2.901609987E-3,1.527163084E-3,9.162978968E-4
2.966348600E-2,-7.635815418E-4,1.527163084E-3,3.359758761E-3
3.190557100E-2,-1.985311974E-3,3.054326226E-4,9.162978968E-4
3.414067900E-2,-2.138028387E-3,-2.138028387E-3,9.162978968E-4
3.638130200E-2,-7.635815418E-4,-2.138028387E-3,-3.054326226E-4
3.861167600E-2,1.679879380E-3,3.054326226E-4,-1.527163084E-3
4.084861400E-2,4.581489484E-4,3.054326226E-4,9.162978968E-4
4.308335500E-2,4.581489484E-4,3.054326226E-4,-1.527163084E-3
4.532194200E-2,1.679879380E-3,-2.138028387E-3,-3.054326226E-4
4.755881900E-2,3.054326226E-4,-3.359758761E-3,9.162978968E-4
4.979429300E-2,-7.635815418E-4,1.527163084E-3,-3.054326226E-4
5.203092600E-2,-7.635815418E-4,2.748893574E-3,-1.527163084E-3
5.426896400E-2,-7.635815418E-4,2.748893574E-3,9.162978968E-4
5.650980800E-2,1.679879380E-3,1.527163084E-3,9.162978968E-4
5.874393800E-2,-7.635815418E-4,1.527163084E-3,-1.527163084E-3
6.098038900E-2,-1.985311974E-3,1.527163084E-3,-1.527163084E-3
6.321220000E-2,4.581489484E-4,1.527163084E-3,-3.054326226E-4
6.545029900E-2,4.581489484E-4,-9.162978968E-4,-3.054326226E-4
6.768510100E-2,4.581489484E-4,3.054326226E-4,-3.054326226E-4
6.992240600E-2,4.581489484E-4,-2.138028387E-3,9.162978968E-4
7.215867300E-2,4.581489484E-4,2.748893574E-3,-3.054326226E-4
7.439561100E-2,4.581489484E-4,3.054326226E-4,9.162978968E-4
7.663517500E-2,-7.635815418E-4,1.527163084E-3,9.162978968E-4
7.888334400E-2,-3.207042580E-3,1.527163084E-3,-3.054326226E-4
8.111973300E-2,4.581489484E-4,-2.138028387E-3,-3.054326226E-4
