"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.978283100E-2,1.939799905E0,1.578679943E1,-3.367200089E1
4.983283100E-2,2.134999990E0,1.621380043E1,-3.352560043E1
5.988283100E-2,2.330199957E0,1.590880013E1,-3.337919998E1
6.993283100E-2,2.281399965E0,1.596980000E1,-3.340359879E1
7.998283100E-2,2.342400074E0,1.604299927E1,-3.397700119E1
9.003283100E-2,2.159399986E0,1.614060020E1,-3.344020081E1
1.000828310E-1,2.330199957E0,1.612839890E1,-3.284239960E1
1.101328310E-1,2.159399986E0,1.616499901E1,-3.353779984E1
1.201828310E-1,2.037400007E0,1.623819923E1,-3.341579819E1
1.302328310E-1,2.183799982E0,1.626259995E1,-3.361100006E1
1.402828310E-1,1.903199911E0,1.616499901E1,-3.330599976E1
1.503328310E-1,2.317999840E0,1.612839890E1,-3.324499893E1
1.603828310E-1,2.269199848E0,1.636019897E1,-3.329380035E1
1.704328310E-1,2.330199957E0,1.599419975E1,-3.363539886E1
1.804828310E-1,2.013000011E0,1.588439941E1,-3.317179871E1
1.905328310E-1,2.110599995E0,1.583559990E1,-3.333039856E1
2.005828310E-1,2.195999861E0,1.588439941E1,-3.318399811E1
2.106328310E-1,2.305799961E0,1.609179878E1,-3.340359879E1
2.206828310E-1,2.208199978E0,1.622599983E1,-3.335480118E1
2.307328310E-1,1.976400018E0,1.644560051E1,-3.348899841E1
2.407828310E-1,2.549799919E0,1.584779930E1,-3.320840073E1
2.508328310E-1,2.549799919E0,1.582339954E1,-3.334259796E1
2.608828310E-1,2.488800049E0,1.600639915E1,-3.365979767E1
2.709328310E-1,2.793799877E0,1.562819958E1,-3.367200089E1
2.809828310E-1,2.440000057E0,1.600639915E1,-3.390380096E1
2.910328310E-1,2.574199915E0,1.606739998E1,-3.342799759E1
3.010828310E-1,2.562000036E0,1.654319954E1,-3.356219864E1
3.111328310E-1,2.488800049E0,1.637240028E1,-3.359880066E1
3.211828310E-1,2.073999882E0,1.643339920E1,-3.390380096E1
3.312328310E-1,2.342400074E0,1.614060020E1,-3.376959991E1
3.412828310E-1,2.220399857E0,1.604299927E1,-3.373299789E1
3.513328310E-1,1.390799999E0,1.611619949E1,-3.446500015E1
3.613828310E-1,2.269199848E0,1.584779930E1,-3.385499954E1
3.714328310E-1,2.256999969E0,1.601860046E1,-3.362319946E1
3.814828310E-1,2.513200045E0,1.601860046E1,-3.304980087E1
3.915328310E-1,2.195999861E0,1.606739998E1,-3.345240021E1
4.015828310E-1,2.305799961E0,1.595759964E1,-3.328160095E1
4.116328310E-1,2.415600061E0,1.592099953E1,-3.379399872E1
4.216828310E-1,2.366800070E0,1.618939972E1,-3.331819916E1
4.317328310E-1,2.073999882E0,1.618939972E1,-3.318399811E1
4.417828310E-1,2.342400074E0,1.612839890E1,-3.320840073E1
4.518328310E-1,2.208199978E0,1.610400009E1,-3.329380035E1
4.618828310E-1,2.525399923E0,1.589659977E1,-3.351340103E1
4.719328310E-1,2.464400053E0,1.590880013E1,-3.329380035E1
4.819828310E-1,2.452199936E0,1.570139980E1,-3.351340103E1
4.920328310E-1,2.354599953E0,1.573799992E1,-3.263499832E1
5.020828310E-1,2.622999907E0,1.607959938E1,-3.261059952E1
5.121328310E-1,2.488800049E0,1.617720032E1,-3.283020020E1
5.221828310E-1,2.586400032E0,1.633580017E1,-3.274480057E1
5.322328310E-1,2.622999907E0,1.603079987E1,-3.292779922E1
5.422828310E-1,1.854399920E0,1.593319988E1,-3.368420029E1
5.523328310E-1,2.366800070E0,1.648220062E1,-3.326939774E1
5.623828310E-1,2.061800003E0,1.626259995E1,-3.331819916E1
5.724328310E-1,2.147199869E0,1.599419975E1,-3.376959991E1
5.824828310E-1,2.452199936E0,1.600639915E1,-3.364759827E1
5.925328310E-1,1.951999903E0,1.612839890E1,-3.395259857E1
6.025828310E-1,2.696199894E0,1.596980000E1,-3.336700058E1
6.126328310E-1,2.354599953E0,1.606739998E1,-3.340359879E1
6.226828310E-1,2.122799873E0,1.616499901E1,-3.335480118E1
6.327328310E-1,2.134999990E0,1.561599922E1,-3.293999863E1
6.427828310E-1,2.281399965E0,1.600639915E1,-3.268379974E1
6.528328310E-1,1.817799926E0,1.562819958E1,-3.357439804E1
6.628828310E-1,1.805599928E0,1.589659977E1,-3.431859970E1
6.729328310E-1,1.659199953E0,1.543299961E1,-3.495299911E1
