,torso_7_Xposition,torso_7_Yposition,torso_7_Zposition,torso_7_Zrotation,torso_7_Xrotation,torso_7_Yrotation
0,-2.90401e-17,10.5513,1.57691,-0.0,0.0,-0.0
1,-2.90401e-17,10.5513,1.57691,0.00548954,0.131846,-0.0121858
2,-2.90401e-17,10.5513,1.57691,0.00546017,0.131881,-0.012213
3,-2.90401e-17,10.5513,1.57691,0.00549175,0.132044,-0.0121489
4,-2.90401e-17,10.5513,1.57691,0.00557225,0.132861,-0.0119881
5,-2.90401e-17,10.5513,1.57691,0.00559817,0.133989,-0.011826
6,-2.90401e-17,10.5513,1.57691,0.00553861,0.135058,-0.0117204
7,-2.90401e-17,10.5513,1.57691,0.00541395,0.135758,-0.0116865
8,-2.90401e-17,10.5513,1.57691,0.00525299,0.135998,-0.0117125
9,-2.90401e-17,10.5513,1.57691,0.00504356,0.136093,-0.0117786
10,-2.90401e-17,10.5513,1.57691,0.00494521,0.136173,-0.0118046
11,-2.90401e-17,10.5513,1.57691,0.00494531,0.136281,-0.0117691
12,-2.90401e-17,10.5513,1.57691,0.00502181,0.136313,-0.0116939
13,-2.90401e-17,10.5513,1.57691,0.00516358,0.136279,-0.0116073
14,-2.90401e-17,10.5513,1.57691,0.00535499,0.136233,-0.0115374
15,-2.90401e-17,10.5513,1.57691,0.0055572,0.136187,-0.0115062
16,-2.90401e-17,10.5513,1.57691,0.00578033,0.136073,-0.0114931
17,-2.90401e-17,10.5513,1.57691,0.00597833,0.135915,-0.0115091
18,-2.90401e-17,10.5513,1.57691,0.00613855,0.135664,-0.0115735
19,-2.90401e-17,10.5513,1.57691,0.00627616,0.13534,-0.0116739
20,-2.90401e-17,10.5513,1.57691,0.0064028,0.135009,-0.0117881
21,-2.90401e-17,10.5513,1.57691,0.00648984,0.134779,-0.0119108
22,-2.90401e-17,10.5513,1.57691,0.00660042,0.134705,-0.0120268
23,-2.90401e-17,10.5513,1.57691,0.0066855,0.134634,-0.0121141
24,-2.90401e-17,10.5513,1.57691,0.00674896,0.134596,-0.0121899
25,-2.90401e-17,10.5513,1.57691,0.00680205,0.134602,-0.012272
26,-2.90401e-17,10.5513,1.57691,0.00685194,0.13464,-0.0123705
27,-2.90401e-17,10.5513,1.57691,0.00688891,0.134651,-0.0124789
28,-2.90401e-17,10.5513,1.57691,0.00693152,0.134658,-0.0125884
29,-2.90401e-17,10.5513,1.57691,0.00697456,0.13453,-0.0126962
30,-2.90401e-17,10.5513,1.57691,0.00701384,0.134403,-0.0127916
31,-2.90401e-17,10.5513,1.57691,0.00705234,0.13428,-0.0128689
32,-2.90401e-17,10.5513,1.57691,0.00708537,0.134132,-0.012931
33,-2.90401e-17,10.5513,1.57691,0.00708274,0.134016,-0.0129946
34,-2.90401e-17,10.5513,1.57691,0.00709192,0.133873,-0.0130546
35,-2.90401e-17,10.5513,1.57691,0.00708342,0.133753,-0.0131009
36,-2.90401e-17,10.5513,1.57691,0.00708137,0.133674,-0.0131307
37,-2.90401e-17,10.5513,1.57691,0.00709413,0.13359,-0.0131389
38,-2.90401e-17,10.5513,1.57691,0.00712024,0.133457,-0.0131309
39,-2.90401e-17,10.5513,1.57691,0.00715623,0.133317,-0.0131385
40,-2.90401e-17,10.5513,1.57691,0.00720484,0.133108,-0.0131411
41,-2.90401e-17,10.5513,1.57691,0.0072633,0.132796,-0.0131227
42,-2.90401e-17,10.5513,1.57691,0.007313,0.132448,-0.0130963
43,-2.90401e-17,10.5513,1.57691,0.00734852,0.13215,-0.0130618
44,-2.90401e-17,10.5513,1.57691,0.00737358,0.131949,-0.0130217
45,-2.90401e-17,10.5513,1.57691,0.00739604,0.131803,-0.0130023
46,-2.90401e-17,10.5513,1.57691,0.00742517,0.131806,-0.0129826
47,-2.90401e-17,10.5513,1.57691,0.00745801,0.13182,-0.0129858
