time,x,y,z,absolute
2.677808334E-2,4.812331572E-3,-1.475897073E-2,-5.617420077E-2,5.827972705E-2
3.673308334E-2,4.780372884E-3,-3.126373733E-3,-5.437793612E-2,5.467710778E-2
4.668808333E-2,6.610277295E-3,1.333676800E-3,-5.362890780E-2,5.405121841E-2
5.664408334E-2,3.354209578E-3,-4.938544636E-3,-5.407680452E-2,5.440533735E-2
6.659908334E-2,4.156374475E-3,-1.011133421E-2,-6.081338167E-2,6.178820210E-2
7.655408334E-2,-7.710741553E-4,-4.891223302E-3,-6.186061800E-2,6.205847790E-2
8.651008333E-2,4.547242569E-3,-1.618122828E-2,-5.871773958E-2,6.107603872E-2
9.646508333E-2,5.630082954E-3,-1.211147026E-2,-6.395684481E-2,6.533654065E-2
1.064200833E-1,5.418742653E-3,-7.028787187E-3,-5.198233187E-2,5.273451856E-2
1.163760833E-1,6.970968274E-3,-1.385241476E-2,-5.198174715E-2,5.424560655E-2
1.263310833E-1,1.453763992E-3,-1.284854834E-2,-5.138357699E-2,5.298556981E-2
1.362860833E-1,-3.802389521E-3,-7.386938282E-3,-6.844984531E-2,6.895220335E-2
1.462410833E-1,-3.088069903E-3,-1.472591112E-2,-4.779104769E-2,5.010362136E-2
1.561970833E-1,6.126502426E-3,-5.646674428E-4,-4.015633821E-2,4.062492314E-2
1.661520833E-1,-3.675541487E-3,-9.154775413E-3,-4.884003818E-2,4.982638706E-2
1.761070833E-1,2.475619745E-3,-1.090666518E-2,-4.779104769E-2,4.908226032E-2
1.860630833E-1,3.000827618E-3,-1.089126599E-2,-5.168412387E-2,5.290437885E-2
1.960180833E-1,1.098777702E-2,-6.571882102E-3,-4.988902867E-2,5.150568959E-2
2.059730833E-1,9.635279495E-3,-1.628201966E-2,-6.500758946E-2,6.770472260E-2
2.159290833E-1,1.241812474E-2,-1.698088070E-2,-5.722611487E-2,6.097038916E-2
2.258840833E-1,-5.555768497E-4,-1.835407189E-2,-5.198817909E-2,5.513575415E-2
2.358390833E-1,-4.992279634E-3,-1.773428987E-2,-4.959432900E-2,5.290581596E-2
2.457940833E-1,4.427657872E-3,-1.119451721E-2,-5.513281167E-2,5.643180213E-2
2.557500833E-1,-2.428796338E-3,-1.145229262E-2,-4.719814003E-2,4.862837114E-2
2.657050833E-1,4.276178442E-3,-6.752643292E-3,-5.857214391E-2,5.911497218E-2
2.756600833E-1,-6.160087371E-3,-6.363392319E-3,-5.093801916E-2,5.170223626E-2
2.856160833E-1,1.740569919E-3,-9.496070081E-3,-5.213611364E-2,5.302244125E-2
2.955710833E-1,1.282012995E-2,2.495788070E-3,-5.258459508E-2,5.418232489E-2
3.055260833E-1,1.297431372E-2,-2.051769700E-3,-5.498019934E-2,5.652755872E-2
3.154810833E-1,-3.153988123E-3,-1.377485236E-3,-4.165673375E-2,4.179866713E-2
3.254370833E-1,-3.319637915E-3,-3.891724013E-3,-4.854299963E-2,4.881176420E-2
3.353920833E-1,3.076101383E-3,-1.178458349E-2,-5.977023840E-2,6.099852626E-2
3.453470833E-1,-1.081259809E-3,-1.849951224E-2,-6.336218297E-2,6.601641695E-2
3.553030833E-1,1.096003929E-2,-1.861398976E-2,-4.000957310E-2,4.546832981E-2
3.652580833E-1,6.999811493E-3,-1.565764667E-2,-5.362364531E-2,5.629968558E-2
3.752130833E-1,7.651730357E-3,-1.557277981E-2,-5.720740378E-2,5.978082883E-2
3.851690833E-1,1.218651105E-3,-1.783614106E-2,-5.346284688E-2,5.637276855E-2
3.951240833E-1,1.500084903E-3,-1.123332353E-2,-4.268584371E-2,4.416468120E-2
4.050790833E-1,-1.397621585E-3,-4.268741515E-3,-5.151689351E-2,5.171233718E-2
4.150340833E-1,-3.161288006E-3,9.565450950E-4,-6.258801162E-2,6.267509808E-2
4.249900833E-1,-8.192954119E-3,5.954215131E-3,-5.569823742E-2,5.661157856E-2
4.349457500E-1,2.721732706E-3,4.955560947E-4,-4.087788463E-2,4.097139070E-2
4.449007500E-1,-1.724325623E-3,-4.700891864E-3,-4.955807626E-2,4.981038653E-2
4.548567500E-1,1.740457543E-2,-2.597045400E-3,-4.611055791E-2,4.935430520E-2
4.648117500E-1,8.319491521E-4,-1.148784187E-2,-5.688054442E-2,5.803498069E-2
4.747667500E-1,7.838393580E-3,-1.602488379E-2,-4.085391104E-2,4.457891163E-2
4.847227500E-1,2.805749886E-3,-1.284968123E-2,-4.728175521E-2,4.907698968E-2
4.946777500E-1,-2.944877073E-3,-1.642599364E-2,-4.233267188E-2,4.550319414E-2
5.046327500E-1,4.855573559E-3,-5.418112250E-3,-5.924574316E-2,5.969079173E-2
5.145877500E-1,-2.509058509E-3,3.069861308E-3,-5.954336643E-2,5.967522023E-2
5.245437500E-1,2.207579724E-3,-5.210367073E-3,-4.068200290E-2,4.107367397E-2
5.344987500E-1,1.321979628E-2,-4.188616388E-4,-4.816526949E-2,4.994828970E-2
5.444537500E-1,1.884776875E-2,-4.868766339E-3,-4.186840296E-2,4.617257237E-2
5.544097500E-1,1.137776803E-2,-5.378725771E-3,-4.544806838E-2,4.715836316E-2
5.643647500E-1,1.209989917E-2,-7.321353536E-3,-6.055844307E-2,6.218789918E-2
5.743197500E-1,4.674474327E-3,-2.147504152E-3,-4.887102842E-2,4.914102058E-2
5.842757500E-1,5.202075904E-3,-4.017539648E-3,-5.575437069E-2,5.614046731E-2
5.942307500E-1,-1.085727448E-3,-1.025427123E-2,-7.280777514E-2,7.353435254E-2
6.041857500E-1,2.019380693E-2,-1.687160172E-2,-3.250818014E-2,4.182370810E-2
6.141407500E-1,2.382172102E-2,-1.042401407E-2,-4.369916618E-2,5.085028600E-2
6.240967500E-1,9.380340893E-3,-7.352453414E-3,-5.759448946E-2,5.881474800E-2
6.340517500E-1,4.881155128E-3,-3.375163623E-3,-6.431761801E-2,6.459081507E-2
6.440067500E-1,-5.002941666E-3,-2.188388980E-3,-6.851007164E-2,6.872734817E-2
6.539627500E-1,4.924451932E-3,5.918802931E-3,-6.371477008E-2,6.417830148E-2
6.639177500E-1,1.324429977E-2,-2.247550925E-3,-3.931550860E-2,4.154722829E-2
6.738727500E-1,5.258337082E-3,-1.146725327E-2,-6.222373009E-2,6.348968887E-2
6.838287500E-1,1.513259411E-3,-6.419393113E-3,-5.683785975E-2,5.721923508E-2
6.937837500E-1,5.453131590E-3,-7.815155466E-3,-4.351205528E-2,4.454337497E-2
7.037387500E-1,3.013061089E-3,-6.059021903E-3,-7.165470421E-2,7.197351540E-2
7.136937500E-1,-1.097140482E-2,-1.055971515E-2,-4.216953456E-2,4.483468471E-2
7.236497500E-1,-3.718445431E-3,-1.357942288E-2,-5.788977385E-2,5.957728995E-2
7.336047500E-1,3.169848695E-3,-8.283745847E-3,-4.771737278E-2,4.853468915E-2
7.435597500E-1,3.198225964E-3,-4.926091894E-3,-6.134898663E-2,6.162948313E-2
7.535157500E-1,5.768296514E-3,-7.162149386E-3,-5.238695920E-2,5.318799791E-2
7.634707500E-1,-2.567347940E-3,-1.108606506E-2,-5.959774554E-2,6.067440471E-2
7.734257500E-1,-1.305061989E-3,-2.558618230E-3,-4.943411529E-2,4.951748649E-2
7.833807500E-1,8.679104419E-3,-6.545679267E-3,-3.462428749E-2,3.629068826E-2
7.933367500E-1,3.900567926E-3,-5.462738383E-3,-4.870730639E-2,4.916764827E-2
