time,x,y,z,absolute
2.270870833E-2,6.614841778E-2,-7.458529215E-2,-2.939395308E-3,9.973574597E-2
3.266570834E-2,1.068007461E-1,-8.952054273E-2,-2.687029481E-2,1.419237108E-1
4.262270834E-2,1.238868949E-1,-1.307990713E-1,-6.639454901E-2,1.920015519E-1
5.258070832E-2,1.047474597E-1,-1.229019680E-1,-1.066760176E-1,1.935373266E-1
6.253770832E-2,3.804231394E-2,-7.377600096E-2,-1.546647012E-1,1.755314381E-1
7.249570833E-2,1.183922298E-2,-7.548280321E-2,-2.407427323E-1,2.525764912E-1
8.245270833E-2,-1.922275800E-2,-5.848344896E-2,-2.253078371E-1,2.335667992E-1
9.241070834E-2,-1.103577170E-1,-2.442060381E-2,-1.550652355E-1,1.918864738E-1
1.023677083E-1,-1.042456590E-1,-3.757336725E-2,-1.247497612E-1,1.668574789E-1
1.123257083E-1,-5.617719747E-2,-1.256822459E-2,-9.496521413E-2,1.110505726E-1
1.222827083E-1,-4.292360611E-2,2.294772673E-2,-6.027777672E-2,7.747544443E-2
1.322407083E-1,-5.138087265E-2,2.975472629E-2,-3.214155972E-2,6.751605492E-2
1.421977083E-1,-2.603158481E-2,2.020256862E-2,-1.937299490E-2,3.822433934E-2
1.521557083E-1,6.048743594E-2,5.057512634E-3,-3.380626202E-2,6.947785037E-2
1.621127083E-1,1.098888434E-1,-1.465875037E-2,-1.255338728E-2,1.115707148E-1
1.720707083E-1,1.412813382E-1,-6.336189061E-4,-3.945116401E-3,1.413378291E-1
1.820277083E-1,1.483297912E-1,4.920176156E-3,-2.988921225E-2,1.513912154E-1
1.919847083E-1,1.275209394E-1,-1.245190155E-2,-3.322797239E-2,1.323659246E-1
2.019427083E-1,1.096571475E-1,-4.300882928E-3,7.024260163E-3,1.099660303E-1
2.118997083E-1,8.522130433E-2,2.219975822E-2,6.232781053E-2,1.078900178E-1
2.218577083E-1,9.087413661E-2,1.287732303E-2,7.563607335E-2,1.189317020E-1
2.318147083E-1,1.025531093E-1,2.634506866E-2,1.738377213E-2,1.073005052E-1
2.417727083E-1,9.633594766E-2,8.515555970E-3,-5.468023717E-2,1.110993152E-1
2.517297083E-1,1.144589175E-1,-1.658164378E-2,-6.106071889E-2,1.307830497E-1
2.616877083E-1,1.195152607E-1,-4.548088588E-2,-3.304495454E-2,1.320771651E-1
2.716447083E-1,8.426850054E-2,2.547704950E-3,-2.270298421E-2,8.731034576E-2
2.816027083E-1,6.635402050E-2,7.376171183E-2,-8.914080262E-3,9.961479305E-2
2.915597083E-1,6.205405120E-2,1.039023544E-1,2.647385359E-2,1.238840968E-1
3.015177083E-1,9.430170134E-2,5.792975418E-2,4.273379087E-2,1.186374485E-1
3.114747083E-1,9.733757570E-2,1.519062772E-2,8.137570024E-3,9.885129671E-2
3.214327083E-1,5.389875680E-2,8.066160902E-3,-3.946929038E-2,6.729014652E-2
3.313897083E-1,3.512056991E-3,3.390036564E-2,-1.654294252E-2,3.788453883E-2
3.413477083E-1,-2.629383244E-3,7.442584589E-2,1.225050151E-2,7.547314079E-2
3.513047083E-1,-4.210287631E-3,7.258020882E-2,-3.981953859E-3,7.281118863E-2
3.612617083E-1,-8.883126564E-3,4.036398746E-2,-7.620208383E-2,8.668863248E-2
3.712197083E-1,2.140760668E-2,4.730276864E-2,-1.141622078E-1,1.254147011E-1
3.811767083E-1,2.344791949E-2,3.527471714E-2,-1.198082793E-1,1.270753099E-1
3.911347083E-1,4.354710203E-2,-7.462691702E-3,-1.275774747E-1,1.350113103E-1
4.010917083E-1,2.723205473E-2,-2.919679228E-2,-1.244433671E-1,1.306911975E-1
4.110497083E-1,1.833979189E-3,-8.066599444E-3,-1.027390873E-1,1.030715944E-1
4.210067083E-1,3.969674706E-3,1.054929066E-2,-7.265399337E-2,7.352311611E-2
4.309647083E-1,4.397544712E-3,1.855485979E-2,-5.513748944E-2,5.834178574E-2
4.409217083E-1,3.190825582E-3,-1.649422791E-2,-4.509782016E-2,4.812540187E-2
4.508797083E-1,-3.730538204E-2,-4.924598113E-3,-1.945544064E-2,4.236103595E-2
4.608367083E-1,-6.993507463E-2,3.927655153E-2,-7.402575016E-3,8.055035867E-2
4.707947083E-1,-2.917808119E-2,3.142180402E-2,1.020046771E-2,4.407652132E-2
4.807517083E-1,1.888891853E-2,1.831238307E-3,4.683912098E-2,5.053758929E-2
4.907097083E-1,6.940334346E-2,-2.560740586E-2,1.629092753E-2,7.574930784E-2
5.006667083E-1,6.564329144E-2,5.354733914E-3,-6.739032984E-2,9.422935552E-2
5.106247083E-1,2.692931514E-2,4.794256367E-2,-1.082822478E-1,1.214443190E-1
5.205817083E-1,-2.759165850E-2,4.858425904E-2,-1.629835349E-1,1.722944065E-1
5.305387083E-1,-7.095852010E-2,5.102357123E-2,-2.340453315E-1,2.498314103E-1
5.404967083E-1,-5.847325288E-2,5.391289975E-2,-2.386827582E-1,2.515853357E-1
5.504537083E-1,-5.574424770E-2,1.963268436E-2,-1.807812899E-1,1.901965779E-1
5.604117083E-1,-4.654825855E-2,1.349551991E-2,-8.861279905E-2,1.010004831E-1
5.703687083E-1,-4.389826387E-2,5.561436642E-2,-6.004739642E-2,9.287467437E-2
5.803267083E-1,-5.623968959E-2,9.797583584E-2,-3.621882319E-2,1.186337652E-1
5.902837083E-1,-5.819218453E-2,1.018037887E-1,5.564678192E-2,1.297956319E-1
6.002417083E-1,-6.889273535E-2,8.628334142E-2,1.116391343E-1,1.570169427E-1
6.101987083E-1,-7.073347539E-2,4.700010214E-2,9.958509922E-2,1.308794336E-1
6.201567083E-1,-7.559901662E-2,2.407302339E-2,1.630145252E-2,8.099666119E-2
6.301137083E-1,-8.143789999E-2,1.507660702E-2,-7.928298175E-2,1.146526355E-1
6.400717083E-1,-1.026646084E-1,1.222166743E-2,-1.696920455E-1,1.987077786E-1
6.500287083E-1,-1.028872777E-1,2.991651144E-2,-1.899146408E-1,2.180558652E-1
6.599867083E-1,-9.652017150E-2,2.387443732E-2,-1.692453182E-1,1.962908811E-1
6.699437083E-1,-8.679694623E-2,2.727952681E-2,-1.514183271E-1,1.766504804E-1
6.799017083E-1,-8.679581333E-2,3.543960862E-2,-1.222231793E-1,1.540389062E-1
6.898587083E-1,-6.926567808E-2,7.416191719E-2,-8.946415365E-2,1.352832544E-1
6.998157083E-1,-5.149924222E-2,3.848805450E-2,-8.906771243E-2,1.098478934E-1
7.097737083E-1,-1.480701383E-2,-2.080055606E-2,-1.287229443E-1,1.312307402E-1
7.197307083E-1,7.137586512E-3,-2.227222715E-2,-1.586922634E-1,1.604064578E-1
7.296887083E-1,-4.347295202E-3,2.799062133E-2,-1.827237350E-1,1.849062930E-1
7.396457083E-1,-7.369940244E-3,6.679515637E-2,-1.916781610E-1,2.031167801E-1
7.496037083E-1,-1.226800662E-2,5.963915113E-2,-1.887984073E-1,1.983738162E-1
7.595607083E-1,-2.440437779E-2,2.040502846E-2,-2.199079335E-1,2.221968453E-1
7.695187083E-1,-8.040290628E-2,3.008999102E-2,-2.367104924E-1,2.517973234E-1
